,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,90.46,91.63,89.66,91.26,1213700,0.0,0.0
2020-02-24,89.12,90.36,88.44,89.32,1541700,0.0,0.0
2020-02-25,89.72,90.11,87.29,87.43,2239400,0.0,0.0
2020-02-26,88.25,89.39,87.63,88.17,1907100,0.0,0.0
2020-02-27,86.61,87.44,81.44,81.47,2568100,0.0,0.0
2020-02-28,78.61,79.97,76.65,79.33,3827500,0.0,0.0
2020-03-02,79.53,83.1,78.93,82.0,4528000,0.0,0.0
2020-03-03,82.25,83.69,79.45,80.79,2190400,0.0,0.0
2020-03-04,84.02,85.08,82.79,85.03,1411300,0.0,0.0
2020-03-05,82.79,84.75,80.21,81.83,1365800,0.0,0.0
2020-03-06,79.3,81.13,78.46,80.73,1760100,0.0,0.0
2020-03-09,74.98,80.75,72.97,78.34,3673000,0.0,0.0
2020-03-10,80.3,81.17,76.11,80.98,2214400,0.0,0.0
2020-03-11,79.11,81.03,78.14,79.93,2384900,0.0,0.0
2020-03-12,75.7,79.29,74.41,75.73,7108200,0.0,0.0
2020-03-13,78.75,84.84,75.89,84.68,2835300,0.0,0.0
2020-03-16,71.5,82.25,71.5,75.74,2777400,0.0,0.0
2020-03-17,77.89,84.42,77.34,84.21,3792400,0.0,0.0
2020-03-18,79.88,85.39,73.52,79.94,3229200,0.0,0.0
2020-03-19,78.18,81.61,75.62,80.91,2189100,0.0,0.0
2020-03-20,81.7,82.45,74.63,75.84,3203800,0.0,0.0
2020-03-23,75.54,75.54,67.8,69.56,2234800,0.0,0.0
2020-03-24,73.11,75.85,71.65,75.13,1951800,0.0,0.0
2020-03-25,74.83,76.65,70.67,70.89,2284100,0.0,0.0
2020-03-26,71.38,80.14,71.13,79.18,3263800,0.0,0.0
2020-03-27,76.15,79.09,75.44,76.94,1600500,0.0,0.0
2020-03-30,78.59,83.31,77.56,82.89,1770200,0.0,0.0
2020-03-31,83.02,85.36,81.96,83.27,2074700,0.0,0.0
2020-04-01,82.99,83.46,79.21,81.13,1336300,0.0,0.0
2020-04-02,79.63,81.41,75.27,78.93,2570500,0.0,0.0
2020-04-03,78.34,79.62,75.63,76.53,1517200,0.0,0.0
2020-04-06,80.27,81.69,78.16,81.19,1514800,0.0,0.0
2020-04-07,83.61,84.14,81.5,82.04,1311100,0.0,0.0
2020-04-08,81.8,83.86,80.12,83.11,1729500,0.0,0.0
2020-04-09,82.96,84.12,81.53,82.62,1348700,0.0,0.0
2020-04-13,82.38,82.38,79.24,80.4,2118700,0.0,0.0
2020-04-14,82.41,84.58,81.92,84.13,985300,0.0,0.0
2020-04-15,82.74,84.4,80.53,83.11,967600,0.0,0.0
2020-04-16,83.04,83.98,80.48,81.18,1674000,0.0,0.0
2020-04-17,83.51,84.57,82.12,83.91,1669500,0.0,0.0
2020-04-20,82.79,84.78,81.95,84.32,1032000,0.0,0.0
2020-04-21,83.21,83.38,79.44,80.51,1257800,0.0,0.0
2020-04-22,81.84,82.92,81.09,81.38,911000,0.0,0.0
2020-04-23,82.22,83.87,81.74,82.1,1036400,0.0,0.0
2020-04-24,82.26,84.16,80.67,83.45,1325800,0.0,0.0
2020-04-27,84.29,85.95,83.51,85.41,1913100,0.0,0.0
2020-04-28,86.56,86.63,83.96,84.23,1457100,0.0,0.0
2020-04-29,84.71,85.88,83.12,84.06,1879900,0.0,0.0
2020-04-30,83.46,85.65,83.37,84.36,1683700,0.0,0.0
2020-05-01,83.12,83.12,80.08,81.27,1120800,0.0,0.0
2020-05-04,80.88,81.9,80.26,81.31,1354000,0.0,0.0
2020-05-05,82.32,84.16,80.55,82.77,1349600,0.0,0.0
2020-05-06,83.12,83.32,80.16,80.44,1362800,0.0,0.0
2020-05-07,81.48,84.52,81.48,83.49,1755300,0.0,0.0
2020-05-08,85.18,86.93,81.94,82.88,1175300,0.0,0.0
2020-05-11,83.8,86.43,83.28,85.28,1264200,0.0,0.0
2020-05-12,86.05,86.55,83.29,83.34,1141900,0.0,0.0
2020-05-13,82.95,83.74,78.72,79.17,1520700,0.0,0.0
2020-05-14,78.1,79.17,76.69,79.06,1488200,0.0,0.0
2020-05-15,78.82,81.15,78.53,81.08,1694200,0.42,0.0
2020-05-18,83.24,85.1,83.07,84.35,1066800,0.0,0.0
2020-05-19,83.98,85.47,83.68,84.75,983700,0.0,0.0
2020-05-20,85.1,89.95,84.18,87.68,2352700,0.0,0.0
2020-05-21,87.15,88.19,86.23,87.23,1076900,0.0,0.0
2020-05-22,87.14,88.59,87.14,88.07,1027100,0.0,0.0
2020-05-26,89.83,89.83,85.66,85.84,1024800,0.0,0.0
2020-05-27,86.01,88.36,85.81,88.25,1166100,0.0,0.0
2020-05-28,89.23,91.24,88.72,89.26,1312700,0.0,0.0
2020-05-29,89.55,90.4,88.52,90.15,1582100,0.0,0.0
2020-06-01,89.68,90.65,89.68,89.97,1012600,0.0,0.0
2020-06-02,89.69,93.37,89.18,93.29,2078000,0.0,0.0
2020-06-03,93.69,94.55,93.28,94.08,1168000,0.0,0.0
2020-06-04,93.28,94.55,92.86,94.04,1473400,0.0,0.0
2020-06-05,94.15,96.65,93.15,93.58,1474000,0.0,0.0
2020-06-08,92.66,97.39,92.44,96.73,1357100,0.0,0.0
2020-06-09,95.5,96.07,94.13,94.46,953600,0.0,0.0
2020-06-10,94.92,95.11,91.66,91.67,905000,0.0,0.0
2020-06-11,90.58,90.58,87.53,88.42,1305200,0.0,0.0
2020-06-12,90.28,90.44,87.58,89.71,1545600,0.0,0.0
2020-06-15,88.36,91.26,87.84,90.97,1151000,0.0,0.0
2020-06-16,93.13,94.1,91.37,93.72,1157300,0.0,0.0
2020-06-17,94.1,95.01,93.25,94.7,1166200,0.0,0.0
2020-06-18,94.26,95.34,93.37,94.79,856400,0.0,0.0
2020-06-19,96.2,97.75,95.55,96.59,1739700,0.0,0.0
2020-06-22,96.25,96.32,94.68,96.19,936400,0.0,0.0
2020-06-23,96.71,97.21,95.36,95.98,2404400,0.0,0.0
2020-06-24,95.26,95.94,92.67,93.46,1394400,0.0,0.0
2020-06-25,93.18,95.39,93.12,95.19,985000,0.0,0.0
2020-06-26,95.0,95.46,92.86,93.78,2830100,0.0,0.0
2020-06-29,94.19,95.14,93.07,93.6,1103100,0.0,0.0
2020-06-30,93.33,95.69,93.21,95.29,1036400,0.0,0.0
2020-07-01,95.46,95.95,93.74,94.04,1001100,0.0,0.0
2020-07-02,94.75,96.09,94.29,94.64,734000,0.0,0.0
2020-07-06,95.42,95.94,94.47,95.24,975100,0.0,0.0
2020-07-07,94.47,94.97,92.58,92.95,1022100,0.0,0.0
2020-07-08,93.0,93.39,90.68,91.92,934600,0.0,0.0
2020-07-09,91.92,91.98,89.6,91.14,758400,0.0,0.0
2020-07-10,90.76,92.27,90.28,91.77,816800,0.0,0.0
2020-07-13,91.99,93.45,91.78,91.98,1198500,0.0,0.0
2020-07-14,91.58,94.06,91.58,93.92,781500,0.0,0.0
2020-07-15,94.97,96.85,93.62,96.36,1087500,0.0,0.0
2020-07-16,96.28,97.71,95.55,97.15,955500,0.0,0.0
2020-07-17,97.69,99.36,97.2,98.77,2771300,0.0,0.0
2020-07-20,98.72,99.16,96.15,96.63,739500,0.0,0.0
2020-07-21,96.71,98.58,96.65,98.48,1126000,0.0,0.0
