,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,296.73,299.22,295.33,296.17,2239000,0.0,0.0
2020-02-24,290.24,294.38,288.18,288.51,2300400,0.0,0.0
2020-02-25,289.78,291.22,280.03,280.46,2881800,0.0,0.0
2020-02-26,282.93,286.38,280.29,281.22,2236000,0.0,0.0
2020-02-27,277.8,280.58,269.54,269.66,3625300,0.0,0.0
2020-02-28,262.41,264.32,249.56,258.63,7091800,0.0,0.0
2020-03-02,270.87,284.73,268.05,284.39,7563800,0.0,0.0
2020-03-03,284.39,289.02,276.93,278.49,5131400,0.0,0.0
2020-03-04,283.61,295.27,280.6,295.06,4219300,0.0,0.0
2020-03-05,290.49,298.53,288.12,290.48,6407700,0.0,0.0
2020-03-06,287.15,292.07,278.51,286.41,6185500,0.0,0.0
2020-03-09,272.16,285.48,269.54,277.8,5203100,0.0,0.0
2020-03-10,283.31,284.93,270.85,284.63,4245500,0.0,0.0
2020-03-11,276.77,283.15,270.64,273.62,3622700,0.0,0.0
2020-03-12,257.99,271.96,254.21,257.44,7307600,0.0,0.0
2020-03-13,265.7,278.97,255.99,278.07,6100100,0.0,0.0
2020-03-16,259.26,275.55,257.13,260.51,5465500,0.0,0.0
2020-03-17,265.86,282.59,263.38,282.41,7170600,0.0,0.0
2020-03-18,274.14,292.54,272.3,282.88,6701800,0.0,0.0
2020-03-19,285.56,288.72,278.4,280.78,5429500,0.0,0.0
2020-03-20,283.27,283.35,264.04,267.17,6581200,0.0,0.0
2020-03-23,268.63,272.0,256.13,262.67,5646400,0.0,0.0
2020-03-24,271.0,273.54,260.18,262.13,7124200,0.0,0.0
2020-03-25,261.45,267.44,256.85,258.37,5639600,0.0,0.0
2020-03-26,258.81,270.21,258.37,268.9,5463100,0.0,0.0
2020-03-27,264.14,269.99,260.64,261.56,4250400,0.0,0.0
2020-03-30,264.47,268.33,262.95,267.81,4396000,0.0,0.0
2020-03-31,264.41,268.18,261.26,262.3,5618600,0.0,0.0
2020-04-01,259.75,265.68,258.41,263.82,3745800,0.0,0.0
2020-04-02,261.61,269.34,260.18,268.14,3500600,0.0,0.0
2020-04-03,266.01,268.93,262.92,265.54,2650100,0.0,0.0
2020-04-06,269.54,281.03,266.39,280.69,5272500,0.0,0.0
2020-04-07,281.96,285.18,278.94,279.32,4036500,0.0,0.0
2020-04-08,280.68,282.81,278.08,281.47,3964400,0.0,0.0
2020-04-09,275.47,279.98,273.75,275.99,6487600,0.0,0.0
2020-04-13,274.67,279.61,273.83,275.63,3120400,0.0,0.0
