,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,315.0,315.22,306.44,308.92,905300,0.0,0.0
2020-02-24,298.77,303.3,295.13,298.42,832600,0.0,0.0
2020-02-25,299.29,299.45,286.82,288.38,962000,0.0,0.0
2020-02-26,290.66,296.7,284.1,284.2,1079800,0.0,0.0
2020-02-27,278.23,280.02,265.39,265.67,2044300,0.0,0.0
2020-02-28,255.55,268.79,253.83,265.79,1680300,0.0,0.0
2020-03-02,267.44,282.89,267.44,282.04,1452700,0.0,0.0
2020-03-03,281.1,283.38,264.48,266.41,1444700,0.0,0.0
2020-03-04,270.89,272.57,264.26,268.25,1213700,0.0,0.0
2020-03-05,260.72,261.45,251.38,252.72,1250700,0.0,0.0
2020-03-06,244.97,249.82,242.14,249.16,1936200,0.0,0.0
2020-03-09,228.97,234.78,220.0,222.58,2406400,0.0,0.0
2020-03-10,229.32,237.91,221.11,237.66,2659200,0.0,0.0
2020-03-11,230.82,233.39,218.27,222.47,1452800,0.0,0.0
2020-03-12,208.53,223.97,204.25,214.42,2677000,0.0,0.0
2020-03-13,227.99,236.82,214.78,235.46,1779600,0.0,0.0
2020-03-16,210.0,214.11,200.22,210.91,1759900,0.0,0.0
2020-03-17,214.77,225.72,198.63,224.33,1768000,0.0,0.0
2020-03-18,207.16,220.41,169.24,200.5,1921000,0.0,0.0
2020-03-19,197.38,209.55,183.89,193.3,1441900,0.0,0.0
2020-03-20,197.69,210.14,185.72,187.02,1591600,0.0,0.0
2020-03-23,186.0,186.22,168.5,171.72,1289900,0.0,0.0
2020-03-24,183.89,202.83,179.63,190.42,2032600,0.0,0.0
2020-03-25,191.94,224.74,188.0,212.33,1564600,0.0,0.0
2020-03-26,216.58,238.6,204.44,212.36,1825300,0.0,0.0
2020-03-27,210.27,210.27,194.77,196.17,1271300,0.0,0.0
2020-03-30,194.67,200.58,182.25,194.02,1690800,0.0,0.0
2020-03-31,192.44,196.66,182.8,186.53,1904400,0.0,0.0
2020-04-01,178.33,180.5,169.13,173.22,2410000,0.0,0.0
2020-04-02,172.67,197.61,170.0,181.52,1595400,0.0,0.0
2020-04-03,181.52,188.8,180.58,184.77,1007200,0.0,0.0
2020-04-06,197.33,207.36,193.99,206.08,1595900,0.0,0.0
2020-04-07,216.36,221.32,209.97,210.36,1419200,0.0,0.0
2020-04-08,213.63,221.72,210.47,220.3,983600,0.0,0.0
2020-04-09,226.08,232.89,222.55,224.99,913900,0.0,0.0
2020-04-13,223.0,223.0,213.92,218.22,527100,0.0,0.0
2020-04-14,223.42,227.72,219.41,221.83,752900,0.0,0.0
2020-04-15,212.3,217.05,209.85,211.47,798400,0.0,0.0
2020-04-16,213.11,213.11,203.71,209.24,702400,0.0,0.0
2020-04-17,216.53,224.82,216.39,223.58,1464400,0.0,0.0
2020-04-20,219.03,221.41,213.08,214.13,610900,0.0,0.0
2020-04-21,207.64,209.78,203.17,204.3,632800,0.0,0.0
2020-04-22,208.64,215.39,207.14,213.69,559200,0.0,0.0
2020-04-23,215.08,221.24,214.3,218.61,559700,0.0,0.0
2020-04-24,220.5,224.28,215.97,222.61,732400,0.0,0.0
2020-04-27,224.36,232.99,222.27,232.25,603000,0.0,0.0
2020-04-28,236.1,240.3,231.16,235.58,923100,0.0,0.0
2020-04-29,244.64,250.05,240.32,247.94,1220900,0.0,0.0
2020-04-30,244.13,245.3,237.63,241.25,608000,0.0,0.0
2020-05-01,235.49,236.91,230.33,232.83,645900,0.0,0.0
2020-05-04,231.07,232.8,227.0,231.75,740600,0.0,0.0
2020-05-05,235.83,239.69,235.67,236.07,487100,0.0,0.0
2020-05-06,238.22,243.07,236.44,240.57,434800,0.0,0.0
2020-05-07,245.13,249.69,244.75,248.74,1178200,0.0,0.0
2020-05-08,260.35,260.35,238.17,240.0,1394300,0.0,0.0
2020-05-11,236.66,242.02,232.53,236.89,617800,0.0,0.0
2020-05-12,237.83,240.52,228.42,228.46,518500,0.0,0.0
2020-05-13,227.5,228.33,213.0,215.14,1131700,0.0,0.0
2020-05-14,212.99,223.58,206.6,221.52,947900,0.0,0.0
2020-05-15,219.97,224.36,218.71,222.53,450600,0.0,0.0
2020-05-18,230.0,239.47,229.02,237.77,917000,0.0,0.0
2020-05-19,236.44,240.27,233.55,233.88,588900,0.0,0.0
2020-05-20,238.88,243.36,237.16,240.58,544000,0.0,0.0
2020-05-21,240.41,243.08,236.46,239.83,601900,0.0,0.0
2020-05-22,239.38,240.27,235.47,239.25,330400,0.0,0.0
2020-05-26,250.02,254.46,247.16,247.91,724700,0.0,0.0
2020-05-27,256.04,263.89,247.38,249.96,940600,0.0,0.0
2020-05-28,253.61,253.61,246.94,247.44,930400,0.0,0.0
2020-05-29,246.44,246.44,239.03,243.78,996300,0.0,0.0
2020-06-01,244.1,248.33,242.86,246.42,675700,0.0,0.0
2020-06-02,248.5,250.41,246.69,249.88,844900,0.0,0.0
2020-06-03,253.3,257.14,250.72,256.72,1396900,0.0,0.0
