,EPS Estimate,Reported EPS,Surprise(%)
2025-11-30 19:00:00-05:00,nan,nan,nan
2025-08-26 20:00:00-04:00,nan,nan,nan
2025-06-02 20:00:00-04:00,nan,nan,nan
2025-03-04 19:00:00-05:00,nan,nan,nan
2024-12-02 19:00:00-05:00,0.87,0.89,1.91
2024-08-28 20:00:00-04:00,0.62,0.63,1.85
2024-06-04 20:00:00-04:00,0.7,0.75,7.2
2024-03-05 19:00:00-05:00,0.77,0.8,4.25
2023-12-05 19:00:00-05:00,0.88,0.91,3.98
2023-08-30 20:00:00-04:00,0.5,0.5,-0.88
2023-06-06 20:00:00-04:00,0.64,0.68,5.98
2023-03-07 19:00:00-05:00,0.74,0.8,8.53
