,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,40.73,41.19,40.73,40.92,983600,0.0,0.0
2020-02-24,40.56,41.14,40.52,40.97,2364600,0.0,0.0
2020-02-25,41.05,41.25,40.61,40.85,1793200,0.0,0.0
2020-02-26,41.07,41.07,39.79,39.8,2460500,0.0,0.0
2020-02-27,39.56,39.96,38.98,38.99,1714700,0.0,0.0
2020-02-28,38.32,38.6,36.99,38.5,4508800,0.0,0.0
2020-03-02,38.69,40.96,38.65,40.94,4573600,0.0,0.0
2020-03-03,40.96,41.82,40.47,40.85,3573700,0.0,0.0
2020-03-04,42.66,45.08,42.47,44.98,9420400,0.0,0.0
2020-03-05,44.97,45.93,44.36,45.31,4826300,0.0,0.0
2020-03-06,44.22,45.09,43.17,44.16,3443800,0.0,0.0
2020-03-09,42.4,44.37,42.01,42.83,4004700,0.0,0.0
2020-03-10,43.44,43.92,41.73,43.74,5558800,0.0,0.0
2020-03-11,43.07,43.34,42.31,43.06,2936000,0.0,0.0
2020-03-12,40.82,43.31,40.46,40.68,4758800,0.0,0.0
2020-03-13,41.42,42.12,38.75,42.05,5263400,0.0,0.0
2020-03-16,39.69,43.98,39.0,42.06,5715900,0.0,0.0
2020-03-17,42.91,49.1,42.79,45.94,10354800,0.0,0.0
2020-03-18,45.65,46.72,41.23,43.07,5091200,0.0,0.0
2020-03-19,42.88,42.97,39.26,40.53,5028600,0.0,0.0
2020-03-20,40.21,41.55,38.54,38.65,3896700,0.0,0.0
2020-03-23,38.46,38.87,35.87,36.63,3699300,0.0,0.0
2020-03-24,37.48,38.45,35.88,37.12,4339600,0.0,0.0
2020-03-25,36.8,37.35,35.14,35.33,4923300,0.0,0.0
2020-03-26,35.55,37.73,34.73,37.19,5066200,0.0,0.0
2020-03-27,36.68,38.65,36.48,37.7,3227400,0.0,0.0
2020-03-30,38.35,39.94,37.99,39.7,3419300,0.0,0.0
2020-03-31,39.69,40.27,39.1,39.39,2287700,0.0,0.0
2020-04-01,38.49,40.52,38.18,39.23,2728900,0.0,0.0
2020-04-02,38.77,40.56,38.77,40.49,2250400,0.0,0.0
2020-04-03,40.09,42.53,40.09,42.26,3582100,0.0,0.0
2020-04-06,42.39,42.46,40.57,40.62,3754700,0.0,0.0
2020-04-07,40.73,41.22,39.39,39.88,3378900,0.0,0.0
2020-04-08,39.97,40.6,39.21,39.68,3087900,0.35,0.0
2020-04-09,39.26,41.88,39.23,41.05,3517300,0.0,0.0
2020-04-13,40.83,41.73,40.26,41.69,1736000,0.0,0.0
2020-04-14,42.55,43.3,42.17,43.04,2747700,0.0,0.0
2020-04-15,44.21,44.25,42.58,43.41,3471000,0.0,0.0
2020-04-16,43.86,44.82,43.36,43.94,4353300,0.0,0.0
2020-04-17,44.16,44.27,42.29,43.28,3683800,0.0,0.0
2020-04-20,43.48,45.1,42.98,44.1,2461100,0.0,0.0
2020-04-21,44.19,44.53,42.64,43.36,1679600,0.0,0.0
2020-04-22,43.34,43.85,42.97,43.67,1285300,0.0,0.0
2020-04-23,43.25,43.89,42.84,43.45,2428000,0.0,0.0
2020-04-24,43.69,43.75,42.92,43.63,2005500,0.0,0.0
2020-04-27,43.52,44.26,43.48,44.05,1384500,0.0,0.0
2020-04-28,44.09,44.43,43.56,43.83,1673300,0.0,0.0
2020-04-29,42.76,43.85,42.44,43.14,2594700,0.0,0.0
2020-04-30,43.73,43.83,42.63,42.97,2574100,0.0,0.0
2020-05-01,42.67,43.62,42.28,43.34,1911500,0.0,0.0
2020-05-04,43.42,43.89,42.85,43.65,1929000,0.0,0.0
2020-05-05,43.46,44.17,43.21,43.74,1555700,0.0,0.0
2020-05-06,43.8,44.02,43.42,43.47,1861100,0.0,0.0
2020-05-07,43.81,43.84,43.1,43.19,1978600,0.0,0.0
2020-05-08,43.59,44.15,43.29,44.07,1182600,0.0,0.0
2020-05-11,44.17,45.13,44.08,44.67,1422400,0.0,0.0
2020-05-12,44.85,45.53,44.7,45.05,1383700,0.0,0.0
2020-05-13,44.99,45.61,44.65,45.13,1535700,0.0,0.0
2020-05-14,45.34,46.01,45.21,45.54,2064900,0.0,0.0
2020-05-15,45.56,46.35,45.56,46.02,5584700,0.0,0.0
2020-05-18,46.18,46.31,43.71,43.79,3283000,0.0,0.0
2020-05-19,43.89,43.96,42.28,42.66,2690700,0.0,0.0
2020-05-20,42.6,42.6,40.96,41.41,4663200,0.0,0.0
2020-05-21,41.41,41.44,40.32,40.56,4266000,0.0,0.0
2020-05-22,40.58,41.67,40.49,41.57,1869200,0.0,0.0
2020-05-26,41.65,41.65,40.39,40.71,2600300,0.0,0.0
2020-05-27,40.4,41.86,40.34,41.83,2155000,0.0,0.0
2020-05-28,42.24,42.9,41.85,42.57,2077000,0.0,0.0
2020-05-29,42.58,43.9,42.34,43.83,3331200,0.0,0.0
2020-06-01,44.27,45.08,43.43,44.46,3166800,0.0,0.0
2020-06-02,44.02,44.76,43.83,44.71,3203300,0.0,0.0
2020-06-03,44.67,44.7,41.82,41.97,8727400,0.0,0.0
2020-06-04,42.17,43.03,41.54,41.93,3947800,0.0,0.0
2020-06-05,41.52,41.67,40.46,41.42,4711200,0.0,0.0
2020-06-08,40.87,42.9,40.7,42.89,3156100,0.0,0.0
2020-06-09,42.98,43.07,42.12,42.58,2478000,0.0,0.0
2020-06-10,42.5,42.89,42.02,42.07,2055200,0.0,0.0
2020-06-11,41.6,42.34,41.14,41.24,2160900,0.0,0.0
2020-06-12,41.4,41.65,40.35,40.47,2401400,0.0,0.0
2020-06-15,40.63,41.61,40.13,41.59,2087900,0.0,0.0
2020-06-16,41.55,42.66,41.37,42.27,2245600,0.0,0.0
2020-06-17,42.21,42.73,42.05,42.48,1359100,0.0,0.0
2020-06-18,42.36,42.79,41.75,42.17,1303100,0.0,0.0
2020-06-19,42.41,42.86,42.06,42.24,2061400,0.0,0.0
2020-06-22,42.84,43.29,42.43,42.82,2208400,0.0,0.0
2020-06-23,42.89,42.91,42.13,42.21,2161400,0.0,0.0
2020-06-24,42.12,42.16,41.47,42.0,1585900,0.0,0.0
2020-06-25,42.02,42.84,42.02,42.64,1876500,0.0,0.0
2020-06-26,42.67,42.84,41.4,41.61,2212900,0.0,0.0
2020-06-29,41.84,42.8,41.48,42.34,1491100,0.0,0.0
2020-06-30,42.53,42.74,42.26,42.67,1413900,0.0,0.0
2020-07-01,42.6,42.86,42.27,42.39,1434100,0.0,0.0
2020-07-02,42.52,42.87,42.21,42.4,1685500,0.0,0.0
2020-07-06,42.53,42.86,42.14,42.39,1939800,0.0,0.0
2020-07-07,42.27,42.86,42.12,42.75,1646700,0.0,0.0
2020-07-08,42.64,42.67,42.28,42.58,1214400,0.0,0.0
2020-07-09,42.42,42.86,42.35,42.48,1180300,0.0,0.0
2020-07-10,42.55,43.63,42.55,43.22,2111400,0.0,0.0
2020-07-13,43.26,43.39,42.73,42.84,1818500,0.0,0.0
2020-07-14,42.86,43.72,42.86,43.56,2213400,0.35,0.0
2020-07-15,43.73,43.89,42.49,42.6,1625100,0.0,0.0
2020-07-16,42.57,43.15,42.57,42.9,2113400,0.0,0.0
2020-07-17,43.12,43.25,42.85,42.94,2455200,0.0,0.0
2020-07-20,42.86,42.93,42.31,42.61,1488900,0.0,0.0
2020-07-21,42.55,43.24,42.55,42.73,2452100,0.0,0.0
