,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 19:00:00-05:00,nan,nan,nan
2025-10-28 20:00:00-04:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-05 19:00:00-05:00,0.42,0.37,-11.48
2024-10-30 20:00:00-04:00,0.37,0.34,-8.11
2024-07-31 20:00:00-04:00,0.4,0.4,nan
2024-05-01 20:00:00-04:00,0.41,0.77,88.96
2024-01-31 19:00:00-05:00,0.39,2.03,419.04
2023-10-25 20:00:00-04:00,0.42,0.44,4.45
2023-08-02 20:00:00-04:00,0.35,0.86,144.32
2023-04-26 20:00:00-04:00,0.32,0.39,20.46
