,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,101.34,102.05,101.25,101.93,554200,0.0,0.0
2020-02-24,100.78,102.19,100.69,100.92,606600,0.0,0.0
2020-02-25,101.06,101.29,98.59,98.65,792400,0.0,0.0
2020-02-26,98.87,99.84,98.54,98.54,746700,0.0,0.0
2020-02-27,97.71,98.04,93.75,93.75,987500,0.0,0.0
2020-02-28,92.08,92.26,87.53,89.71,1484400,0.0,0.0
2020-03-02,90.34,93.86,89.81,93.36,1297800,0.0,0.0
2020-03-03,93.79,95.54,92.07,92.7,1376200,0.0,0.0
2020-03-04,94.5,97.36,94.1,97.36,1005600,0.0,0.0
2020-03-05,95.7,97.37,95.13,97.17,554100,0.0,0.0
2020-03-06,95.09,97.17,93.24,96.45,753600,0.0,0.0
2020-03-09,91.4,91.4,85.8,86.65,1326100,0.0,0.0
2020-03-10,86.86,88.56,83.01,86.69,1860200,0.0,0.0
2020-03-11,84.44,85.75,79.9,80.72,1955800,0.0,0.0
2020-03-12,75.04,78.52,68.4,74.06,2511000,0.0,0.0
2020-03-13,77.87,81.89,73.04,81.23,1587300,0.0,0.0
2020-03-16,73.98,74.1,66.69,66.7,1321100,0.0,0.0
2020-03-17,67.89,73.18,65.2,72.96,1660000,0.0,0.0
2020-03-18,68.5,70.45,59.89,65.29,1425400,0.0,0.0
2020-03-19,65.15,68.1,63.57,65.73,1641600,0.0,0.0
2020-03-20,65.79,66.37,58.72,60.13,998100,0.0,0.0
2020-03-23,59.89,59.89,52.88,56.96,1175300,0.0,0.0
2020-03-24,59.14,60.66,56.55,59.44,1213900,0.0,0.0
2020-03-25,59.28,66.09,58.5,62.85,1226000,0.0,0.0
2020-03-26,63.64,69.34,61.89,69.12,1187800,0.0,0.0
2020-03-27,66.46,75.57,65.72,72.53,1190100,0.0,0.0
2020-03-30,73.49,74.72,66.45,71.23,1462700,0.83,0.0
2020-03-31,70.81,70.81,65.68,67.73,1597900,0.0,0.0
2020-04-01,64.77,65.15,60.92,64.08,1077400,0.0,0.0
2020-04-02,62.56,66.37,61.0,61.8,924100,0.0,0.0
2020-04-03,61.1,63.42,60.15,61.5,1497500,0.0,0.0
2020-04-06,65.41,69.43,64.04,68.33,1724700,0.0,0.0
2020-04-07,72.45,73.39,68.51,68.8,1080900,0.0,0.0
2020-04-08,69.22,73.89,68.13,73.25,919900,0.0,0.0
2020-04-09,75.04,77.85,74.91,76.15,766200,0.0,0.0
2020-04-13,75.54,76.73,72.66,72.81,595900,0.0,0.0
2020-04-14,75.2,75.93,73.27,74.37,813000,0.0,0.0
2020-04-15,71.1,74.08,70.95,72.91,889000,0.0,0.0
2020-04-16,73.28,73.28,70.26,71.64,812400,0.0,0.0
2020-04-17,74.3,75.63,73.91,75.06,709700,0.0,0.0
2020-04-20,73.61,73.8,71.02,71.23,972900,0.0,0.0
2020-04-21,69.33,70.61,68.43,69.96,932300,0.0,0.0
2020-04-22,71.51,72.45,70.09,72.02,752900,0.0,0.0
2020-04-23,72.19,72.5,70.22,70.98,852000,0.0,0.0
2020-04-24,71.51,72.15,70.0,71.53,653800,0.0,0.0
2020-04-27,72.34,74.51,71.99,73.8,512100,0.0,0.0
2020-04-28,76.04,76.92,72.66,73.87,654900,0.0,0.0
2020-04-29,75.93,77.09,74.06,75.97,942600,0.0,0.0
2020-04-30,74.92,75.64,73.34,75.28,1622200,0.0,0.0
2020-05-01,73.22,74.3,72.38,72.76,583700,0.0,0.0
2020-05-04,71.67,73.48,71.15,73.39,640200,0.0,0.0
2020-05-05,74.44,74.96,73.34,73.51,453400,0.0,0.0
2020-05-06,73.79,74.75,71.73,71.87,539900,0.0,0.0
2020-05-07,72.97,76.45,72.57,74.58,659800,0.0,0.0
2020-05-08,75.73,78.05,74.21,75.61,707800,0.0,0.0
2020-05-11,75.14,76.71,74.23,74.59,888800,0.0,0.0
2020-05-12,74.74,74.81,71.41,71.95,910800,0.0,0.0
2020-05-13,71.13,72.4,70.33,71.7,824200,0.0,0.0
2020-05-14,70.49,71.37,69.05,71.13,975200,0.0,0.0
2020-05-15,70.44,71.84,69.4,71.63,992900,0.0,0.0
2020-05-18,74.79,78.28,74.69,77.71,798700,0.0,0.0
2020-05-19,77.28,78.47,75.86,75.98,1252200,0.0,0.0
2020-05-20,76.57,76.97,75.46,76.44,860900,0.0,0.0
2020-05-21,75.95,77.7,75.65,75.88,886900,0.0,0.0
2020-05-22,75.7,76.0,75.18,75.71,438700,0.0,0.0
2020-05-26,78.9,80.22,78.29,78.76,846500,0.0,0.0
2020-05-27,80.64,80.87,76.71,78.16,955400,0.0,0.0
2020-05-28,79.08,79.46,77.16,79.11,766100,0.0,0.0
2020-05-29,78.42,80.17,77.72,78.27,2171100,0.0,0.0
2020-06-01,78.12,80.76,78.12,79.75,663500,0.0,0.0
2020-06-02,80.51,80.93,78.8,79.24,613000,0.0,0.0
2020-06-03,80.16,83.15,80.16,82.77,855900,0.0,0.0
2020-06-04,82.19,82.65,81.09,81.73,861200,0.0,0.0
2020-06-05,85.25,86.77,83.41,83.45,947500,0.0,0.0
2020-06-08,84.83,86.93,84.73,86.81,886000,0.0,0.0
2020-06-09,84.9,86.31,84.44,85.3,480600,0.0,0.0
2020-06-10,84.86,84.86,81.92,82.75,704400,0.0,0.0
2020-06-11,79.08,81.07,78.37,79.47,1214000,0.0,0.0
2020-06-12,82.42,82.64,79.75,81.46,1913600,0.0,0.0
2020-06-15,78.53,81.28,78.53,80.16,898700,0.0,0.0
2020-06-16,83.33,84.53,82.03,82.79,642600,0.0,0.0
2020-06-17,83.34,83.73,80.46,80.93,741400,0.0,0.0
2020-06-18,79.81,81.18,79.8,80.62,605500,0.0,0.0
2020-06-19,81.69,81.82,79.93,79.93,1936000,0.0,0.0
2020-06-22,79.64,80.07,77.99,79.17,823900,0.0,0.0
2020-06-23,79.75,80.11,77.49,77.5,654700,0.0,0.0
2020-06-24,76.34,77.44,74.07,76.09,885300,0.0,0.0
2020-06-25,75.76,76.79,75.29,76.68,462400,0.0,0.0
2020-06-26,76.05,76.96,75.28,75.81,925500,0.0,0.0
2020-06-29,76.49,77.7,75.1,77.56,555800,0.83,0.0
2020-06-30,77.52,79.45,77.52,78.7,721700,0.0,0.0
2020-07-01,78.96,81.27,78.08,80.94,481800,0.0,0.0
2020-07-02,82.29,82.52,80.31,80.73,782300,0.0,0.0
2020-07-06,82.48,82.48,79.22,79.35,444300,0.0,0.0
2020-07-07,78.17,78.89,77.3,77.4,666700,0.0,0.0
2020-07-08,77.43,78.04,76.86,77.2,415500,0.0,0.0
2020-07-09,76.77,77.07,76.11,76.48,384200,0.0,0.0
2020-07-10,76.56,77.78,76.41,77.11,387300,0.0,0.0
2020-07-13,77.5,78.64,76.44,77.47,547500,0.0,0.0
2020-07-14,77.46,78.6,77.05,78.26,540400,0.0,0.0
2020-07-15,79.22,79.69,78.34,78.89,775300,0.0,0.0
2020-07-16,78.64,78.82,77.53,77.63,569000,0.0,0.0
2020-07-17,77.91,78.45,76.94,78.26,715900,0.0,0.0
2020-07-20,77.69,78.35,76.25,76.66,682600,0.0,0.0
2020-07-21,76.18,77.31,75.76,76.05,506300,0.0,0.0
2020-07-22,75.7,78.14,75.54,78.14,597800,0.0,0.0
2020-07-23,77.72,78.48,76.63,77.59,502700,0.0,0.0
2020-07-24,77.79,77.79,76.77,77.25,616200,0.0,0.0
2020-07-27,76.94,77.15,75.66,77.0,503600,0.0,0.0
2020-07-28,76.88,78.63,76.57,78.16,466300,0.0,0.0
2020-07-29,78.69,79.06,77.48,78.77,653700,0.0,0.0
