,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,190.77,190.97,185.68,188.44,5242100,0.0,0.0
2020-02-24,177.79,186.11,177.79,184.9,8463300,0.0,0.0
2020-02-25,187.42,188.92,178.43,180.26,11361100,0.0,0.0
2020-02-26,175.55,181.65,173.28,177.87,13923100,0.0,0.0
2020-02-27,171.25,177.33,169.1,171.19,9927300,0.0,0.0
2020-02-28,164.07,170.81,162.21,169.45,12640800,0.0,0.0
2020-03-02,171.24,175.8,167.65,175.77,7761000,0.0,0.0
2020-03-03,177.41,177.42,166.16,168.42,8323500,0.0,0.0
2020-03-04,171.29,174.83,168.68,174.71,5846300,0.0,0.0
2020-03-05,171.61,172.78,167.16,168.65,5797500,0.0,0.0
2020-03-06,164.74,166.63,157.65,163.16,9757700,0.0,0.0
2020-03-09,150.85,156.83,149.8,150.37,9657100,0.0,0.0
2020-03-10,156.35,160.57,150.16,160.44,11443900,0.0,0.0
2020-03-11,156.8,158.73,149.31,153.71,10341300,0.0,0.0
2020-03-12,143.53,150.39,139.32,139.8,13213000,0.0,0.0
2020-03-13,148.63,148.66,134.56,146.95,13765400,0.0,0.0
2020-03-16,133.26,140.76,122.7,123.6,13845300,0.0,0.0
2020-03-17,126.29,137.24,122.23,134.66,12191500,0.0,0.0
2020-03-18,124.84,132.67,114.64,131.5,12988200,0.0,0.0
2020-03-19,130.85,143.2,128.14,138.68,10444000,0.0,0.0
2020-03-20,139.64,145.38,133.85,138.57,12450100,0.0,0.0
2020-03-23,137.98,142.92,133.34,139.73,11898300,0.0,0.0
2020-03-24,143.82,153.28,142.38,152.78,11834400,0.0,0.0
2020-03-25,151.82,157.14,146.14,146.24,10639300,0.0,0.0
2020-03-26,147.47,154.21,146.9,153.87,8573100,0.0,0.0
2020-03-27,149.79,150.6,144.1,145.18,8273500,0.0,0.0
2020-03-30,146.89,152.15,145.74,149.01,7650400,0.0,0.0
2020-03-31,148.2,151.1,141.98,143.18,10429700,0.0,0.0
2020-04-01,137.55,138.28,132.36,133.31,8737600,0.0,0.0
2020-04-02,133.26,134.63,129.31,133.57,8150500,0.0,0.0
2020-04-03,133.7,135.43,130.92,133.56,6004400,0.0,0.0
2020-04-06,138.22,149.01,137.53,146.73,12296800,0.0,0.0
2020-04-07,149.49,149.96,143.7,144.26,7859500,0.0,0.0
2020-04-08,145.48,151.31,144.19,150.28,7665500,0.0,0.0
2020-04-09,151.54,155.23,150.83,153.69,7094600,0.0,0.0
2020-04-13,153.26,154.44,149.16,151.65,5138600,0.0,0.0
2020-04-14,154.84,157.9,154.28,156.83,7334300,0.0,0.0
2020-04-15,154.21,156.39,153.14,154.76,4042600,0.0,0.0
2020-04-16,156.12,157.12,153.39,156.18,4391500,0.0,0.0
2020-04-17,159.11,162.35,156.75,161.71,7312900,0.0,0.0
2020-04-20,159.85,163.39,159.62,161.85,4686000,0.0,0.0
2020-04-21,159.11,159.2,147.17,149.72,13737900,0.0,0.0
2020-04-22,153.14,154.83,149.83,153.28,6660900,0.0,0.0
2020-04-23,152.64,155.6,150.65,150.87,6281400,0.0,0.0
2020-04-24,152.73,153.64,150.45,153.12,6710500,0.0,0.0
2020-04-27,154.67,157.55,153.34,156.75,5036400,0.0,0.0
2020-04-28,158.61,159.91,153.32,153.6,4731800,0.0,0.0
2020-04-29,157.0,160.99,155.65,159.53,5256700,0.0,0.0
2020-04-30,160.73,164.38,159.12,161.05,6830700,0.0,0.0
2020-05-01,157.6,159.28,154.39,155.5,4276900,0.0,0.0
2020-05-04,154.71,161.12,154.21,160.57,5974200,0.0,0.0
2020-05-05,161.62,163.22,159.35,162.34,5264800,0.0,0.0
2020-05-06,163.52,164.78,162.01,162.76,4112600,0.0,0.0
2020-05-07,165.57,170.31,165.09,168.95,6460900,0.0,0.0
2020-05-08,171.98,175.1,170.19,174.92,5403400,0.0,0.0
2020-05-11,174.58,182.28,173.19,181.65,8696000,0.0,0.0
2020-05-12,181.98,182.0,176.02,176.55,5904600,0.0,0.0
2020-05-13,174.19,174.23,165.34,168.69,12534900,0.0,0.0
2020-05-14,167.5,167.63,163.65,166.07,7442300,0.0,0.0
2020-05-15,166.34,170.76,165.25,170.37,5673800,0.0,0.0
2020-05-18,173.03,176.01,171.17,171.54,6398300,0.0,0.0
2020-05-19,171.79,177.21,171.79,175.06,5264000,0.0,0.0
2020-05-20,177.57,178.14,173.92,175.94,4951200,0.0,0.0
2020-05-21,175.94,177.29,173.95,174.28,4429700,0.0,0.0
2020-05-22,175.61,177.64,174.47,176.86,4965100,0.0,0.0
2020-05-26,180.98,180.98,175.24,175.53,8353600,0.0,0.0
2020-05-27,175.31,175.62,170.41,175.61,6340200,0.0,0.0
2020-05-28,179.0,183.77,176.11,180.09,10275200,0.0,0.0
2020-05-29,173.33,174.02,169.74,173.81,19588900,0.0,0.0
2020-06-01,172.13,176.53,171.72,175.38,5711600,0.0,0.0
2020-06-02,173.87,173.92,170.26,173.26,8571800,0.0,0.0
2020-06-03,173.85,174.95,171.87,174.01,6004000,0.0,0.0
2020-06-04,174.02,174.45,169.05,170.48,7301600,0.0,0.0
2020-06-05,169.16,173.22,166.07,172.91,8232200,0.0,0.0
2020-06-08,172.66,175.58,171.7,175.56,4592600,0.0,0.0
2020-06-09,175.02,175.02,172.56,173.59,4025600,0.0,0.0
2020-06-10,175.27,181.48,175.07,181.08,8127200,0.0,0.0
2020-06-11,175.65,177.43,171.04,171.09,6521200,0.0,0.0
2020-06-12,174.92,176.7,170.9,174.13,5443800,0.0,0.0
