,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,71.9,72.31,70.97,71.62,2485000,0.0,0.0
2020-02-24,70.25,71.47,68.49,70.69,2872000,0.0,0.0
2020-02-25,71.13,71.59,69.22,69.82,4941000,0.0,0.0
2020-02-26,70.65,71.56,67.68,68.23,7235000,0.0,0.0
2020-02-27,67.02,69.73,66.73,66.91,3706000,0.0,0.0
2020-02-28,64.73,66.98,64.3,66.75,4557000,0.0,0.0
2020-03-02,66.24,71.12,65.08,70.58,4262000,0.0,0.0
2020-03-03,70.31,71.27,68.08,69.0,2087000,0.0,0.0
2020-03-04,70.03,73.59,69.73,73.5,4026000,0.0,0.0
2020-03-05,71.65,73.15,71.01,71.73,2791000,0.0,0.0
2020-03-06,69.24,71.08,68.4,70.72,2588000,0.0,0.0
2020-03-09,66.09,69.11,64.91,66.69,3186000,0.0,0.0
2020-03-10,68.59,69.53,66.36,69.4,2702000,0.0,0.0
2020-03-11,67.29,68.78,64.43,65.13,2669000,0.0,0.0
2020-03-12,62.5,67.0,60.03,61.29,5343000,0.0,0.0
2020-03-13,63.98,66.75,61.46,66.39,4950000,0.0,0.0
2020-03-16,59.67,62.96,58.39,58.75,4040000,0.0,0.0
2020-03-17,59.8,61.11,56.16,59.47,4488000,0.0,0.0
2020-03-18,55.82,57.26,53.12,55.88,5710000,0.0,0.0
2020-03-19,55.31,57.77,54.0,56.0,2609000,0.0,0.0
2020-03-20,57.71,59.47,53.6,55.09,3869000,0.0,0.0
2020-03-23,55.24,56.64,50.02,52.33,3861000,0.0,0.0
2020-03-24,54.49,54.87,51.94,54.06,3725000,0.0,0.0
2020-03-25,54.68,55.59,51.71,54.02,4530000,0.0,0.0
2020-03-26,54.77,58.57,53.77,58.31,3116000,0.0,0.0
2020-03-27,56.8,59.71,55.27,58.09,2644000,0.0,0.0
2020-03-30,59.04,60.89,58.82,59.99,3118000,0.0,0.0
2020-03-31,59.39,60.69,58.01,58.72,3458000,0.0,0.0
2020-04-01,56.87,58.0,53.65,53.95,4664000,0.0,0.0
2020-04-02,52.85,54.14,52.02,53.77,4688000,0.0,0.0
2020-04-03,53.34,54.81,52.01,52.67,2501000,0.0,0.0
2020-04-06,54.63,59.23,53.43,58.58,3592000,0.0,0.0
2020-04-07,60.31,62.02,58.71,58.96,2722000,0.0,0.0
2020-04-08,59.49,61.97,58.39,61.46,1712000,0.0,0.0
2020-04-09,61.46,63.97,60.73,63.12,3710000,0.0,0.0
2020-04-13,62.56,62.74,60.2,62.51,1843000,0.0,0.0
2020-04-14,63.84,64.72,62.02,64.49,1595000,0.0,0.0
2020-04-15,63.8,65.41,63.65,64.12,1608000,0.0,0.0
2020-04-16,64.74,65.31,62.79,63.16,2416000,0.0,0.0
2020-04-17,64.91,64.91,62.33,63.55,3735000,0.0,0.0
2020-04-20,63.35,63.35,60.11,60.35,3650000,0.0,0.0
2020-04-21,59.53,59.53,55.86,56.29,4194000,0.0,0.0
2020-04-22,58.96,58.96,57.05,58.06,3199000,0.0,0.0
2020-04-23,58.24,59.98,56.93,58.72,1557000,0.0,0.0
2020-04-24,59.89,59.89,57.56,59.36,2727000,0.0,0.0
2020-04-27,59.5,62.21,59.44,61.77,5152000,0.0,0.0
2020-04-28,62.98,63.19,60.76,60.78,5721000,0.0,0.0
2020-04-29,62.35,65.66,59.54,65.08,7310000,0.0,0.0
2020-04-30,64.27,65.51,63.5,64.82,4746000,0.0,0.0
2020-05-01,64.31,64.92,61.26,62.26,3755000,0.0,0.0
2020-05-04,61.62,63.79,61.42,63.5,2686000,0.0,0.0
2020-05-05,63.9,64.57,62.94,64.11,2664000,0.0,0.0
2020-05-06,64.11,65.4,63.86,64.84,2287000,0.0,0.0
2020-05-07,64.45,65.14,62.9,63.89,3087000,0.0,0.0
