,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,24.36,24.55,24.24,24.39,22547700,0.0,0.0
2020-02-25,24.41,24.57,23.56,23.61,26703300,0.0,0.0
2020-02-26,23.78,23.97,23.35,23.53,20587500,0.0,0.0
2020-02-27,23.09,23.65,22.63,22.66,26091600,0.08,0.0
2020-02-28,21.97,22.25,21.45,22.09,34584300,0.0,0.0
2020-03-02,22.04,22.39,21.62,22.18,31953900,0.0,0.0
2020-03-03,22.02,22.9,21.49,21.6,24367200,0.0,0.0
2020-03-04,21.9,22.65,21.75,22.57,16728900,0.0,0.0
2020-03-05,21.92,22.13,21.51,21.62,14684100,0.0,0.0
2020-03-06,20.67,21.58,20.6,21.4,15568500,0.0,0.0
2020-03-09,19.73,19.98,18.68,18.93,25397100,0.0,0.0
2020-03-10,19.54,19.8,18.61,19.71,24698400,0.0,0.0
2020-03-11,19.09,19.38,18.2,18.28,32617500,0.0,0.0
2020-03-12,16.79,17.68,16.26,16.74,36770100,0.0,0.0
2020-03-13,17.71,18.43,16.93,18.16,36818700,0.0,0.0
2020-03-16,15.37,16.73,14.91,15.34,33835800,0.0,0.0
2020-03-17,15.52,17.22,15.1,17.01,26466300,0.0,0.0
2020-03-18,15.88,16.45,15.06,15.98,23637000,0.0,0.0
2020-03-19,15.84,17.62,15.29,17.24,18277500,0.0,0.0
2020-03-20,17.09,17.3,15.55,15.63,29585400,0.0,0.0
2020-03-23,15.49,15.92,14.67,14.94,22893600,0.0,0.0
2020-03-24,15.98,17.46,15.52,17.4,22836000,0.0,0.0
2020-03-25,17.28,18.99,17.24,17.72,22974600,0.0,0.0
2020-03-26,17.91,18.54,17.5,18.36,19098600,0.0,0.0
2020-03-27,17.64,18.13,17.25,17.65,16765500,0.0,0.0
2020-03-30,17.59,18.26,17.47,18.19,15087900,0.0,0.0
2020-03-31,18.09,18.23,17.65,17.96,16772400,0.0,0.0
2020-04-01,16.96,17.31,16.69,17.19,14111100,0.0,0.0
2020-04-02,16.98,17.91,16.81,17.82,16377300,0.0,0.0
2020-04-03,17.75,18.08,17.52,17.8,15815400,0.0,0.0
2020-04-06,19.02,19.34,18.56,19.21,19460400,0.0,0.0
2020-04-07,20.17,20.32,19.06,19.17,16942200,0.0,0.0
2020-04-08,19.51,20.03,19.37,19.91,11314800,0.0,0.0
2020-04-09,20.03,20.31,19.78,20.06,15451800,0.0,0.0
2020-04-13,19.85,20.03,19.1,19.3,12558300,0.0,0.0
