,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,11.63,11.91,11.33,11.7,10076400,0.0,0.0
2020-02-24,11.46,11.92,11.4,11.83,11811400,0.0,0.0
2020-02-25,11.88,11.9,11.2,11.47,10565800,0.0,0.0
2020-02-26,11.57,11.76,11.35,11.52,9413200,0.0,0.0
2020-02-27,11.27,11.28,10.61,10.62,17238600,0.0,0.0
2020-02-28,10.29,10.96,10.26,10.95,17766100,0.0,0.0
2020-03-02,11.05,11.54,10.75,11.43,11035200,0.0,0.0
2020-03-03,11.49,11.83,11.21,11.62,12636200,0.0,0.0
2020-03-04,11.79,11.8,11.34,11.74,10277100,0.0,0.0
2020-03-05,11.45,11.73,11.42,11.72,10134600,0.0,0.0
2020-03-06,11.4,13.09,11.39,12.86,22588500,0.0,0.0
2020-03-09,12.62,15.05,12.62,13.27,47473400,0.0,0.0
2020-03-10,13.02,13.85,12.38,13.31,22616800,0.0,0.0
2020-03-11,13.08,13.35,12.6,12.74,15850300,0.0,0.0
2020-03-12,12.53,13.63,11.98,12.6,24364500,0.0,0.0
2020-03-13,12.97,14.73,12.75,14.44,20152300,0.0,0.0
2020-03-16,13.42,16.13,13.28,13.45,20300800,0.0,0.0
2020-03-17,13.75,15.54,13.73,15.0,16454100,0.0,0.0
2020-03-18,14.61,15.11,13.75,14.54,15964300,0.0,0.0
2020-03-19,14.7,14.8,12.83,13.29,12732500,0.0,0.0
2020-03-20,13.16,13.19,11.66,11.72,11390400,0.0,0.0
2020-03-23,11.87,11.94,10.34,11.11,9369900,0.0,0.0
2020-03-24,11.43,12.97,11.15,12.85,9493100,0.0,0.0
2020-03-25,12.96,13.77,12.54,12.93,8933400,0.0,0.0
2020-03-26,13.05,14.09,12.66,13.26,8945300,0.0,0.0
2020-03-27,12.97,13.45,12.61,12.76,10358100,0.0,0.0
2020-03-30,12.58,13.91,12.58,13.76,8840500,0.0,0.0
2020-03-31,13.99,14.09,13.14,13.51,9539500,0.0,0.0
2020-04-01,13.26,13.8,12.79,13.08,8997100,0.0,0.0
2020-04-02,13.28,14.03,12.12,13.12,14925100,0.0,0.0
2020-04-03,13.38,13.81,13.14,13.63,9111000,0.0,0.0
