,EPS Estimate,Reported EPS,Surprise(%)
2026-02-02 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-04 19:00:00-05:00,1.12,1.21,7.84
2024-10-29 20:00:00-04:00,1.15,1.25,8.98
2024-07-30 20:00:00-04:00,1.12,1.17,4.87
2024-04-30 20:00:00-04:00,1.11,1.12,1.04
2024-02-05 19:00:00-05:00,1.04,1.18,13.88
2023-10-31 20:00:00-04:00,1.09,1.16,6.81
2023-08-01 20:00:00-04:00,0.99,1.1,11.2
2023-05-02 20:00:00-04:00,1.04,1.11,6.3
