,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,64.35,65.42,64.04,65.24,4787100,0.0,0.0
2020-02-24,64.15,65.04,62.73,62.75,4557300,0.0,0.0
2020-02-25,62.88,63.29,59.88,60.02,4976800,0.0,0.0
2020-02-26,60.6,61.33,58.88,58.9,5205300,0.0,0.0
2020-02-27,57.94,59.43,57.06,58.01,5326600,0.0,0.0
2020-02-28,56.4,57.38,55.34,56.71,7873500,0.0,0.0
2020-03-02,56.4,57.1,54.75,57.08,5676800,0.0,0.0
2020-03-03,56.7,58.53,54.79,55.48,5117800,0.0,0.0
2020-03-04,56.55,57.88,55.24,57.87,3244200,0.0,0.0
2020-03-05,56.28,57.02,55.24,55.78,3893000,0.0,0.0
2020-03-06,53.75,54.78,53.06,54.21,5364400,0.0,0.0
2020-03-09,51.25,52.1,49.76,50.22,7526000,0.0,0.0
2020-03-10,51.74,52.33,49.26,51.92,6703100,0.0,0.0
2020-03-11,50.39,51.54,48.79,49.46,6122600,0.0,0.0
2020-03-12,46.25,48.61,44.44,45.59,7701700,0.0,0.0
2020-03-13,48.04,49.05,45.32,48.98,5853600,0.0,0.0
2020-03-16,43.49,44.42,40.03,40.56,6489800,0.0,0.0
2020-03-17,41.46,47.14,40.65,46.63,6919500,0.0,0.0
2020-03-18,43.88,46.47,42.62,44.18,7214400,0.0,0.0
2020-03-19,43.4,44.46,41.17,43.27,5650600,0.0,0.0
2020-03-20,43.11,45.1,40.65,41.05,6541200,0.0,0.0
2020-03-23,41.2,41.64,37.24,38.73,8152800,0.0,0.0
2020-03-24,40.65,43.28,40.1,43.2,5853300,0.0,0.0
2020-03-25,42.81,45.94,42.34,44.39,4921000,0.0,0.0
2020-03-26,44.68,46.96,44.15,46.37,5291000,0.0,0.0
2020-03-27,44.32,45.13,43.08,43.43,5159300,0.0,0.0
2020-03-30,44.12,44.61,43.12,44.1,6230200,0.0,0.0
2020-03-31,43.76,45.1,42.96,43.25,5228500,0.0,0.0
2020-04-01,41.59,41.96,39.22,39.57,5490300,0.0,0.0
2020-04-02,39.37,41.88,39.28,41.22,3819700,0.0,0.0
2020-04-03,40.92,41.62,40.03,40.39,3225800,0.0,0.0
2020-04-06,42.64,45.33,42.25,45.09,5659100,0.0,0.0
2020-04-07,46.54,46.91,44.31,44.49,4056100,0.0,0.0
2020-04-08,45.09,48.2,44.45,47.83,5382200,0.0,0.0
2020-04-09,48.33,51.42,48.33,50.52,6208800,0.0,0.0
2020-04-13,49.81,50.0,48.45,49.05,3698900,0.0,0.0
2020-04-14,50.17,50.4,49.36,50.33,5486600,0.0,0.0
2020-04-15,49.04,49.13,47.59,48.34,3385100,0.0,0.0
2020-04-16,48.46,49.23,47.04,47.91,3551100,0.0,0.0
2020-04-17,49.05,50.18,48.95,50.08,5052600,0.0,0.0
2020-04-20,48.73,49.72,47.6,48.89,4955500,0.0,0.0
2020-04-21,47.75,48.87,47.16,47.46,4115900,0.0,0.0
2020-04-22,48.44,48.95,47.78,48.64,3591100,0.0,0.0
2020-04-23,48.78,50.0,48.78,49.0,2708900,0.0,0.0
2020-04-24,48.96,50.37,48.77,50.08,4056600,0.0,0.0
2020-04-27,50.62,52.28,50.6,52.16,4324900,0.0,0.0
2020-04-28,53.18,54.0,52.57,52.62,3728800,0.0,0.0
2020-04-29,54.11,55.57,53.78,55.13,3707200,0.0,0.0
2020-04-30,54.37,54.7,53.33,54.0,4274900,0.0,0.0
2020-05-01,52.95,53.1,52.23,52.59,2956200,0.0,0.0
2020-05-04,51.91,52.66,51.31,52.49,3566200,0.0,0.0
2020-05-05,52.87,53.48,52.46,53.18,3362600,0.0,0.0
2020-05-06,53.73,54.23,52.74,53.6,3939000,0.0,0.0
2020-05-07,54.27,55.13,54.27,54.69,3867600,0.0,0.0
2020-05-08,51.19,53.58,50.48,53.2,7785200,0.0,0.0
2020-05-11,52.42,52.46,50.84,51.7,3687900,0.0,0.0
2020-05-12,51.42,51.88,49.53,49.53,3603200,0.0,0.0
2020-05-13,49.0,49.02,45.59,46.05,5834000,0.0,0.0
2020-05-14,45.74,47.26,44.11,47.23,5218300,0.0,0.0
2020-05-15,46.41,46.8,45.59,46.71,4724900,0.0,0.0
2020-05-18,48.48,49.76,48.32,49.46,3686500,0.0,0.0
2020-05-19,49.08,49.44,47.97,48.11,3415300,0.22,0.0
2020-05-20,48.76,50.09,48.6,49.12,2866700,0.0,0.0
2020-05-21,49.01,49.34,48.33,48.36,2290600,0.0,0.0
2020-05-22,48.62,48.64,47.6,48.09,2718000,0.0,0.0
2020-05-26,49.6,50.38,49.38,49.78,3632800,0.0,0.0
2020-05-27,50.76,51.79,50.45,51.73,3709500,0.0,0.0
2020-05-28,51.98,52.24,50.09,50.19,3031100,0.0,0.0
2020-05-29,50.09,50.1,48.82,49.54,6450300,0.0,0.0
2020-06-01,49.54,49.84,49.05,49.4,3202900,0.0,0.0
2020-06-02,50.07,50.07,49.43,49.82,3079400,0.0,0.0
2020-06-03,50.21,51.82,50.02,51.73,4428800,0.0,0.0
2020-06-04,51.46,52.1,50.97,51.97,2349300,0.0,0.0
2020-06-05,53.24,55.35,52.85,54.04,4945700,0.0,0.0
2020-06-08,54.29,55.07,54.29,54.75,2706200,0.0,0.0
2020-06-09,54.21,54.21,52.94,53.45,2364900,0.0,0.0
2020-06-10,54.08,54.57,52.98,53.77,2811000,0.0,0.0
2020-06-11,52.41,52.55,50.11,50.15,3404300,0.0,0.0
2020-06-12,50.8,51.84,49.98,51.22,2474300,0.0,0.0
2020-06-15,49.15,51.5,49.07,51.1,2724000,0.0,0.0
2020-06-16,52.53,53.32,51.25,51.75,2685600,0.0,0.0
2020-06-17,52.23,52.39,51.13,51.86,2234900,0.0,0.0
2020-06-18,51.09,51.59,50.38,51.3,2570600,0.0,0.0
2020-06-19,52.34,52.35,50.39,50.62,5381000,0.0,0.0
2020-06-22,50.4,50.97,49.69,50.33,2388500,0.0,0.0
2020-06-23,50.95,51.82,50.49,51.59,3103300,0.0,0.0
2020-06-24,51.18,51.3,50.26,50.28,4597200,0.0,0.0
2020-06-25,50.5,52.03,50.46,51.96,3854700,0.0,0.0
2020-06-26,51.75,51.96,51.02,51.6,3743900,0.0,0.0
2020-06-29,52.12,52.83,51.4,52.8,2907300,0.0,0.0
2020-06-30,52.89,53.79,52.59,53.11,3845000,0.0,0.0
2020-07-01,53.27,53.68,52.29,52.73,2966500,0.0,0.0
2020-07-02,53.28,53.91,52.35,52.41,3123100,0.0,0.0
2020-07-06,53.27,53.36,52.42,52.58,2202900,0.0,0.0
2020-07-07,51.89,52.71,51.74,52.2,2604600,0.0,0.0
2020-07-08,52.42,52.68,51.61,52.06,1783300,0.0,0.0
2020-07-09,52.03,52.06,51.0,51.67,3043000,0.0,0.0
2020-07-10,51.45,52.23,51.33,52.13,2037900,0.0,0.0
2020-07-13,52.75,53.95,52.49,52.77,3415300,0.0,0.0
2020-07-14,52.36,52.85,51.57,52.78,2395200,0.0,0.0
2020-07-15,54.21,56.45,54.21,55.77,4574900,0.0,0.0
2020-07-16,56.92,57.67,56.55,57.06,5220900,0.0,0.0
2020-07-17,57.36,57.73,56.83,57.42,3011500,0.0,0.0
2020-07-20,57.35,57.96,57.06,57.68,2135000,0.0,0.0
2020-07-21,58.18,58.8,57.39,57.59,2495300,0.0,0.0
2020-07-22,57.6,58.33,57.27,57.91,3036900,0.0,0.0
2020-07-23,58.1,58.47,57.75,58.02,2514900,0.0,0.0
2020-07-24,58.12,58.26,57.44,57.76,2678000,0.0,0.0
2020-07-27,57.66,59.51,57.28,59.28,2997400,0.0,0.0
2020-07-28,59.28,59.67,58.49,58.55,3155000,0.0,0.0
2020-07-29,58.95,60.94,58.58,60.56,4818300,0.0,0.0
2020-07-30,64.42,64.95,62.62,64.66,6495000,0.0,0.0
2020-07-31,64.29,64.49,62.61,63.86,3646900,0.0,0.0
2020-08-03,62.48,63.67,62.31,63.59,3398200,0.0,0.0
2020-08-04,62.78,63.55,62.5,63.48,2962900,0.0,0.0
2020-08-05,63.69,64.19,62.77,63.02,2697300,0.0,0.0
2020-08-06,63.08,63.3,62.31,63.16,2307600,0.0,0.0
2020-08-07,62.81,63.23,62.33,63.07,2054500,0.0,0.0
2020-08-10,62.96,63.07,62.26,62.72,2338600,0.0,0.0
2020-08-11,62.89,63.16,61.94,62.18,2302500,0.0,0.0
2020-08-12,62.58,63.2,62.52,62.6,2699000,0.0,0.0
2020-08-13,61.99,62.9,61.83,62.53,1531500,0.0,0.0
2020-08-14,62.14,62.88,61.69,62.56,1289300,0.0,0.0
2020-08-17,62.86,63.41,62.57,63.13,1769200,0.0,0.0
2020-08-18,63.18,63.44,62.62,62.83,1535400,0.0,0.0
2020-08-19,62.9,63.25,62.4,62.52,1935500,0.0,0.0
2020-08-20,62.0,62.56,61.91,62.17,1315300,0.22,0.0
2020-08-21,62.05,62.09,61.07,61.63,3580100,0.0,0.0
2020-08-24,61.62,63.42,61.46,63.41,2429900,0.0,0.0
2020-08-25,63.41,63.44,62.33,62.77,1864000,0.0,0.0
2020-08-26,62.9,63.63,62.43,63.53,2071000,0.0,0.0
2020-08-27,63.77,64.05,62.98,63.21,1589900,0.0,0.0
2020-08-28,63.18,63.52,62.84,63.48,1536900,0.0,0.0
2020-08-31,63.19,63.33,62.57,62.7,2653700,0.0,0.0
2020-09-01,62.13,62.86,61.78,62.8,1704600,0.0,0.0
2020-09-02,63.25,64.69,62.91,64.54,2710900,0.0,0.0
2020-09-03,64.39,64.6,62.2,62.94,3366700,0.0,0.0
2020-09-04,63.2,63.88,61.74,62.65,2544900,0.0,0.0
2020-09-08,61.37,62.52,60.99,61.52,3102600,0.0,0.0
2020-09-09,61.93,62.77,61.22,62.27,2275400,0.0,0.0
2020-09-10,62.18,63.46,61.29,61.48,2679200,0.0,0.0
2020-09-11,63.55,64.86,62.88,63.93,4935500,0.0,0.0
2020-09-14,64.1,65.25,64.09,64.98,3411900,0.0,0.0
2020-09-15,64.93,66.57,64.93,65.76,3436500,0.0,0.0
2020-09-16,66.49,67.34,65.69,66.32,3160300,0.0,0.0
2020-09-17,63.87,66.45,63.68,65.75,3819500,0.0,0.0
2020-09-18,65.72,66.02,63.74,64.57,5525500,0.0,0.0
2020-09-21,63.63,63.93,62.89,63.19,3190000,0.0,0.0
2020-09-22,63.42,64.23,62.56,64.0,2838700,0.0,0.0
2020-09-23,64.2,64.88,62.65,62.91,3086100,0.0,0.0
2020-09-24,61.84,63.39,61.5,62.73,2855000,0.0,0.0
2020-09-25,62.71,64.07,62.36,63.84,2758100,0.0,0.0
2020-09-28,64.68,65.31,64.45,65.0,3971000,0.0,0.0
2020-09-29,65.12,65.72,64.36,64.7,2571100,0.0,0.0
2020-09-30,64.97,65.74,64.57,65.1,3912200,0.0,0.0
2020-10-01,65.85,66.2,64.68,65.01,3426400,0.0,0.0
2020-10-02,63.69,65.03,63.57,64.57,2460500,0.0,0.0
2020-10-05,65.29,66.82,65.17,66.51,4117400,0.0,0.0
2020-10-06,66.49,67.14,65.35,65.48,3111000,0.0,0.0
2020-10-07,66.33,67.97,66.2,67.74,3180300,0.0,0.0
2020-10-08,67.99,68.88,67.73,68.37,2312700,0.0,0.0
2020-10-09,69.06,69.45,68.22,68.53,3584300,0.0,0.0
2020-10-12,69.48,70.26,68.71,69.98,4748800,0.0,0.0
2020-10-13,70.32,70.63,68.49,68.66,3322100,0.0,0.0
2020-10-14,68.66,69.77,68.55,69.36,3273400,0.0,0.0
2020-10-15,68.69,69.29,68.23,69.13,2637200,0.0,0.0
2020-10-16,69.71,69.98,68.75,68.79,2533200,0.0,0.0
2020-10-19,68.63,69.16,67.48,67.7,2791400,0.0,0.0
2020-10-20,68.5,69.4,67.8,68.78,2252400,0.0,0.0
2020-10-21,68.48,69.43,68.34,68.35,2915900,0.0,0.0
2020-10-22,68.2,69.0,67.73,68.81,2705400,0.0,0.0
2020-10-23,68.89,69.69,68.54,69.51,2135600,0.0,0.0
2020-10-26,68.64,68.88,67.4,68.18,6195700,0.0,0.0
2020-10-27,68.3,68.92,68.0,68.82,5498400,0.0,0.0
2020-10-28,67.85,68.39,66.56,66.67,8444500,0.0,0.0
2020-10-29,70.17,71.69,66.4,66.6,7110800,0.0,0.0
2020-10-30,66.08,67.31,65.61,66.97,4298200,0.0,0.0
2020-11-02,67.02,67.43,65.91,66.39,3276100,0.0,0.0
2020-11-03,67.44,68.4,66.96,67.46,2089600,0.0,0.0
2020-11-04,69.18,69.48,67.39,68.47,2427200,0.0,0.0
2020-11-05,69.18,70.25,68.85,69.62,2079100,0.0,0.0
2020-11-06,69.84,69.97,69.02,69.6,1394700,0.0,0.0
2020-11-09,70.51,73.34,69.22,69.28,3344000,0.0,0.0
2020-11-10,69.17,70.79,68.95,70.42,3789900,0.0,0.0
2020-11-11,70.81,72.29,70.74,71.98,3254300,0.0,0.0
2020-11-12,72.04,72.38,70.88,71.47,3087200,0.0,0.0
2020-11-13,72.21,72.83,72.02,72.38,2681200,0.0,0.0
2020-11-16,73.02,73.58,72.42,72.96,2162500,0.0,0.0
2020-11-17,71.97,72.56,71.43,72.21,2026800,0.0,0.0
2020-11-18,71.91,72.2,70.23,70.25,4192600,0.22,0.0
2020-11-19,70.52,71.75,70.12,71.66,2915700,0.0,0.0
2020-11-20,71.4,71.74,71.16,71.38,2277100,0.0,0.0
2020-11-23,71.47,72.7,71.4,72.6,1958000,0.0,0.0
2020-11-24,73.31,74.08,72.67,74.06,2594600,0.0,0.0
2020-11-25,74.24,74.29,73.51,73.87,2189500,0.0,0.0
2020-11-27,73.3,74.19,73.03,73.74,1104900,0.0,0.0
2020-11-30,73.3,73.66,72.48,73.48,3797700,0.0,0.0
2020-12-01,73.46,74.33,73.31,73.97,3653600,0.0,0.0
2020-12-02,73.97,73.97,73.33,73.47,2250900,0.0,0.0
2020-12-03,73.42,74.42,73.12,74.07,2108200,0.0,0.0
2020-12-04,74.44,76.28,73.81,76.23,3079000,0.0,0.0
