,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 19:00:00-05:00,nan,nan,nan
2025-10-29 20:00:00-04:00,nan,nan,nan
2025-07-30 20:00:00-04:00,nan,nan,nan
2025-04-23 20:00:00-04:00,nan,nan,nan
2025-01-30 19:00:00-05:00,2.11,2.06,-2.46
2024-10-31 20:00:00-04:00,2.42,2.51,3.66
2024-08-01 20:00:00-04:00,2.93,2.55,-13.0
2024-04-25 20:00:00-04:00,2.87,2.93,1.98
2024-02-01 19:00:00-05:00,3.21,3.45,7.61
2023-10-26 20:00:00-04:00,3.75,3.05,-18.71
2023-07-22 20:00:00-04:00,2.97,3.08,3.6
2023-04-27 20:00:00-04:00,3.41,3.55,4.19
