,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,85.62,86.64,84.58,84.81,9539800,0.0,0.0
2020-02-25,84.89,84.98,81.0,81.57,12871900,0.0,0.0
2020-02-26,81.69,82.3,79.38,79.41,11990400,0.0,0.0
2020-02-27,77.72,79.54,76.2,76.24,15783700,0.0,0.0
2020-02-28,73.41,75.68,72.99,75.6,20835100,0.0,0.0
2020-03-02,76.15,78.31,74.69,78.24,15050800,0.0,0.0
2020-03-03,78.4,79.77,75.63,76.45,16525500,0.0,0.0
2020-03-04,78.06,80.2,77.49,79.81,14753000,0.0,0.0
2020-03-05,77.52,78.88,76.9,78.72,12814400,0.0,0.0
2020-03-06,76.07,77.81,75.67,77.21,16861900,0.0,0.0
2020-03-09,66.6,71.29,64.8,65.34,30595500,0.0,0.0
2020-03-10,69.85,69.9,65.64,68.83,22642900,0.0,0.0
2020-03-11,66.6,68.72,66.21,67.25,18412800,0.0,0.0
2020-03-12,62.55,63.28,59.01,61.77,25768200,0.0,0.0
2020-03-13,64.78,67.63,60.03,67.57,23497500,0.0,0.0
2020-03-16,58.78,63.57,56.45,56.45,17535300,0.0,0.0
2020-03-17,57.02,59.11,53.04,57.26,22684200,0.0,0.0
2020-03-18,53.63,53.64,44.2,44.59,24947300,0.0,0.0
2020-03-19,44.76,47.37,41.79,46.48,29871000,0.0,0.0
2020-03-20,48.22,49.12,45.65,48.1,26960400,0.0,0.0
2020-03-23,47.19,48.11,42.9,43.91,23764000,0.0,0.0
2020-03-24,49.8,54.79,48.86,53.9,29198800,0.0,0.0
2020-03-25,55.31,59.24,53.98,56.11,22560100,0.0,0.0
2020-03-26,56.94,62.45,54.99,61.86,24129100,0.0,0.0
2020-03-27,58.41,59.56,55.48,55.71,20411500,0.0,0.0
2020-03-30,55.08,59.07,54.28,58.28,18486800,0.0,0.0
2020-03-31,59.35,60.78,57.35,58.69,18514200,0.0,0.0
2020-04-01,56.3,58.55,54.76,55.53,14362000,0.0,0.0
2020-04-02,58.11,63.74,56.36,61.65,23220600,0.0,0.0
2020-04-03,63.18,63.98,59.15,60.84,14905400,0.0,0.0
2020-04-06,62.37,65.57,61.16,65.11,17334900,0.0,0.0
2020-04-07,68.25,69.41,65.49,65.54,16394800,0.0,0.0
2020-04-08,66.65,69.9,66.03,69.64,12284800,0.0,0.0
2020-04-09,71.88,72.82,66.03,68.29,17023800,0.0,0.0
2020-04-13,70.61,70.76,67.55,68.77,13854700,0.0,0.0
2020-04-14,69.22,70.53,68.3,68.53,14797600,0.0,0.0
2020-04-15,65.17,67.54,64.25,66.81,13982300,0.0,0.0
2020-04-16,65.86,66.57,63.83,64.79,12291900,0.0,0.0
2020-04-17,65.87,70.87,65.87,70.61,16130100,0.0,0.0
2020-04-20,66.95,70.47,66.49,67.69,15749000,0.0,0.0
2020-04-21,65.02,67.87,64.19,66.13,19620600,0.0,0.0
2020-04-22,68.81,69.05,67.2,68.39,10320700,0.0,0.0
2020-04-23,69.9,71.91,69.16,70.31,14226500,0.0,0.0
2020-04-24,71.67,71.92,69.47,70.48,9175500,0.0,0.0
2020-04-27,70.26,73.4,69.55,72.66,12037100,0.0,0.0
2020-04-28,72.53,73.68,71.95,72.82,10645200,0.0,0.0
2020-04-29,74.91,77.06,74.75,76.64,12342800,0.0,0.0
2020-04-30,75.91,77.55,73.37,74.52,12222000,0.0,0.0
2020-05-01,74.12,74.56,70.5,72.44,13250100,0.0,0.0
2020-05-04,71.89,74.21,71.03,74.06,11192400,0.0,0.0
2020-05-05,76.54,77.19,75.07,75.24,13608700,0.0,0.0
2020-05-06,75.21,75.7,72.71,72.94,11145900,0.0,0.0
2020-05-07,75.31,76.19,74.44,75.04,9749600,0.0,0.0
2020-05-08,76.95,77.4,76.19,77.33,8585900,0.0,0.0
2020-05-11,76.31,76.62,75.47,75.63,7101000,0.0,0.0
2020-05-12,75.43,76.16,73.71,73.79,8749100,0.0,0.0
2020-05-13,72.82,72.9,70.73,71.84,12215100,0.0,0.0
2020-05-14,70.7,73.65,69.67,72.94,10678200,0.0,0.0
2020-05-15,73.42,74.57,71.95,72.22,10113000,0.0,0.0
2020-05-18,75.94,76.76,75.17,76.06,12304300,1.29,0.0
2020-05-19,76.05,76.13,73.58,73.66,7749300,0.0,0.0
2020-05-20,74.79,76.82,74.12,76.43,9160000,0.0,0.0
2020-05-21,76.24,76.74,75.02,75.64,8830900,0.0,0.0
2020-05-22,75.16,75.28,73.53,74.2,8563100,0.0,0.0
2020-05-26,76.01,77.53,75.64,76.68,9430000,0.0,0.0
