,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,74.98,75.05,73.62,74.94,1188800,0.0,0.0
2020-02-24,72.0,74.95,71.44,74.05,1539000,0.0,0.0
2020-02-25,74.19,75.34,72.48,73.08,1761900,0.0,0.0
2020-02-26,73.48,75.0,72.18,73.83,1098600,0.0,0.0
2020-02-27,71.98,74.62,71.38,72.44,1955500,0.0,0.0
2020-02-28,70.33,71.26,67.68,70.73,3248400,0.0,0.0
2020-03-02,71.59,74.44,70.26,74.2,2283500,0.0,0.0
2020-03-03,74.19,75.06,68.66,69.47,1596300,0.0,0.0
2020-03-04,70.97,72.48,69.7,71.94,1034700,0.0,0.0
2020-03-05,70.19,71.86,67.41,68.41,1620200,0.0,0.0
2020-03-06,66.93,67.62,63.88,66.31,1211900,0.0,0.0
2020-03-09,60.34,62.9,58.29,61.9,2012600,0.0,0.0
2020-03-10,63.54,63.54,59.38,62.83,1331300,0.0,0.0
2020-03-11,60.95,62.29,55.45,56.63,1780100,0.0,0.0
2020-03-12,50.5,52.65,47.58,48.61,2390700,0.0,0.0
2020-03-13,51.52,55.36,48.38,55.04,1847400,0.0,0.0
2020-03-16,49.0,49.65,45.81,47.56,2207400,0.0,0.0
2020-03-17,48.43,49.27,44.38,49.04,1798200,0.0,0.0
2020-03-18,45.43,46.59,38.4,44.15,2193100,0.0,0.0
2020-03-19,44.02,46.56,40.75,45.9,1663700,0.0,0.0
2020-03-20,46.08,49.52,44.68,47.75,2092200,0.0,0.0
2020-03-23,47.08,49.13,45.22,46.72,1750100,0.0,0.0
2020-03-24,47.72,50.36,47.56,49.83,1438200,0.0,0.0
2020-03-25,49.83,53.95,48.77,50.29,1390500,0.0,0.0
2020-03-26,50.09,54.47,49.68,52.24,1042500,0.0,0.0
2020-03-27,50.09,50.9,47.9,48.65,1090600,0.0,0.0
2020-03-30,48.88,51.72,48.36,51.4,575300,0.0,0.0
2020-03-31,50.79,51.31,48.9,50.06,1115700,0.0,0.0
2020-04-01,47.68,48.61,45.18,46.0,1367200,0.0,0.0
2020-04-02,45.18,45.99,42.58,43.27,1796900,0.0,0.0
2020-04-03,42.54,43.18,38.9,39.2,2504500,0.0,0.0
2020-04-06,41.15,44.59,40.16,44.47,1259900,0.0,0.0
2020-04-07,47.04,47.09,44.16,45.47,1148500,0.0,0.0
