,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-11-18 19:00:00-05:00,nan,nan,nan
2025-08-12 20:00:00-04:00,nan,nan,nan
2025-05-13 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,3.11,3.19,2.61
2024-11-20 19:00:00-05:00,3.87,4.55,17.72
2024-08-14 20:00:00-04:00,5.63,6.29,11.74
2024-05-15 20:00:00-04:00,7.86,8.53,8.48
2024-02-14 19:00:00-05:00,5.21,6.23,19.58
2023-11-21 19:00:00-05:00,7.47,8.32,11.39
2023-08-17 20:00:00-04:00,8.2,10.2,24.34
2023-05-18 20:00:00-04:00,8.59,9.65,12.39
