,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 19:00:00-05:00,nan,nan,nan
2025-10-19 20:00:00-04:00,nan,nan,nan
2025-07-20 20:00:00-04:00,nan,nan,nan
2025-04-20 20:00:00-04:00,nan,nan,nan
2025-01-29 19:00:00-05:00,2.19,2.33,6.59
2024-10-21 20:00:00-04:00,2.26,2.3,1.81
2024-07-22 20:00:00-04:00,2.34,2.35,0.56
2024-04-22 20:00:00-04:00,1.86,2.04,9.95
2024-01-31 19:00:00-05:00,2.11,2.15,1.7
2023-10-23 20:00:00-04:00,2.19,2.22,1.41
2023-07-25 20:00:00-04:00,2.27,2.3,1.48
2023-04-26 20:00:00-04:00,1.97,2.04,3.3
