,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-19 20:00:00-04:00,nan,nan,nan
2025-07-20 20:00:00-04:00,nan,nan,nan
2025-04-20 20:00:00-04:00,nan,nan,nan
2025-01-28 19:00:00-05:00,2.16,2.14,-0.93
2024-10-21 20:00:00-04:00,1.57,1.71,9.02
2024-07-22 20:00:00-04:00,1.57,1.72,9.31
2024-04-22 20:00:00-04:00,1.71,1.92,12.29
2024-01-29 19:00:00-05:00,1.91,2.09,9.61
2023-10-23 20:00:00-04:00,1.87,2.02,8.28
2023-07-24 20:00:00-04:00,2.01,2.05,2.19
2023-04-24 20:00:00-04:00,2.25,2.36,4.89
