,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,138.15,138.17,136.88,137.27,7725800,0.0,0.0
2020-02-24,131.27,132.79,129.6,131.38,19336500,0.0,0.0
2020-02-25,132.11,132.3,126.41,126.62,21032500,0.0,0.0
2020-02-26,124.58,126.8,120.63,121.85,31195900,0.0,0.0
2020-02-27,118.34,121.4,116.48,116.59,30827500,0.0,0.0
2020-02-28,113.11,116.86,111.82,116.21,35389900,0.0,0.0
2020-03-02,117.67,118.51,114.61,118.51,21775900,0.0,0.0
2020-03-03,119.67,120.29,113.74,115.02,19529700,0.0,0.0
2020-03-04,117.5,117.78,114.07,117.72,13842100,0.0,0.0
2020-03-05,115.43,115.53,110.74,112.58,22397200,0.0,0.0
2020-03-06,109.4,114.45,108.97,113.86,22899600,0.0,0.0
2020-03-09,107.36,109.08,103.0,103.07,26233600,0.0,0.0
2020-03-10,106.78,110.21,101.18,110.09,24083700,0.0,0.0
2020-03-11,107.09,107.57,101.6,104.22,24771300,0.0,0.0
2020-03-12,96.42,98.77,90.52,90.68,40392900,0.0,0.0
2020-03-13,99.55,101.61,91.12,101.26,40960100,0.0,0.0
2020-03-16,90.67,97.08,88.9,93.85,35379500,0.0,0.0
2020-03-17,94.63,96.27,90.03,92.38,27526200,0.0,0.0
2020-03-18,86.52,88.24,78.1,87.71,43592500,0.0,0.0
2020-03-19,86.92,96.21,84.07,93.77,30866800,0.0,0.0
2020-03-20,94.81,95.8,84.79,84.93,31957800,0.0,0.0
2020-03-23,83.45,86.21,80.1,84.71,32246600,0.0,0.0
2020-03-24,91.2,97.95,90.67,96.92,32538100,0.0,0.0
2020-03-25,99.43,104.62,94.34,99.5,28533000,0.0,0.0
2020-03-26,99.59,106.41,99.56,104.07,24520300,0.0,0.0
2020-03-27,99.22,100.25,94.37,95.22,30591500,0.0,0.0
2020-03-30,94.82,99.23,90.97,98.58,23119200,0.0,0.0
2020-03-31,98.99,101.9,94.98,95.42,21563200,0.0,0.0
2020-04-01,92.35,96.21,91.43,93.76,18303900,0.0,0.0
2020-04-02,93.05,96.07,93.05,95.78,13936500,0.0,0.0
2020-04-03,95.13,95.73,91.57,92.73,14814600,0.0,0.0
2020-04-06,96.07,98.96,93.36,98.36,20407400,0.0,0.0
2020-04-07,103.58,104.59,99.02,100.0,22899600,0.0,0.0
2020-04-08,99.3,101.1,97.44,99.83,22562500,0.0,0.0
2020-04-09,106.6,106.67,102.26,103.22,31453600,0.0,0.0
2020-04-13,103.43,103.59,98.39,102.23,17306000,0.0,0.0
2020-04-14,104.21,106.32,102.63,104.73,19866900,0.0,0.0
2020-04-15,103.11,103.6,101.44,102.1,14157600,0.0,0.0
2020-04-16,102.26,102.45,99.65,100.77,18029300,0.0,0.0
2020-04-17,104.91,105.48,103.07,105.32,17926900,0.0,0.0
2020-04-20,102.31,103.58,100.75,101.01,17021000,0.0,0.0
2020-04-21,98.78,100.27,97.92,99.31,16101400,0.0,0.0
2020-04-22,100.55,101.37,99.65,99.75,11463800,0.0,0.0
2020-04-23,99.42,101.27,98.24,99.76,17132200,0.0,0.0
2020-04-24,100.53,100.67,98.3,99.95,13614100,0.0,0.0
2020-04-27,100.75,105.22,100.37,104.76,15518300,0.0,0.0
2020-04-28,107.46,108.71,104.68,104.91,16503700,0.0,0.0
2020-04-29,108.59,111.32,107.23,110.88,20139800,0.0,0.0
2020-04-30,108.1,108.96,105.55,106.83,18638700,0.0,0.0
2020-05-01,105.06,105.6,103.19,104.21,13209100,0.0,0.0
2020-05-04,100.76,102.56,99.32,101.92,19514800,0.0,0.0
2020-05-05,100.27,103.89,99.66,99.82,30169800,0.0,0.0
2020-05-06,100.24,103.98,97.65,99.64,51992400,0.0,0.0
2020-05-07,100.6,104.32,100.58,104.28,20868800,0.0,0.0
2020-05-08,107.71,107.84,105.32,107.82,24079700,0.0,0.0
2020-05-11,107.07,107.48,105.11,106.45,20555900,0.0,0.0
2020-05-12,107.72,108.1,103.21,103.28,17049700,0.0,0.0
2020-05-13,103.22,103.26,100.36,101.66,21085800,0.0,0.0
2020-05-14,100.73,104.62,98.44,104.61,22002200,0.0,0.0
2020-05-15,103.69,108.04,102.99,107.71,29766000,0.0,0.0
2020-05-18,113.07,118.31,113.07,115.42,40044600,0.0,0.0
2020-05-19,113.69,115.04,112.03,112.97,20332600,0.0,0.0
2020-05-20,114.99,119.39,114.62,118.45,25749900,0.0,0.0
2020-05-21,117.88,118.83,115.07,116.39,17578300,0.0,0.0
2020-05-22,116.06,117.12,115.4,116.57,9288200,0.0,0.0
2020-05-26,119.57,121.01,118.96,119.47,16466400,0.0,0.0
2020-05-27,122.17,122.26,118.24,120.04,19345400,0.0,0.0
2020-05-28,120.11,120.49,114.58,115.32,18606000,0.0,0.0
2020-05-29,114.77,116.31,112.72,115.86,17745100,0.0,0.0
2020-06-01,115.82,118.18,115.5,117.32,10538300,0.0,0.0
2020-06-02,117.54,118.38,116.39,117.3,10753100,0.0,0.0
2020-06-03,118.52,120.95,117.86,120.68,12584300,0.0,0.0
2020-06-04,120.46,122.98,120.36,122.18,14195100,0.0,0.0
2020-06-05,124.76,126.26,122.76,123.29,16581600,0.0,0.0
2020-06-08,123.57,125.88,122.42,125.72,13858100,0.0,0.0
2020-06-09,124.09,124.25,122.0,122.37,10882800,0.0,0.0
2020-06-10,122.5,122.58,119.45,120.68,11497100,0.0,0.0
2020-06-11,116.16,116.56,110.88,111.26,26078800,0.0,0.0
2020-06-12,113.76,115.57,111.51,114.08,18361900,0.0,0.0
2020-06-15,110.71,116.67,110.34,115.65,14156400,0.0,0.0
2020-06-16,119.76,120.01,114.63,116.99,12951200,0.0,0.0
2020-06-17,117.19,117.77,115.71,116.21,8921600,0.0,0.0
2020-06-18,115.45,117.08,114.51,116.92,9577300,0.0,0.0
2020-06-19,118.51,118.65,112.95,112.95,23496300,0.0,0.0
2020-06-22,112.79,114.77,111.72,114.5,12868000,0.0,0.0
2020-06-23,115.53,116.01,114.55,115.16,10187600,0.0,0.0
2020-06-24,114.43,114.58,108.68,110.7,22252500,0.0,0.0
2020-06-25,107.66,110.14,107.17,110.0,17240400,0.0,0.0
2020-06-26,109.59,109.84,106.7,107.76,15270900,0.0,0.0
2020-06-29,107.66,110.2,106.78,110.15,12584300,0.0,0.0
2020-06-30,110.13,110.68,108.58,110.14,10565900,0.0,0.0
2020-07-01,111.44,114.18,110.91,111.63,11930900,0.0,0.0
2020-07-02,113.59,113.69,110.63,110.81,10312000,0.0,0.0
2020-07-06,112.44,113.13,111.52,113.03,11933400,0.0,0.0
2020-07-07,112.24,113.67,111.23,112.24,10836500,0.0,0.0
2020-07-08,112.09,115.7,111.43,115.23,13629500,0.0,0.0
2020-07-09,115.08,116.41,113.97,115.38,13582900,0.0,0.0
2020-07-10,115.4,117.98,114.79,117.88,14207900,0.0,0.0
2020-07-13,118.47,118.66,114.47,114.8,15620200,0.0,0.0
2020-07-14,113.82,117.62,113.14,117.21,12425100,0.0,0.0
2020-07-15,120.14,120.6,118.23,119.42,15314200,0.0,0.0
2020-07-16,116.28,118.52,116.16,117.97,10210100,0.0,0.0
2020-07-17,117.44,118.1,115.63,117.2,9843500,0.0,0.0
2020-07-20,116.6,117.04,115.39,116.35,8947900,0.0,0.0
2020-07-21,116.6,118.92,116.22,117.17,8946300,0.0,0.0
2020-07-22,116.74,117.84,116.49,117.57,7063300,0.0,0.0
2020-07-23,117.4,117.89,115.58,116.67,7255800,0.0,0.0
2020-07-24,114.28,116.76,114.12,116.17,8233300,0.0,0.0
2020-07-27,115.76,115.98,114.26,114.89,9413000,0.0,0.0
2020-07-28,114.05,115.41,113.28,114.76,6821100,0.0,0.0
2020-07-29,114.8,115.28,113.7,114.19,9496500,0.0,0.0
2020-07-30,113.5,114.87,111.98,114.24,9713500,0.0,0.0
2020-07-31,113.81,115.62,112.72,115.51,9601000,0.0,0.0
2020-08-03,114.75,115.69,113.94,114.93,10229200,0.0,0.0
2020-08-04,114.54,116.9,114.34,115.85,17293900,0.0,0.0
2020-08-05,121.86,128.71,121.77,126.05,53000200,0.0,0.0
2020-08-06,125.41,130.02,124.07,129.22,27238000,0.0,0.0
2020-08-07,128.63,130.32,127.08,128.34,16088600,0.0,0.0
2020-08-10,128.16,129.71,126.92,127.21,8529200,0.0,0.0
2020-08-11,128.93,131.13,128.41,128.89,13885700,0.0,0.0
2020-08-12,129.07,131.37,128.89,130.18,12204200,0.0,0.0
2020-08-13,129.04,130.73,128.85,129.36,6468600,0.0,0.0
2020-08-14,128.42,129.48,128.15,128.93,6507600,0.0,0.0
2020-08-17,128.51,128.55,126.97,127.79,7492200,0.0,0.0
2020-08-18,127.86,128.0,126.79,127.34,6714600,0.0,0.0
2020-08-19,127.67,128.63,125.87,126.21,7624200,0.0,0.0
2020-08-20,125.25,126.88,124.98,126.55,4918100,0.0,0.0
2020-08-21,126.16,126.74,125.67,125.88,6064700,0.0,0.0
2020-08-24,126.58,129.28,126.36,129.09,7613600,0.0,0.0
2020-08-25,129.23,129.49,127.73,128.2,5494400,0.0,0.0
2020-08-26,128.41,130.98,127.93,130.56,8447800,0.0,0.0
2020-08-27,131.37,134.69,131.19,132.09,13667600,0.0,0.0
2020-08-28,132.85,135.13,131.94,133.88,11020100,0.0,0.0
2020-08-31,133.59,133.88,129.64,130.26,11617500,0.0,0.0
2020-09-01,130.31,131.97,129.29,131.92,7351200,0.0,0.0
2020-09-02,131.99,134.26,131.63,133.73,8187800,0.0,0.0
2020-09-03,133.58,135.56,130.4,131.61,12079200,0.0,0.0
2020-09-04,132.11,133.23,127.84,130.37,11248300,0.0,0.0
2020-09-08,130.37,135.46,129.26,132.56,17257300,0.0,0.0
2020-09-09,132.64,133.89,130.64,131.73,8891800,0.0,0.0
2020-09-10,131.94,135.08,131.12,131.59,9853400,0.0,0.0
2020-09-11,132.1,132.1,129.49,130.14,7165300,0.0,0.0
2020-09-14,130.91,131.3,129.3,129.64,8391900,0.0,0.0
2020-09-15,129.85,130.92,129.41,129.63,7289100,0.0,0.0
2020-09-16,130.55,131.98,129.79,130.47,6601000,0.0,0.0
2020-09-17,128.95,130.16,127.03,128.63,6723500,0.0,0.0
2020-09-18,127.91,129.19,126.55,127.06,9916300,0.0,0.0
2020-09-21,124.44,125.34,122.08,123.87,10352700,0.0,0.0
2020-09-22,123.73,125.91,123.17,125.65,6978800,0.0,0.0
2020-09-23,125.51,125.74,121.4,121.77,8323600,0.0,0.0
2020-09-24,120.44,122.28,119.3,120.99,8480000,0.0,0.0
