,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,29.46,29.69,29.23,29.3,8038100,0.0,0.0
2020-02-24,29.2,29.64,29.14,29.26,4212800,0.0,0.0
2020-02-25,29.32,29.4,28.07,28.13,4328600,0.0,0.0
2020-02-26,28.06,28.49,27.57,27.57,4922900,0.0,0.0
2020-02-27,27.23,27.58,25.85,25.85,4829600,0.0,0.0
2020-02-28,25.4,25.44,24.06,24.95,7435300,0.0,0.0
2020-03-02,25.14,25.91,24.71,25.89,5655300,0.0,0.0
2020-03-03,25.93,27.05,25.7,26.21,5994600,0.0,0.0
2020-03-04,26.76,27.41,26.63,27.27,3942600,0.0,0.0
2020-03-05,26.75,27.41,26.64,27.31,4531600,0.0,0.0
2020-03-06,26.68,26.82,25.55,26.6,4678300,0.0,0.0
2020-03-09,25.3,25.37,24.37,24.64,6026100,0.0,0.0
2020-03-10,25.19,25.33,23.6,25.32,7945500,0.0,0.0
2020-03-11,24.73,24.76,22.85,22.9,8169000,0.0,0.0
2020-03-12,21.34,21.34,18.32,19.81,9149800,0.0,0.0
2020-03-13,21.17,22.82,19.1,22.76,9763600,0.0,0.0
2020-03-16,20.72,20.72,17.56,17.56,5973300,0.0,0.0
2020-03-17,17.86,19.1,15.8,18.39,7446200,0.0,0.0
2020-03-18,16.92,17.87,14.69,16.44,4720200,0.0,0.0
2020-03-19,16.29,17.99,15.54,15.84,6864600,0.0,0.0
2020-03-20,16.21,18.31,15.88,16.53,9259000,0.0,0.0
2020-03-23,16.23,17.08,15.35,15.73,5503100,0.0,0.0
2020-03-24,16.2,17.62,15.64,16.69,7531700,0.0,0.0
2020-03-25,16.58,18.19,16.1,17.27,8591100,0.0,0.0
2020-03-26,17.56,19.23,16.94,19.18,5489000,0.0,0.0
2020-03-27,18.53,20.5,17.92,19.74,6464800,0.0,0.0
2020-03-30,19.95,19.95,18.15,19.2,4645300,0.0,0.0
2020-03-31,18.94,19.32,18.04,18.81,6739500,0.0,0.0
2020-04-01,17.45,17.7,16.17,16.79,4385400,0.0,0.0
2020-04-02,16.58,17.07,15.69,16.1,4217600,0.0,0.0
2020-04-03,15.57,16.37,15.51,16.0,3686500,0.0,0.0
