,EPS Estimate,Reported EPS,Surprise(%)
2027-01-26 19:00:00-05:00,nan,nan,nan
2026-10-21 20:00:00-04:00,nan,nan,nan
2026-07-21 20:00:00-04:00,nan,nan,nan
2026-04-21 20:00:00-04:00,nan,nan,nan
2026-01-29 19:00:00-05:00,nan,nan,nan
2025-10-22 20:00:00-04:00,nan,nan,nan
2025-07-23 20:00:00-04:00,nan,nan,nan
2025-04-23 20:00:00-04:00,nan,nan,nan
2025-01-29 19:00:00-05:00,0.24,nan,-100.0
2024-10-23 20:00:00-04:00,0.46,0.47,2.93
2024-07-24 20:00:00-04:00,0.72,0.68,-4.95
2024-04-24 20:00:00-04:00,0.45,0.56,23.77
