,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,35.87,36.2,35.24,35.58,5075900,0.0,0.0
2020-02-25,35.78,35.81,33.53,33.82,5529300,0.0,0.0
2020-02-26,34.2,34.54,33.1,33.13,6470700,0.0,0.0
2020-02-27,32.33,32.43,30.9,30.94,10009300,0.7,0.0
2020-02-28,29.82,31.67,29.76,31.61,10280000,0.0,0.0
2020-03-02,32.11,32.4,31.12,32.4,7706700,0.0,0.0
2020-03-03,32.34,33.44,31.09,31.73,6765300,0.0,0.0
2020-03-04,32.42,32.83,31.45,32.78,4967000,0.0,0.0
2020-03-05,31.31,31.78,31.02,31.37,5447400,0.0,0.0
2020-03-06,30.29,31.05,29.97,30.48,6928400,0.0,0.0
2020-03-09,27.18,27.33,23.8,23.88,15081500,0.0,0.0
2020-03-10,25.43,26.07,22.93,24.56,12975400,0.0,0.0
2020-03-11,23.61,23.72,21.78,21.89,12444100,0.0,0.0
2020-03-12,19.91,20.64,17.51,18.51,18163300,0.0,0.0
2020-03-13,21.85,21.91,17.66,20.09,17350800,0.0,0.0
2020-03-16,18.07,19.89,17.17,17.21,12345400,0.0,0.0
2020-03-17,20.08,21.59,17.79,20.81,19873300,0.0,0.0
2020-03-18,19.43,22.13,19.17,20.68,16955900,0.0,0.0
2020-03-19,20.55,24.52,20.28,21.99,13893400,0.0,0.0
2020-03-20,22.36,23.22,20.8,21.46,12649100,0.0,0.0
2020-03-23,21.23,22.24,20.34,20.79,11703100,0.0,0.0
2020-03-24,22.42,23.43,21.04,22.27,12333600,0.0,0.0
2020-03-25,22.82,25.36,22.37,23.76,10539200,0.0,0.0
2020-03-26,23.68,24.48,22.64,23.21,14298600,0.0,0.0
2020-03-27,21.9,22.89,21.06,22.34,9101400,0.0,0.0
2020-03-30,22.14,22.99,21.75,22.41,6817000,0.0,0.0
2020-03-31,22.33,23.53,22.25,22.87,7599900,0.0,0.0
2020-04-01,21.78,22.11,21.07,21.15,10339900,0.0,0.0
2020-04-02,21.2,23.34,21.06,21.92,10680300,0.0,0.0
2020-04-03,21.73,22.35,21.45,21.88,8005100,0.0,0.0
2020-04-06,23.1,24.23,23.07,23.89,8021100,0.0,0.0
2020-04-07,25.62,27.43,24.88,25.29,15028000,0.0,0.0
2020-04-08,25.79,27.33,25.31,27.21,7220700,0.0,0.0
2020-04-09,27.96,29.52,27.8,28.6,9892300,0.0,0.0
2020-04-13,28.53,28.86,27.04,27.56,7170600,0.0,0.0
2020-04-14,28.45,29.05,27.45,27.67,7348800,0.0,0.0
2020-04-15,26.48,26.48,24.93,25.21,7586700,0.0,0.0
2020-04-16,25.57,25.57,23.97,24.74,6918500,0.0,0.0
2020-04-17,25.84,26.64,25.5,26.14,6544100,0.0,0.0
2020-04-20,25.17,25.68,24.64,24.66,7140700,0.0,0.0
2020-04-21,23.78,24.37,23.17,24.15,7315100,0.0,0.0
2020-04-22,24.87,25.05,24.15,24.9,5331100,0.0,0.0
2020-04-23,25.11,26.07,25.04,25.47,7724700,0.0,0.0
2020-04-24,25.84,26.09,25.22,25.91,4979100,0.0,0.0
2020-04-27,26.05,27.18,25.66,26.94,4885900,0.0,0.0
2020-04-28,27.75,28.31,27.15,28.06,5868600,0.0,0.0
2020-04-29,28.94,29.79,28.86,29.31,6887300,0.0,0.0
2020-04-30,29.15,29.22,28.2,28.7,10990200,0.0,0.0
2020-05-01,27.17,27.45,26.23,26.54,8709300,0.0,0.0
2020-05-04,25.11,25.92,24.84,25.86,6248300,0.0,0.0
2020-05-05,26.3,27.02,25.99,26.1,5041600,0.0,0.0
2020-05-06,25.59,26.11,24.94,25.0,4601500,0.0,0.0
2020-05-07,25.44,26.44,25.43,25.69,5056200,0.0,0.0
2020-05-08,26.42,26.88,26.1,26.85,4175700,0.0,0.0
2020-05-11,26.75,26.78,25.87,26.52,4321000,0.0,0.0
2020-05-12,26.79,27.7,26.4,26.43,5675400,0.0,0.0
2020-05-13,26.2,26.25,24.87,25.3,5865200,0.0,0.0
2020-05-14,24.4,26.24,24.17,26.21,6187900,0.0,0.0
2020-05-15,25.98,26.58,25.68,26.25,4829200,0.0,0.0
2020-05-18,28.07,29.73,27.93,28.74,8544900,0.0,0.0
2020-05-19,28.65,28.69,27.83,27.88,4415500,0.0,0.0
2020-05-20,28.43,28.94,27.97,28.3,5656200,0.0,0.0
2020-05-21,28.16,28.75,27.89,28.02,3941800,0.0,0.0
2020-05-22,27.91,28.3,27.67,28.25,3040600,0.0,0.0
2020-05-26,30.01,30.47,29.66,30.34,6188600,0.0,0.0
2020-05-27,31.25,31.81,30.53,31.15,6895200,0.0,0.0
2020-05-28,31.51,31.6,30.53,30.82,5266800,0.7,0.0
2020-05-29,30.37,31.04,30.03,30.73,5254200,0.0,0.0
2020-06-01,30.74,31.06,30.4,30.74,3014400,0.0,0.0
2020-06-02,31.21,32.83,31.12,32.33,6083400,0.0,0.0
2020-06-03,33.03,33.68,33.01,33.15,5160600,0.0,0.0
2020-06-04,33.04,34.05,32.9,34.01,3901500,0.0,0.0
2020-06-05,35.6,36.41,34.9,35.01,7656600,0.0,0.0
2020-06-08,35.1,36.57,35.1,36.55,5727300,0.0,0.0
2020-06-09,35.41,35.69,34.97,35.36,5535400,0.0,0.0
2020-06-10,35.34,35.43,34.56,34.7,4267700,0.0,0.0
2020-06-11,32.82,33.47,31.01,31.26,9225100,0.0,0.0
2020-06-12,33.3,33.37,31.84,32.83,5034900,0.0,0.0
2020-06-15,31.43,33.8,31.28,33.43,5665300,0.0,0.0
2020-06-16,35.16,35.43,33.0,33.64,5592400,0.0,0.0
2020-06-17,34.0,34.07,32.67,32.78,3525100,0.0,0.0
2020-06-18,32.37,33.43,32.15,33.11,4106800,0.0,0.0
2020-06-19,33.94,34.24,33.02,33.16,7494400,0.0,0.0
2020-06-22,33.01,33.54,32.38,33.23,3316000,0.0,0.0
2020-06-23,33.82,33.82,32.91,32.92,3603900,0.0,0.0
2020-06-24,32.33,32.42,30.51,30.61,7707200,0.0,0.0
2020-06-25,30.26,31.87,30.0,31.83,5986900,0.0,0.0
2020-06-26,31.5,31.85,30.84,31.69,8333800,0.0,0.0
2020-06-29,32.14,32.8,32.0,32.63,7756700,0.0,0.0
2020-06-30,32.32,32.6,31.66,32.45,4835300,0.0,0.0
2020-07-01,32.45,32.88,32.11,32.45,4023600,0.0,0.0
2020-07-02,33.17,33.64,32.57,33.11,4017500,0.0,0.0
2020-07-06,33.94,34.06,33.09,33.8,4679000,0.0,0.0
2020-07-07,33.23,33.5,32.78,33.19,4535900,0.0,0.0
2020-07-08,33.03,33.27,31.56,32.13,4824200,0.0,0.0
2020-07-09,32.16,32.26,31.19,31.4,3671900,0.0,0.0
2020-07-10,31.4,32.5,31.39,32.45,3007800,0.0,0.0
2020-07-13,32.72,33.31,32.25,32.84,3089000,0.0,0.0
2020-07-14,32.9,33.98,32.84,33.79,4350800,0.0,0.0
2020-07-15,34.76,35.11,33.88,34.5,3788300,0.0,0.0
2020-07-16,34.39,35.24,34.11,34.9,4259800,0.0,0.0
2020-07-17,35.09,35.15,34.21,34.77,4610600,0.0,0.0
2020-07-20,34.51,34.77,33.54,33.68,3580900,0.0,0.0
2020-07-21,33.84,34.58,33.8,34.27,3399600,0.0,0.0
2020-07-22,34.19,35.43,34.15,35.3,5792500,0.0,0.0
2020-07-23,34.24,34.4,33.35,34.09,6574300,0.0,0.0
2020-07-24,34.09,34.62,33.68,33.93,2999600,0.0,0.0
2020-07-27,34.09,35.42,33.78,35.03,4733600,0.0,0.0
2020-07-28,34.83,35.05,33.91,33.93,3395400,0.0,0.0
2020-07-29,34.08,34.74,34.03,34.65,3186900,0.0,0.0
2020-07-30,33.97,34.1,32.92,33.23,4118700,0.0,0.0
2020-07-31,33.03,33.38,32.32,32.69,7462100,0.0,0.0
2020-08-03,32.82,32.84,31.91,31.92,5079900,0.0,0.0
2020-08-04,31.88,33.33,31.77,32.9,5408800,0.0,0.0
2020-08-05,33.36,33.82,33.24,33.43,3563600,0.0,0.0
2020-08-06,33.19,33.69,32.69,33.48,3724900,0.0,0.0
2020-08-07,33.11,33.97,33.0,33.94,2913100,0.0,0.0
2020-08-10,34.09,35.74,34.09,35.67,4245900,0.0,0.0
2020-08-11,36.26,36.68,35.3,35.43,4373800,0.0,0.0
2020-08-12,36.01,36.13,34.98,35.26,2577300,0.0,0.0
2020-08-13,34.92,35.73,34.8,35.38,2767100,0.0,0.0
2020-08-14,34.99,35.94,34.9,35.73,1998300,0.0,0.0
2020-08-17,35.91,36.18,35.2,35.4,3257300,0.0,0.0
2020-08-18,35.36,35.85,35.28,35.6,2447100,0.0,0.0
2020-08-19,35.58,35.91,35.23,35.54,3453400,0.0,0.0
2020-08-20,35.05,35.15,34.66,34.79,3324000,0.0,0.0
2020-08-21,34.64,34.93,34.44,34.71,2511600,0.0,0.0
2020-08-24,35.27,36.75,35.05,36.72,4609000,0.0,0.0
2020-08-25,36.95,37.15,36.21,36.3,4188000,0.0,0.0
2020-08-26,36.37,37.15,36.05,36.9,3928500,0.0,0.0
2020-08-27,37.17,37.38,36.48,36.75,3702300,0.0,0.0
2020-08-28,36.71,37.36,36.36,37.23,3772900,0.7,0.0
2020-08-31,37.18,37.28,36.45,36.48,3916800,0.0,0.0
2020-09-01,36.21,38.23,35.95,38.22,5428300,0.0,0.0
2020-09-02,38.55,39.84,38.34,39.79,7305900,0.0,0.0
2020-09-03,39.84,40.26,38.74,39.12,6726900,0.0,0.0
2020-09-04,39.85,40.18,38.87,39.29,5325900,0.0,0.0
2020-09-08,38.56,39.14,38.35,38.75,4280800,0.0,0.0
2020-09-09,39.27,40.33,39.21,39.8,4168100,0.0,0.0
2020-09-10,39.86,40.22,39.34,39.37,4211300,0.0,0.0
2020-09-11,39.79,40.76,39.65,40.3,6225700,0.0,0.0
2020-09-14,40.48,40.84,40.18,40.5,5298900,0.0,0.0
2020-09-15,40.92,41.69,40.74,41.29,4771700,0.0,0.0
2020-09-16,40.58,41.31,39.96,40.18,5863500,0.0,0.0
2020-09-17,39.92,41.44,39.5,41.21,5253700,0.0,0.0
2020-09-18,40.85,41.42,40.63,40.72,6271100,0.0,0.0
2020-09-21,39.65,39.88,38.14,38.73,6468800,0.0,0.0
2020-09-22,38.79,38.93,38.16,38.65,4181900,0.0,0.0
2020-09-23,38.55,38.9,37.57,37.79,4018000,0.0,0.0
2020-09-24,37.73,37.99,36.94,37.52,4648700,0.0,0.0
2020-09-25,37.0,37.51,36.89,37.22,4090200,0.0,0.0
2020-09-28,37.59,39.03,37.59,38.39,3993100,0.0,0.0
2020-09-29,38.19,38.63,37.4,37.65,2716800,0.0,0.0
2020-09-30,38.15,38.9,37.68,38.04,4663200,0.0,0.0
2020-10-01,38.17,38.4,37.13,37.28,3407600,0.0,0.0
2020-10-02,36.68,38.38,36.49,38.25,4559000,0.0,0.0
2020-10-05,38.73,39.52,38.57,39.28,3913400,0.0,0.0
2020-10-06,39.71,40.26,38.69,38.71,4474700,0.0,0.0
2020-10-07,39.17,39.66,38.81,39.05,4506400,0.0,0.0
2020-10-08,39.31,39.95,39.19,39.92,2962000,0.0,0.0
2020-10-09,40.26,40.5,39.37,39.91,4472800,0.0,0.0
2020-10-12,39.94,40.02,39.02,39.28,3005700,0.0,0.0
2020-10-13,39.2,39.6,38.65,38.71,6832200,0.0,0.0
2020-10-14,38.68,39.59,38.34,39.48,5322100,0.0,0.0
2020-10-15,38.71,39.68,38.68,39.62,2793200,0.0,0.0
2020-10-16,39.92,40.42,39.72,39.86,2754300,0.0,0.0
2020-10-19,39.88,40.69,39.41,39.49,2903500,0.0,0.0
2020-10-20,39.9,40.55,39.79,39.89,2503600,0.0,0.0
2020-10-21,39.92,40.19,39.25,39.25,4092500,0.0,0.0
2020-10-22,40.27,40.55,38.12,39.47,5244000,0.0,0.0
2020-10-23,40.04,40.38,39.14,39.24,3123400,0.0,0.0
2020-10-26,38.76,38.92,37.85,38.12,4026400,0.0,0.0
2020-10-27,37.93,38.15,37.51,37.65,4141200,0.0,0.0
2020-10-28,36.33,36.95,35.84,36.53,6157100,0.0,0.0
2020-10-29,36.08,37.72,36.03,37.39,4300100,0.0,0.0
2020-10-30,37.08,37.34,36.16,36.78,5165900,0.0,0.0
2020-11-02,37.39,38.86,37.09,38.66,3675800,0.0,0.0
2020-11-03,39.01,39.64,38.53,39.4,3293500,0.0,0.0
2020-11-04,38.77,39.08,37.39,37.55,4542300,0.0,0.0
2020-11-05,37.92,39.98,37.9,39.59,4253000,0.0,0.0
2020-11-06,39.8,40.28,38.83,38.99,3061500,0.0,0.0
2020-11-09,41.71,43.8,41.67,42.14,9208300,0.0,0.0
2020-11-10,42.31,43.42,42.1,43.22,6148700,0.0,0.0
2020-11-11,43.25,43.34,42.06,42.21,4118500,0.0,0.0
2020-11-12,41.83,42.1,40.86,41.27,3467600,0.0,0.0
2020-11-13,40.64,42.15,40.59,42.02,3482900,0.0,0.0
2020-11-16,43.3,43.61,42.16,43.6,4075600,0.0,0.0
2020-11-17,42.98,44.11,42.71,44.05,4795000,0.0,0.0
2020-11-18,44.18,45.5,44.09,44.71,5903500,0.0,0.0
2020-11-19,44.4,44.86,43.59,44.74,3514000,0.0,0.0
2020-11-20,44.52,44.81,43.89,44.25,2871700,0.0,0.0
2020-11-23,44.69,45.51,44.69,45.23,4560700,0.0,0.0
2020-11-24,46.09,47.04,45.77,46.68,4442800,0.0,0.0
2020-11-25,46.45,46.45,45.41,45.62,4158500,0.0,0.0
2020-11-27,45.77,45.89,45.03,45.35,2847400,0.7,0.0
2020-11-30,44.94,45.03,43.23,43.4,8760600,0.0,0.0
2020-12-01,44.56,44.56,43.31,43.82,4328700,0.0,0.0
2020-12-02,43.65,43.85,43.14,43.55,3723000,0.0,0.0
2020-12-03,43.38,44.12,43.23,43.88,3213800,0.0,0.0
2020-12-04,44.05,45.11,44.04,45.07,3294500,0.0,0.0
2020-12-07,44.97,44.98,43.41,43.56,3602700,0.0,0.0
2020-12-08,43.31,44.76,43.23,44.66,3161500,0.0,0.0
2020-12-09,44.98,45.64,44.49,44.75,3219100,0.0,0.0
2020-12-10,44.75,45.12,44.24,44.56,3402000,0.0,0.0
2020-12-11,44.45,44.58,43.86,44.21,2674800,0.0,0.0
2020-12-14,44.7,44.83,43.41,43.44,3121900,0.0,0.0
2020-12-15,44.08,44.33,43.51,44.31,2335500,0.0,0.0
2020-12-16,44.23,44.3,43.59,44.07,1948800,0.0,0.0
2020-12-17,44.37,44.48,43.87,44.07,2222300,0.0,0.0
2020-12-18,45.12,45.64,44.4,45.57,11536700,0.0,0.0
2020-12-21,44.25,45.19,43.99,45.09,4458800,0.0,0.0
2020-12-22,45.03,45.25,44.57,44.76,2268300,0.0,0.0
2020-12-23,45.04,45.66,44.81,44.82,2251600,0.0,0.0
2020-12-24,44.96,45.0,44.48,44.85,1074700,0.0,0.0
2020-12-28,45.25,45.66,44.36,44.45,3668200,0.0,0.0
2020-12-29,44.62,44.88,44.08,44.48,2222000,0.0,0.0
2020-12-30,44.49,45.57,44.45,45.41,3790000,0.0,0.0
2020-12-31,45.41,45.93,45.12,45.44,2663500,0.0,0.0
2021-01-04,45.7,45.94,43.92,44.24,4852800,0.0,0.0
2021-01-05,44.32,45.98,44.21,45.68,3112800,0.0,0.0
2021-01-06,46.62,48.47,46.3,47.83,6208400,0.0,0.0
2021-01-07,48.3,48.93,47.57,47.9,4437600,0.0,0.0
2021-01-08,47.79,48.19,47.28,47.65,4063500,0.0,0.0
2021-01-11,47.24,48.26,46.87,48.19,3455900,0.0,0.0
2021-01-12,48.56,50.11,48.3,49.97,6235000,0.0,0.0
2021-01-13,49.73,50.19,48.84,49.14,3236300,0.0,0.0
2021-01-14,49.29,49.53,48.65,48.83,3578800,0.0,0.0
2021-01-15,47.99,48.15,46.77,46.92,6692900,0.0,0.0
2021-01-19,47.29,47.65,46.12,47.11,4919300,0.0,0.0
2021-01-20,47.38,48.0,46.85,47.95,3724400,0.0,0.0
2021-01-21,47.9,48.11,46.92,47.12,3442000,0.0,0.0
2021-01-22,46.66,47.31,46.56,47.07,2621500,0.0,0.0
2021-01-25,46.55,47.01,45.57,46.85,3682400,0.0,0.0
2021-01-26,47.39,47.69,45.6,45.63,3060300,0.0,0.0
2021-01-27,44.73,45.09,43.11,44.53,6283500,0.0,0.0
2021-01-28,44.32,44.9,43.39,44.52,5817000,0.0,0.0
2021-01-29,44.08,44.78,42.37,42.49,8895400,0.0,0.0
2021-02-01,42.89,43.26,42.02,43.18,4128300,0.0,0.0
2021-02-02,43.85,44.92,43.28,44.71,5229500,0.0,0.0
2021-02-03,44.46,45.35,44.24,45.31,3984200,0.0,0.0
2021-02-04,45.41,46.15,44.88,46.12,4312200,0.0,0.0
2021-02-05,46.45,47.34,46.21,46.86,3732500,0.0,0.0
2021-02-08,47.28,47.7,46.84,46.95,2543200,0.0,0.0
2021-02-09,47.07,47.09,46.15,46.34,4209500,0.0,0.0
2021-02-10,46.66,47.79,46.24,47.21,3453000,0.0,0.0
2021-02-11,47.33,47.43,46.41,47.21,2326500,0.0,0.0
2021-02-12,47.12,47.7,47.03,47.61,1975100,0.0,0.0
2021-02-16,48.22,48.59,47.92,48.1,4072700,0.0,0.0
2021-02-17,47.96,48.23,47.16,47.92,3277800,0.0,0.0
2021-02-18,47.73,48.03,46.75,47.12,3112600,0.0,0.0
2021-02-19,47.28,49.55,47.28,49.44,4037100,0.0,0.0
2021-02-22,49.63,51.22,49.28,51.15,5672600,0.0,0.0
2021-02-23,51.53,51.55,50.36,50.86,4147200,0.0,0.0
2021-02-24,50.76,52.38,50.71,52.14,4668600,0.0,0.0
2021-02-25,51.72,52.01,50.6,50.78,3260300,0.7,0.0
2021-02-26,50.37,50.54,48.67,49.09,6399700,0.0,0.0
2021-03-01,50.62,51.55,50.14,50.94,4083800,0.0,0.0
2021-03-02,51.5,53.01,51.16,51.93,7316000,0.0,0.0
2021-03-03,51.74,52.47,51.33,51.53,5390300,0.0,0.0
2021-03-04,51.37,51.84,49.74,50.66,6050400,0.0,0.0
2021-03-05,51.42,52.18,50.29,52.08,3883800,0.0,0.0
2021-03-08,52.29,53.2,51.74,52.51,4437600,0.0,0.0
2021-03-09,52.7,52.74,51.25,51.54,5823200,0.0,0.0
2021-03-10,51.84,53.36,51.63,53.05,4238500,0.0,0.0
2021-03-11,53.25,54.03,53.16,53.24,3651800,0.0,0.0
2021-03-12,53.54,53.85,52.88,53.26,2690800,0.0,0.0
2021-03-15,53.04,53.22,51.69,52.07,5353300,0.0,0.0
2021-03-16,51.89,52.84,51.21,52.3,6461600,0.0,0.0
2021-03-17,52.55,54.84,52.3,54.64,5138900,0.0,0.0
2021-03-18,54.68,55.68,53.5,53.57,4203500,0.0,0.0
2021-03-19,53.57,53.64,51.87,52.9,6445800,0.0,0.0
2021-03-22,52.81,52.81,51.65,52.57,4631100,0.0,0.0
2021-03-23,51.88,51.89,50.0,50.29,5523500,0.0,0.0
2021-03-24,50.99,52.5,50.83,51.36,4322600,0.0,0.0
2021-03-25,50.88,52.41,50.7,52.35,3921200,0.0,0.0
2021-03-26,52.47,53.09,52.22,52.97,4256300,0.0,0.0
2021-03-29,52.66,53.9,52.56,52.89,3193700,0.0,0.0
2021-03-30,52.75,53.63,52.55,53.48,2605100,0.0,0.0
2021-03-31,53.2,53.77,52.57,52.93,3643800,0.0,0.0
2021-04-01,52.94,53.57,52.55,53.47,3698900,0.0,0.0
2021-04-05,53.81,53.99,53.18,53.47,4077900,0.0,0.0
2021-04-06,53.18,54.13,53.09,53.47,3420300,0.0,0.0
2021-04-07,53.38,53.78,52.7,52.97,2374000,0.0,0.0
2021-04-08,52.86,53.0,51.84,52.31,3638900,0.0,0.0
2021-04-09,52.31,52.61,51.77,52.27,3721000,0.0,0.0
2021-04-12,52.65,53.1,52.4,52.8,3143800,0.0,0.0
2021-04-13,52.64,52.71,51.69,52.41,4471600,0.0,0.0
2021-04-14,52.64,53.62,52.45,53.18,4234400,0.0,0.0
2021-04-15,53.71,53.74,52.81,53.45,2632500,0.0,0.0
2021-04-16,54.03,54.23,53.19,53.54,3698800,0.0,0.0
2021-04-19,53.64,53.84,52.93,53.43,2566600,0.0,0.0
2021-04-20,52.98,53.02,51.55,51.72,4532200,0.0,0.0
2021-04-21,51.7,53.82,51.63,53.66,4283500,0.0,0.0
2021-04-22,52.98,53.02,50.26,50.44,12028900,0.0,0.0
2021-04-23,50.58,51.73,50.04,51.41,5682300,0.0,0.0
2021-04-26,51.62,52.0,51.26,51.49,4871600,0.0,0.0
2021-04-27,51.55,52.03,51.09,51.86,3781300,0.0,0.0
2021-04-28,52.17,53.03,51.9,52.41,5584300,0.0,0.0
2021-04-29,52.83,53.55,52.51,53.03,4366000,0.0,0.0
2021-04-30,52.52,52.74,51.57,51.74,4932300,0.0,0.0
2021-05-03,52.3,53.83,52.25,53.43,6327800,0.0,0.0
2021-05-04,53.18,54.86,52.81,54.82,7367200,0.0,0.0
2021-05-05,55.04,56.48,54.75,56.35,7467100,0.0,0.0
2021-05-06,56.31,57.19,55.6,57.15,4670600,0.0,0.0
2021-05-07,56.58,57.38,56.11,57.15,5174900,0.0,0.0
2021-05-10,57.74,58.44,56.84,56.89,5039000,0.0,0.0
2021-05-11,56.16,57.03,55.63,56.76,5693400,0.0,0.0
2021-05-12,56.91,57.2,55.79,55.96,4886200,0.0,0.0
2021-05-13,55.84,56.79,55.73,56.36,3068400,0.0,0.0
2021-05-14,56.7,57.98,56.6,57.8,4817200,0.0,0.0
2021-05-17,57.6,58.84,57.51,58.7,3607500,0.0,0.0
2021-05-18,58.77,59.09,57.54,57.56,3523800,0.0,0.0
2021-05-19,56.7,57.04,55.68,56.74,4398500,0.0,0.0
2021-05-20,56.67,56.89,56.17,56.5,3126500,0.0,0.0
2021-05-21,56.85,57.61,56.74,56.98,3855700,0.0,0.0
2021-05-24,57.61,57.95,57.2,57.57,3420100,0.0,0.0
2021-05-25,57.5,58.32,57.08,57.15,4419400,0.0,0.0
2021-05-26,56.98,57.65,56.46,57.59,6059200,0.0,0.0
2021-05-27,57.97,58.5,57.06,57.41,6256600,0.7,0.0
2021-05-28,57.76,57.84,56.62,57.21,3815200,0.0,0.0
2021-06-01,57.84,58.98,57.57,58.88,4139100,0.0,0.0
2021-06-02,58.8,58.8,57.58,57.66,4797800,0.0,0.0
2021-06-03,57.99,59.12,57.23,59.04,4322500,0.0,0.0
2021-06-04,59.37,59.49,58.43,58.84,3041900,0.0,0.0
2021-06-07,58.84,58.93,57.61,57.9,2803900,0.0,0.0
2021-06-08,57.71,58.3,57.12,58.02,3469400,0.0,0.0
2021-06-09,57.91,58.12,57.25,57.56,3379200,0.0,0.0
2021-06-10,58.53,58.68,56.82,56.85,4022000,0.0,0.0
2021-06-11,57.25,57.71,56.73,56.86,2726100,0.0,0.0
2021-06-14,56.72,57.01,55.72,55.99,3712800,0.0,0.0
2021-06-15,55.95,56.38,55.56,56.21,3255000,0.0,0.0
2021-06-16,56.03,56.13,54.52,54.85,5428800,0.0,0.0
2021-06-17,55.0,55.02,52.12,53.13,5696100,0.0,0.0
