,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,1.43,1.51,5.45
2024-10-23 20:00:00-04:00,1.88,2.22,18.27
2024-07-24 20:00:00-04:00,1.22,1.43,16.76
2024-04-24 20:00:00-04:00,1.71,1.67,-2.6
2024-02-07 19:00:00-05:00,1.96,1.97,0.58
2023-10-31 20:00:00-04:00,1.63,1.44,-11.76
2023-07-26 20:00:00-04:00,0.93,0.99,6.3
2023-04-26 20:00:00-04:00,1.25,1.33,6.21
