,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,96.22,97.43,96.11,96.92,2015713,0.0,0.0
2020-02-24,96.68,97.42,95.35,95.41,2446115,0.0,0.0
2020-02-25,95.39,95.7,91.98,92.01,1697288,0.0,0.0
2020-02-26,92.19,92.67,89.54,89.57,1762383,0.0,0.0
2020-02-27,89.06,89.32,84.69,84.75,2641165,0.0,0.0
2020-02-28,83.52,83.52,79.14,80.19,3416665,0.0,0.0
2020-03-02,81.2,83.92,80.0,83.76,2957475,0.0,0.0
2020-03-03,83.78,85.81,80.47,81.16,3583045,0.0,0.0
2020-03-04,82.15,85.71,81.9,85.68,2159533,0.0,0.0
2020-03-05,84.24,84.59,82.37,83.49,2352938,0.0,0.0
2020-03-06,81.08,83.75,79.4,83.39,3146768,0.0,0.0
2020-03-09,78.63,78.63,73.02,73.63,3610070,0.0,0.0
2020-03-10,75.05,77.66,72.43,77.56,3848360,0.0,0.0
2020-03-11,76.12,76.59,73.68,74.76,3608073,0.0,0.0
2020-03-12,68.92,71.23,62.8,65.48,3086255,0.0,0.0
2020-03-13,69.11,70.03,65.05,70.03,2630355,0.86,0.0
2020-03-16,58.82,66.53,58.04,60.29,3268968,0.0,0.0
2020-03-17,61.85,65.07,60.46,64.18,3545445,0.0,0.0
2020-03-18,60.88,60.88,51.71,55.91,3137133,0.0,0.0
2020-03-19,55.84,62.63,53.61,62.02,3431470,0.0,0.0
2020-03-20,62.89,63.66,58.96,60.27,5330858,0.0,0.0
2020-03-23,59.08,61.56,54.15,55.78,2576540,0.0,0.0
2020-03-24,58.46,63.3,57.47,62.83,2500753,0.0,0.0
2020-03-25,62.37,70.23,61.0,67.16,2665135,0.0,0.0
2020-03-26,66.58,71.95,66.12,71.15,1888225,0.0,0.0
2020-03-27,68.82,73.02,66.29,70.82,2002318,0.0,0.0
2020-03-30,71.46,72.81,69.71,72.2,1739118,0.0,0.0
2020-03-31,71.27,72.06,68.92,68.97,2252123,0.0,0.0
2020-04-01,66.82,66.82,62.11,63.96,2520728,0.0,0.0
2020-04-02,63.23,66.79,63.0,64.75,1922653,0.0,0.0
2020-04-03,63.77,64.9,62.64,63.27,2133330,0.0,0.0
2020-04-06,66.42,70.53,66.03,69.74,1296143,0.0,0.0
2020-04-07,72.46,73.7,70.69,70.77,1509993,0.0,0.0
2020-04-08,71.06,76.04,70.53,75.41,1594593,0.0,0.0
2020-04-09,76.21,82.28,76.21,80.79,2861243,0.0,0.0
2020-04-13,79.87,80.11,77.85,78.89,1351133,0.0,0.0
2020-04-14,80.21,80.77,77.54,78.67,1338443,0.0,0.0
2020-04-15,76.42,76.74,74.56,76.1,1420458,0.0,0.0
2020-04-16,76.79,77.96,73.71,73.76,1487080,0.0,0.0
2020-04-17,75.44,77.45,74.27,76.87,1394255,0.0,0.0
2020-04-20,74.94,75.59,72.29,73.17,1278988,0.0,0.0
2020-04-21,71.54,72.82,71.28,71.99,1472980,0.0,0.0
2020-04-22,73.56,74.92,72.38,74.33,1146095,0.0,0.0
2020-04-23,74.4,75.69,73.19,73.35,1271468,0.0,0.0
2020-04-24,74.11,75.19,73.2,74.81,1100858,0.0,0.0
2020-04-27,75.76,75.93,74.16,74.56,1068075,0.0,0.0
2020-04-28,76.8,77.5,74.57,77.21,1776953,0.0,0.0
2020-04-29,78.73,79.92,77.51,77.91,1603405,0.0,0.0
2020-04-30,77.03,77.19,74.87,75.33,1431973,0.0,0.0
2020-05-01,74.27,74.27,72.49,73.11,1237040,0.0,0.0
2020-05-04,72.77,73.3,71.42,73.22,1094748,0.0,0.0
2020-05-05,73.77,75.07,73.35,74.37,1594123,0.0,0.0
2020-05-06,74.42,74.6,72.39,72.99,2034513,0.0,0.0
2020-05-07,73.87,74.76,71.51,71.69,1575205,0.0,0.0
2020-05-08,72.62,73.85,72.36,73.53,1196855,0.0,0.0
2020-05-11,73.02,73.02,70.75,71.7,1230695,0.0,0.0
2020-05-12,71.89,72.39,71.01,72.08,1657455,0.0,0.0
2020-05-13,71.55,71.55,68.99,69.68,2198190,0.0,0.0
2020-05-14,68.77,71.23,67.09,71.17,1764380,0.0,0.0
2020-05-15,70.53,70.74,69.06,70.69,3243940,0.0,0.0
2020-05-18,73.52,75.67,73.08,74.97,1606343,0.0,0.0
2020-05-19,74.46,75.62,73.98,74.7,1650405,0.0,0.0
2020-05-20,75.7,76.15,74.57,74.98,1645118,0.0,0.0
2020-05-21,74.57,75.22,73.21,73.37,1406123,0.0,0.0
2020-05-22,73.39,74.2,73.25,74.16,944465,0.0,0.0
2020-05-26,76.18,77.53,75.78,76.5,1269235,0.0,0.0
2020-05-27,78.38,78.74,76.1,77.34,1461700,0.0,0.0
2020-05-28,78.75,78.96,77.95,78.25,1283805,0.0,0.0
2020-05-29,77.58,78.9,76.55,78.12,2673360,0.0,0.0
2020-06-01,78.12,79.55,77.92,78.73,1075713,0.0,0.0
2020-06-02,79.31,80.58,78.91,80.18,1334683,0.0,0.0
2020-06-03,81.01,82.61,80.82,82.09,921200,0.0,0.0
2020-06-04,81.57,81.67,79.39,80.7,1118953,0.0,0.0
2020-06-05,83.69,85.26,83.32,83.42,1321523,0.0,0.0
2020-06-08,83.64,85.62,83.64,85.26,1433265,0.0,0.0
2020-06-09,84.19,84.19,82.06,83.51,1621853,0.0,0.0
2020-06-10,82.84,83.34,81.51,82.02,1618563,0.0,0.0
2020-06-11,78.95,79.52,75.53,76.25,1709273,0.0,0.0
2020-06-12,78.47,78.78,75.62,77.04,1257133,0.86,0.0
2020-06-15,75.45,78.28,74.93,77.74,1404125,0.0,0.0
2020-06-16,80.08,81.29,78.7,79.18,1217183,0.0,0.0
2020-06-17,79.49,79.85,78.07,78.59,892413,0.0,0.0
2020-06-18,77.91,79.03,77.58,78.99,902400,0.0,0.0
2020-06-19,80.79,80.79,75.89,76.08,3769753,0.0,0.0
2020-06-22,75.92,78.72,75.36,78.28,1539838,0.0,0.0
2020-06-23,79.07,79.18,77.7,78.65,2155538,0.0,0.0
2020-06-24,77.6,77.67,75.41,77.19,2036980,0.0,0.0
2020-06-25,76.85,77.04,75.88,76.93,1363823,0.0,0.0
2020-06-26,76.84,77.5,75.78,76.35,2818120,0.0,0.0
2020-06-29,76.99,78.14,76.03,78.14,963383,0.0,0.0
2020-06-30,77.78,79.18,77.42,78.83,2691808,0.0,0.0
2020-07-01,78.8,81.22,78.57,80.66,1169830,0.0,0.0
2020-07-02,81.39,81.88,80.12,80.64,983828,0.0,0.0
2020-07-06,81.33,82.02,79.16,79.51,1219650,0.0,0.0
2020-07-07,78.42,78.84,77.57,78.52,1630900,0.0,0.0
2020-07-08,78.5,79.54,78.19,79.12,1355598,0.0,0.0
2020-07-09,78.77,78.89,76.41,78.22,1141513,0.0,0.0
2020-07-10,77.95,79.18,77.77,78.83,1061260,0.0,0.0
2020-07-13,78.83,79.96,78.49,79.57,1332803,0.0,0.0
2020-07-14,79.65,80.39,78.91,79.76,1080530,0.0,0.0
2020-07-15,80.82,81.58,79.93,80.07,1420105,0.0,0.0
2020-07-16,79.92,80.66,79.72,80.44,1826538,0.0,0.0
2020-07-17,80.72,82.37,80.72,81.77,1395313,0.0,0.0
2020-07-20,81.52,81.52,79.79,80.08,1219768,0.0,0.0
2020-07-21,79.59,81.64,79.59,81.47,1895745,0.0,0.0
2020-07-22,81.22,84.46,80.6,83.92,1276873,0.0,0.0
2020-07-23,83.75,84.38,83.48,84.29,1562045,0.0,0.0
2020-07-24,84.62,85.07,83.79,84.01,1786588,0.0,0.0
2020-07-27,83.86,84.28,83.06,83.6,1214363,0.0,0.0
2020-07-28,82.23,85.41,81.4,84.05,2072583,0.0,0.0
2020-07-29,84.3,84.66,83.2,84.49,1301195,0.0,0.0
2020-07-30,83.6,84.32,83.15,84.11,1085700,0.0,0.0
2020-07-31,83.94,84.97,83.3,84.79,1212953,0.0,0.0
2020-08-03,84.55,84.93,83.36,83.5,965263,0.0,0.0
2020-08-04,83.36,85.11,83.09,84.79,1202848,0.0,0.0
2020-08-05,85.19,85.41,84.48,84.69,1284158,0.0,0.0
2020-08-06,84.59,86.09,84.21,85.75,980303,0.0,0.0
2020-08-07,84.99,87.6,84.99,87.16,1294615,0.0,0.0
2020-08-10,87.55,88.77,87.3,88.16,1043518,0.0,0.0
2020-08-11,88.68,89.07,85.99,86.08,881015,0.0,0.0
