,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-08-03 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,2.13,2.24,5.31
2024-10-28 20:00:00-04:00,2.72,2.5,-8.16
2024-08-05 20:00:00-04:00,2.54,2.5,-1.62
2024-05-01 20:00:00-04:00,1.95,2.26,15.76
2024-02-12 19:00:00-05:00,1.59,1.62,1.67
2023-11-06 19:00:00-05:00,2.02,2.62,29.92
2023-08-02 20:00:00-04:00,1.69,1.91,12.8
2023-05-07 20:00:00-04:00,1.15,1.25,9.17
