,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,84.23,84.45,83.47,84.08,755400,0.0,0.0
2020-02-24,82.7,83.29,81.7,82.86,1393600,0.0,0.0
2020-02-25,83.16,83.68,80.18,81.05,2456600,0.0,0.0
2020-02-26,81.59,82.51,80.52,81.04,1276300,0.0,0.0
2020-02-27,79.0,81.08,77.94,79.23,2633000,0.0,0.0
2020-02-28,76.98,77.91,75.18,77.62,2977000,0.0,0.0
2020-03-02,77.76,82.26,77.76,82.23,1701400,0.0,0.0
2020-03-03,82.08,83.79,77.23,77.55,2513100,0.0,0.0
2020-03-04,80.05,82.88,79.13,82.69,2078900,0.0,0.0
2020-03-05,80.55,82.93,80.08,81.11,1299400,0.0,0.0
2020-03-06,78.76,82.87,78.26,81.83,1952000,0.0,0.0
2020-03-09,76.04,79.27,75.3,77.19,2564700,0.0,0.0
2020-03-10,79.29,79.69,74.55,77.72,2069700,0.0,0.0
2020-03-11,75.9,77.2,73.23,74.87,2692700,0.0,0.0
2020-03-12,70.05,72.8,67.8,68.25,3071500,0.0,0.0
2020-03-13,71.38,76.2,67.98,75.94,3427200,0.0,0.0
2020-03-16,68.0,76.0,67.01,71.73,2446500,0.0,0.0
2020-03-17,73.3,80.72,73.26,75.12,3082600,0.0,0.0
2020-03-18,70.62,75.79,68.62,75.25,2514900,0.0,0.0
2020-03-19,74.33,76.08,69.61,71.33,2250800,0.0,0.0
2020-03-20,71.25,71.25,64.16,64.98,3321800,0.0,0.0
2020-03-23,64.7,66.48,62.2,65.73,1743900,0.0,0.0
2020-03-24,68.22,70.94,66.66,68.65,2066200,0.0,0.0
2020-03-25,68.04,74.5,67.06,70.19,1620600,0.0,0.0
2020-03-26,70.94,74.76,70.45,73.73,1380300,0.0,0.0
2020-03-27,72.01,74.36,70.51,73.08,921000,0.0,0.0
2020-03-30,74.19,76.87,73.68,76.41,1235200,0.0,0.0
2020-03-31,76.56,77.76,75.33,76.05,1699900,0.0,0.0
2020-04-01,73.63,76.83,70.7,72.59,1430400,0.0,0.0
2020-04-02,71.79,74.16,68.76,70.3,1896800,0.0,0.0
