,EPS Estimate,Reported EPS,Surprise(%)
2026-02-15 19:00:00-05:00,nan,nan,nan
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-08-03 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-17 19:00:00-05:00,1.0,1.16,15.65
2024-11-04 19:00:00-05:00,1.09,1.1,0.96
2024-08-05 20:00:00-04:00,1.26,1.41,11.62
2024-04-30 20:00:00-04:00,1.11,1.16,4.58
2024-02-26 19:00:00-05:00,1.41,1.41,0.34
2023-11-06 19:00:00-05:00,1.57,1.65,5.25
2023-07-31 20:00:00-04:00,1.18,1.18,0.42
2023-05-07 20:00:00-04:00,1.38,1.46,5.81
