,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,0.5,0.45,-9.82
2025-01-12 19:00:00-05:00,nan,nan,nan
2024-10-23 20:00:00-04:00,0.43,0.45,3.54
2024-07-24 20:00:00-04:00,0.39,0.43,11.43
2024-04-24 20:00:00-04:00,0.27,0.32,18.5
2024-02-07 19:00:00-05:00,0.43,0.5,15.87
2023-10-25 20:00:00-04:00,0.34,0.5,46.74
2023-07-26 20:00:00-04:00,0.23,0.34,50.3
