,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,76.45,76.49,71.56,72.81,5544000,0.0,0.0
2020-02-24,69.54,73.75,68.75,73.51,5070000,0.0,0.0
2020-02-25,74.36,75.45,69.67,70.98,4466000,0.0,0.0
2020-02-26,71.17,74.45,68.77,69.56,5275600,0.0,0.0
2020-02-27,68.38,73.49,67.5,70.37,4964800,0.0,0.0
2020-02-28,69.18,69.68,66.66,69.0,6952800,0.0,0.0
2020-03-02,69.52,71.62,69.27,71.43,6133600,0.0,0.0
2020-03-03,71.58,72.22,67.05,68.22,4651200,0.0,0.0
2020-03-04,69.45,71.05,68.25,70.96,3989600,0.0,0.0
2020-03-05,70.48,72.96,69.8,71.74,3045200,0.0,0.0
2020-03-06,71.41,71.96,69.08,71.63,3361600,0.0,0.0
2020-03-09,65.44,69.74,65.0,66.62,5024800,0.0,0.0
2020-03-10,67.91,70.44,65.88,69.79,6060000,0.0,0.0
2020-03-11,67.82,68.25,61.25,63.1,8075600,0.0,0.0
2020-03-12,54.62,63.75,53.75,61.9,6877600,0.0,0.0
2020-03-13,64.08,64.75,55.0,61.0,6396400,0.0,0.0
2020-03-16,53.75,54.72,50.5,50.57,7909600,0.0,0.0
2020-03-17,51.31,51.8,45.51,49.68,10212800,0.0,0.0
2020-03-18,47.38,56.25,46.75,47.79,6797600,0.0,0.0
2020-03-19,47.8,54.91,47.79,51.56,5675200,0.0,0.0
2020-03-20,52.07,55.83,50.83,52.37,5764000,0.0,0.0
2020-03-23,52.38,55.37,49.14,52.57,5451600,0.0,0.0
2020-03-24,54.19,59.8,54.0,59.05,5226000,0.0,0.0
2020-03-25,59.91,63.5,59.25,59.83,4184000,0.0,0.0
2020-03-26,60.98,63.37,59.8,62.55,6228800,0.0,0.0
2020-03-27,61.5,67.5,60.15,65.73,6058800,0.0,0.0
2020-03-30,66.32,70.24,63.76,69.5,5031200,0.0,0.0
2020-03-31,68.15,69.26,65.75,67.31,8010400,0.0,0.0
2020-04-01,63.87,65.98,63.04,63.7,4367600,0.0,0.0
2020-04-02,62.5,67.74,62.5,66.59,4552800,0.0,0.0
2020-04-03,65.9,68.12,64.26,65.18,4325200,0.0,0.0
