,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-05-05 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,3.07,2.83,-7.82
2024-10-28 20:00:00-04:00,2.02,2.15,6.37
2024-07-29 20:00:00-04:00,0.42,0.52,24.72
2024-05-06 20:00:00-04:00,1.52,1.37,-9.65
2024-01-29 19:00:00-05:00,2.93,2.96,0.93
2023-10-31 20:00:00-04:00,1.25,1.46,16.74
2023-07-31 20:00:00-04:00,1.02,1.14,11.25
2023-05-08 20:00:00-04:00,1.31,1.78,35.4
