,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,105.98,106.42,104.33,105.52,2546900,0.0,0.0
2020-02-24,102.62,105.44,102.59,104.56,2817100,0.0,0.0
2020-02-25,105.23,106.7,102.81,102.95,3651300,0.0,0.0
2020-02-26,103.9,105.76,103.16,104.08,2858000,0.0,0.0
2020-02-27,101.94,103.94,100.35,100.37,4906200,0.0,0.0
2020-02-28,97.97,99.54,96.31,99.03,6853700,0.0,0.0
2020-03-02,99.57,104.46,99.36,104.42,4291500,0.0,0.0
2020-03-03,104.26,107.18,102.95,104.24,3984800,0.0,0.0
2020-03-04,105.79,109.35,105.56,109.25,4289700,0.0,0.0
2020-03-05,106.96,109.34,106.59,107.66,3029900,0.0,0.0
2020-03-06,103.99,106.25,102.57,105.18,3886200,0.0,0.0
2020-03-09,99.22,101.77,97.6,98.6,4784300,0.0,0.0
2020-03-10,99.06,101.18,94.42,100.99,6525600,0.0,0.0
2020-03-11,99.26,99.81,96.06,98.84,4906000,0.0,0.0
2020-03-12,92.6,97.12,90.41,91.19,6288700,0.0,0.0
2020-03-13,96.46,97.31,90.61,94.82,5842000,0.0,0.0
2020-03-16,87.13,93.9,83.71,86.62,6196600,0.0,0.0
2020-03-17,89.48,95.93,85.1,93.21,6370100,0.0,0.0
2020-03-18,89.39,95.43,83.93,88.13,7073400,0.0,0.0
2020-03-19,88.85,91.81,84.01,87.98,6549700,0.0,0.0
2020-03-20,90.11,92.19,84.75,84.93,6174400,0.0,0.0
2020-03-23,87.66,95.46,86.39,93.26,8149000,0.0,0.0
2020-03-24,97.69,100.72,88.71,92.12,5765200,0.0,0.0
2020-03-25,91.37,91.97,87.39,87.57,5005600,0.0,0.0
2020-03-26,88.38,97.27,88.0,96.91,5750300,0.0,0.0
2020-03-27,94.3,97.38,92.44,93.17,4519800,0.0,0.0
2020-03-30,94.53,97.0,93.95,95.43,3352700,0.0,0.0
2020-03-31,95.53,98.67,94.39,97.86,3762300,0.0,0.0
