,EPS Estimate,Reported EPS,Surprise(%)
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-26 19:00:00-05:00,1.2,nan,nan
2024-10-29 20:00:00-04:00,1.18,1.19,0.73
2024-07-30 20:00:00-04:00,1.13,1.18,4.77
2024-04-30 20:00:00-04:00,1.2,1.25,3.76
2024-02-26 19:00:00-05:00,1.03,1.07,4.24
2023-11-06 19:00:00-05:00,1.0,1.03,3.25
2023-07-25 20:00:00-04:00,1.0,1.03,3.52
2023-04-25 20:00:00-04:00,1.07,1.11,3.57
2023-02-21 19:00:00-05:00,1.06,1.07,0.71
