,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,195.02,197.88,194.81,196.62,1053800,0.0,0.0
2020-02-24,193.15,194.74,191.66,191.9,1307000,0.0,0.0
2020-02-25,191.41,192.75,183.56,184.57,1285800,0.0,0.0
2020-02-26,185.25,187.28,183.68,184.24,1716300,0.0,0.0
2020-02-27,181.35,182.61,173.81,173.86,2116600,0.0,0.0
2020-02-28,168.99,171.14,164.89,170.99,3424800,0.0,0.0
2020-03-02,173.12,181.25,172.54,181.19,1778700,0.0,0.0
2020-03-03,182.12,186.71,180.99,183.75,3065700,0.0,0.0
2020-03-04,187.53,193.81,185.16,193.63,1897700,0.0,0.0
2020-03-05,188.84,192.11,187.19,188.48,1599100,0.0,0.0
2020-03-06,183.74,185.49,178.98,184.22,1864400,0.0,0.0
2020-03-09,173.17,180.01,171.75,174.2,2081600,0.0,0.0
2020-03-10,179.05,181.68,171.42,180.84,2935700,0.0,0.0
2020-03-11,175.64,177.8,172.74,176.8,2145400,0.0,0.0
2020-03-12,165.47,169.04,156.35,156.41,2583500,0.0,0.0
2020-03-13,164.73,171.38,155.83,170.63,1908600,0.0,0.0
2020-03-16,155.14,164.63,149.55,157.82,2419400,0.47,0.0
2020-03-17,159.22,167.87,155.47,161.03,2791100,0.0,0.0
2020-03-18,156.74,162.36,136.44,148.71,2395700,0.0,0.0
2020-03-19,147.8,156.23,143.91,151.61,2084600,0.0,0.0
2020-03-20,151.46,151.47,133.55,134.79,2746200,0.0,0.0
2020-03-23,134.26,134.26,118.37,118.96,3445300,0.0,0.0
2020-03-24,128.64,146.74,125.43,145.33,3078900,0.0,0.0
2020-03-25,143.48,149.17,140.81,144.2,2236400,0.0,0.0
2020-03-26,146.96,155.06,145.38,153.61,2426000,0.0,0.0
2020-03-27,147.23,154.1,145.76,149.61,1800600,0.0,0.0
2020-03-30,152.03,154.46,149.4,153.34,1773800,0.0,0.0
2020-03-31,152.14,152.67,147.62,148.05,2442800,0.0,0.0
2020-04-01,142.91,143.67,138.05,139.37,2659600,0.0,0.0
2020-04-02,139.86,145.33,138.49,144.56,2486500,0.0,0.0
2020-04-03,143.74,146.99,139.25,139.9,1635000,0.0,0.0
2020-04-06,147.23,150.71,146.27,149.53,1708100,0.0,0.0
2020-04-07,154.77,156.56,150.23,151.16,1464700,0.0,0.0
2020-04-08,151.99,163.2,150.51,162.28,1723200,0.0,0.0
2020-04-09,164.68,171.33,163.42,170.88,2170900,0.0,0.0
2020-04-13,167.53,171.1,163.2,165.94,1287800,0.0,0.0
2020-04-14,171.01,172.47,168.5,171.77,1748400,0.0,0.0
2020-04-15,169.19,169.47,164.98,165.94,1069800,0.0,0.0
2020-04-16,166.59,167.39,161.84,163.87,921300,0.0,0.0
2020-04-17,167.84,170.31,166.26,169.82,1265900,0.0,0.0
2020-04-20,166.99,168.05,164.12,164.32,1011100,0.0,0.0
2020-04-21,161.51,163.78,160.14,161.66,875200,0.0,0.0
2020-04-22,164.42,166.83,163.36,166.03,985400,0.0,0.0
2020-04-23,166.67,169.18,166.27,166.3,1296900,0.0,0.0
2020-04-24,168.28,171.22,166.2,171.08,1272900,0.0,0.0
2020-04-27,171.7,179.56,171.5,178.14,1783300,0.0,0.0
2020-04-28,184.31,189.84,181.71,187.71,2385200,0.0,0.0
2020-04-29,187.96,189.96,186.84,187.71,1638100,0.0,0.0
2020-04-30,184.42,185.57,182.46,183.83,2138400,0.0,0.0
2020-05-01,180.71,181.67,178.46,180.51,1356600,0.0,0.0
2020-05-04,179.5,182.22,176.57,181.95,1101800,0.0,0.0
2020-05-05,185.61,186.87,183.29,183.66,1092700,0.0,0.0
2020-05-06,183.6,186.68,182.62,183.39,1185300,0.0,0.0
2020-05-07,186.45,187.19,183.82,184.42,1014400,0.0,0.0
2020-05-08,187.16,188.53,185.13,187.88,1052600,0.0,0.0
2020-05-11,186.13,186.97,183.82,186.29,1193000,0.0,0.0
2020-05-12,187.09,188.07,184.48,184.5,919100,0.0,0.0
2020-05-13,183.64,184.75,180.64,182.38,1433000,0.0,0.0
2020-05-14,180.22,183.03,176.93,182.83,1748900,0.0,0.0
2020-05-15,181.27,185.57,179.89,185.02,3032000,0.0,0.0
2020-05-18,190.01,196.64,189.56,194.66,3021800,0.0,0.0
2020-05-19,194.19,195.57,191.05,191.19,2594400,0.0,0.0
2020-05-20,194.76,197.69,191.69,192.34,3473400,0.0,0.0
2020-05-21,192.7,193.74,189.72,190.39,3440600,0.0,0.0
2020-05-22,190.1,191.5,189.08,190.49,1656100,0.0,0.0
2020-05-26,193.98,197.55,192.1,194.37,5241700,0.0,0.0
2020-05-27,196.68,197.27,192.24,196.99,10254900,0.0,0.0
2020-05-28,199.53,202.16,194.88,200.85,14058400,0.0,0.0
2020-05-29,200.82,206.08,197.8,201.96,21059600,0.0,0.0
2020-06-01,202.04,202.4,197.45,198.61,24301200,0.0,0.0
2020-06-02,198.86,209.38,198.86,201.54,38401500,0.0,0.0
2020-06-03,204.86,210.71,204.33,209.83,27343300,0.0,0.0
2020-06-04,208.22,211.04,206.27,210.91,5127500,0.0,0.0
2020-06-05,213.9,219.8,213.71,218.09,14131100,0.0,0.0
2020-06-08,216.93,219.08,214.28,218.62,5622300,0.0,0.0
2020-06-09,215.59,217.76,214.61,215.39,9422300,0.0,0.0
2020-06-10,216.46,217.04,212.52,214.63,4439400,0.0,0.0
2020-06-11,208.9,209.63,191.79,192.42,2292000,0.0,0.0
2020-06-12,198.16,199.89,189.24,193.87,2066500,0.0,0.0
2020-06-15,189.24,191.21,187.3,190.34,3616200,0.47,0.0
2020-06-16,198.12,198.51,193.48,196.38,1848400,0.0,0.0
2020-06-17,197.84,197.84,193.91,195.27,1421000,0.0,0.0
2020-06-18,194.58,196.13,193.41,195.44,1374400,0.0,0.0
2020-06-19,199.44,199.91,189.89,190.21,2531800,0.0,0.0
2020-06-22,189.57,192.8,187.13,192.02,1211700,0.0,0.0
2020-06-23,193.36,194.79,190.18,190.27,1004100,0.0,0.0
2020-06-24,189.03,189.36,187.14,187.28,1296200,0.0,0.0
2020-06-25,186.15,187.32,183.12,186.67,1098500,0.0,0.0
2020-06-26,187.73,190.38,181.86,182.59,3866400,0.0,0.0
2020-06-29,185.18,187.05,183.39,186.28,1030400,0.0,0.0
2020-06-30,186.96,190.24,185.4,189.45,1302000,0.0,0.0
2020-07-01,189.71,191.66,188.27,190.68,1470200,0.0,0.0
2020-07-02,193.27,194.4,190.59,191.31,1727300,0.0,0.0
2020-07-06,193.62,194.75,188.41,192.1,1972400,0.0,0.0
2020-07-07,190.72,194.06,190.45,193.25,1475700,0.0,0.0
2020-07-08,192.49,193.51,184.74,187.37,1939200,0.0,0.0
2020-07-09,188.21,189.15,185.25,188.07,1229200,0.0,0.0
2020-07-10,188.08,191.61,186.9,191.08,886200,0.0,0.0
2020-07-13,192.32,194.99,190.39,190.73,1206700,0.0,0.0
2020-07-14,189.82,194.59,189.5,194.39,803100,0.0,0.0
2020-07-15,196.29,198.58,195.51,197.97,917800,0.0,0.0
2020-07-16,197.11,199.99,196.91,198.34,838300,0.0,0.0
2020-07-17,199.03,200.85,198.42,200.31,826300,0.0,0.0
2020-07-20,199.85,201.43,198.46,199.83,1297900,0.0,0.0
2020-07-21,200.37,201.1,197.3,197.73,852100,0.0,0.0
2020-07-22,197.69,200.5,197.27,200.28,633900,0.0,0.0
2020-07-23,200.84,202.51,198.82,199.53,764700,0.0,0.0
2020-07-24,199.04,200.15,197.92,200.03,702300,0.0,0.0
2020-07-27,200.1,203.22,198.61,201.91,896800,0.0,0.0
2020-07-28,195.69,195.69,184.08,184.47,2566900,0.0,0.0
2020-07-29,184.03,186.87,183.93,185.53,2339900,0.0,0.0
2020-07-30,182.95,184.4,180.31,181.93,1447500,0.0,0.0
2020-07-31,181.26,182.07,174.53,178.15,1797400,0.0,0.0
2020-08-03,179.03,180.09,175.5,175.6,1586800,0.0,0.0
2020-08-04,175.62,181.5,174.3,180.27,2265900,0.0,0.0
2020-08-05,181.17,184.72,181.17,182.77,1588600,0.0,0.0
2020-08-06,183.19,185.8,181.89,184.93,1378500,0.0,0.0
2020-08-07,184.74,186.73,183.09,185.59,1354900,0.0,0.0
2020-08-10,185.66,187.81,184.93,185.97,761100,0.0,0.0
2020-08-11,189.13,190.43,186.27,186.85,786100,0.0,0.0
2020-08-12,188.07,190.38,187.87,189.2,850000,0.0,0.0
2020-08-13,187.37,189.41,186.59,187.16,618200,0.0,0.0
2020-08-14,186.71,187.44,184.6,185.41,630900,0.0,0.0
2020-08-17,186.42,187.96,184.48,185.54,637700,0.0,0.0
2020-08-18,186.08,186.46,184.34,185.09,619900,0.0,0.0
2020-08-19,186.07,186.68,184.59,184.79,688100,0.0,0.0
2020-08-20,182.98,185.48,182.98,185.13,508100,0.0,0.0
2020-08-21,185.35,186.03,183.81,185.54,704300,0.0,0.0
2020-08-24,187.19,189.02,186.74,188.09,578000,0.0,0.0
2020-08-25,188.48,189.85,186.39,186.63,664100,0.0,0.0
2020-08-26,186.4,188.8,186.1,187.7,783800,0.0,0.0
2020-08-27,188.17,190.35,188.15,188.24,869000,0.0,0.0
2020-08-28,188.43,191.09,187.21,190.92,748800,0.0,0.0
2020-08-31,190.92,191.39,187.55,187.67,826100,0.0,0.0
2020-09-01,187.23,192.03,186.44,192.03,1124900,0.0,0.0
2020-09-02,191.64,199.66,191.64,199.19,1372800,0.0,0.0
2020-09-03,198.57,199.39,192.52,195.06,2042300,0.0,0.0
2020-09-04,195.07,196.94,193.18,194.98,1632800,0.0,0.0
2020-09-08,193.18,193.58,185.85,188.43,1322700,0.0,0.0
2020-09-09,190.64,195.3,190.41,193.31,1342700,0.0,0.0
2020-09-10,194.49,195.8,191.84,192.23,828600,0.0,0.0
2020-09-11,193.91,195.08,192.49,193.88,1012500,0.0,0.0
2020-09-14,196.13,197.6,195.09,195.56,1029500,0.47,0.0
2020-09-15,197.26,198.84,196.6,197.22,1433300,0.0,0.0
2020-09-16,198.53,199.99,198.19,198.35,1574000,0.0,0.0
2020-09-17,196.59,198.99,195.59,198.05,1343900,0.0,0.0
2020-09-18,197.62,198.72,194.53,194.73,1910000,0.0,0.0
2020-09-21,190.83,191.82,186.97,189.43,744500,0.0,0.0
2020-09-22,190.29,191.33,189.41,190.09,913300,0.0,0.0
2020-09-23,190.19,190.89,185.83,186.31,1131500,0.0,0.0
2020-09-24,185.27,188.38,183.65,185.74,961700,0.0,0.0
2020-09-25,184.89,187.76,184.21,187.1,1021300,0.0,0.0
2020-09-28,190.8,192.26,188.68,189.24,1316000,0.0,0.0
2020-09-29,189.93,190.18,187.85,188.46,776900,0.0,0.0
