,EPS Estimate,Reported EPS,Surprise(%)
2025-11-04 19:00:00-05:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-19 19:00:00-05:00,0.97,nan,nan
2024-11-06 19:00:00-05:00,1.62,1.68,3.59
2024-07-31 20:00:00-04:00,0.57,0.59,3.63
2024-05-01 20:00:00-04:00,1.88,2.15,14.24
2024-02-14 19:00:00-05:00,0.96,1.0,4.25
2023-11-01 20:00:00-04:00,1.6,1.62,1.08
2023-08-02 20:00:00-04:00,0.61,0.61,0.74
2023-05-03 20:00:00-04:00,1.58,1.83,15.75
2023-02-15 19:00:00-05:00,0.8,0.81,1.53
