,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,76.52,76.91,74.89,75.65,3976900,0.0,0.0
2020-02-24,75.05,75.61,74.33,74.57,2393400,0.0,0.0
2020-02-25,74.83,75.0,73.84,74.03,2328700,0.0,0.0
2020-02-26,74.18,74.79,73.55,73.56,2455200,0.0,0.0
2020-02-27,73.28,73.73,69.77,69.79,2752600,0.0,0.0
2020-02-28,68.17,68.19,65.27,66.12,5357400,0.0,0.0
2020-03-02,66.77,71.16,66.51,70.91,3615400,0.0,0.0
2020-03-03,70.8,72.51,70.11,70.33,3129700,0.0,0.0
2020-03-04,71.15,74.11,71.15,73.83,2415100,0.0,0.0
2020-03-05,72.69,73.89,72.2,73.47,2282900,0.0,0.0
2020-03-06,71.55,74.24,71.44,73.74,4705400,0.0,0.0
2020-03-09,71.77,75.44,70.07,74.38,5398100,0.0,0.0
2020-03-10,75.01,76.79,73.32,75.0,4040400,0.0,0.0
2020-03-11,73.46,73.82,71.05,72.57,4162800,0.0,0.0
2020-03-12,67.64,72.15,65.8,70.29,6073000,0.0,0.0
2020-03-13,72.43,74.8,70.48,73.88,5699300,0.0,0.0
2020-03-16,69.34,72.68,66.12,66.73,5037300,0.0,0.0
2020-03-17,68.3,79.39,68.3,78.76,5432000,0.0,0.0
2020-03-18,74.59,78.76,72.51,77.35,4117600,0.0,0.0
2020-03-19,77.65,77.65,66.74,67.19,5082100,0.0,0.0
2020-03-20,68.15,68.37,59.62,60.9,4902400,0.0,0.0
2020-03-23,60.82,60.98,52.04,54.82,5017900,0.0,0.0
2020-03-24,56.63,59.74,54.18,59.15,3372200,0.0,0.0
2020-03-25,58.18,62.46,56.88,59.5,3122100,0.0,0.0
2020-03-26,59.24,64.37,58.89,63.69,2771000,0.0,0.0
2020-03-27,62.3,66.88,62.09,65.35,2291500,0.0,0.0
2020-03-30,66.88,68.03,65.47,67.72,2557200,0.0,0.0
2020-03-31,66.9,67.11,64.88,65.43,3389300,0.0,0.0
2020-04-01,63.51,65.8,63.13,65.11,6352500,0.0,0.0
2020-04-02,63.76,66.8,63.76,66.21,3021800,0.0,0.0
2020-04-03,65.62,66.21,64.59,65.35,3904500,0.0,0.0
2020-04-06,67.71,69.63,66.75,67.99,2608100,0.0,0.0
2020-04-07,69.58,69.81,66.82,67.05,2173300,0.0,0.0
