,EPS Estimate,Reported EPS,Surprise(%)
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-02 19:00:00-05:00,-15.6,-18.39,-17.91
2025-01-26 19:00:00-05:00,nan,nan,nan
2024-10-29 20:00:00-04:00,11.91,14.62,22.72
2024-07-30 20:00:00-04:00,16.59,16.85,1.58
2024-04-28 20:00:00-04:00,16.01,16.32,1.92
2024-02-06 19:00:00-05:00,14.66,11.87,-19.02
2023-10-24 20:00:00-04:00,10.6,14.14,33.37
2023-07-25 20:00:00-04:00,11.64,15.21,30.71
