,EPS Estimate,Reported EPS,Surprise(%)
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-27 19:00:00-05:00,1.08,nan,nan
2024-10-28 20:00:00-04:00,1.38,1.51,9.15
2024-07-24 20:00:00-04:00,1.07,1.23,14.56
2024-04-29 20:00:00-04:00,1.15,1.13,-1.31
2024-02-21 19:00:00-05:00,1.16,1.28,10.47
2023-10-31 20:00:00-04:00,1.46,1.38,-5.56
2023-07-26 20:00:00-04:00,0.96,1.01,5.64
2023-05-01 20:00:00-04:00,0.96,1.09,14.12
2023-02-22 19:00:00-05:00,1.1,1.15,4.54
