,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,61.92,62.98,61.79,62.21,1441500,0.0,0.0
2020-02-24,62.36,62.41,61.2,61.21,1404000,0.0,0.0
2020-02-25,61.28,61.6,59.96,60.22,1652100,0.0,0.0
2020-02-26,60.2,60.83,59.56,59.6,1679400,0.0,0.0
2020-02-27,59.36,59.52,56.02,56.34,2110200,0.0,0.0
2020-02-28,55.0,55.29,52.34,53.89,5410600,0.0,0.0
2020-03-02,54.16,56.52,53.82,56.49,3847800,0.0,0.0
2020-03-03,55.99,57.6,54.47,54.78,4350600,0.0,0.0
2020-03-04,55.19,56.28,54.65,56.27,4519500,0.0,0.0
2020-03-05,55.77,57.0,54.95,55.35,2115200,0.0,0.0
2020-03-06,54.1,54.71,53.07,54.21,3461300,0.0,0.0
2020-03-09,52.32,53.29,49.53,49.53,3728300,0.0,0.0
2020-03-10,50.17,51.37,48.28,51.24,5080200,0.0,0.0
2020-03-11,49.79,49.79,47.02,47.91,3380100,0.0,0.0
2020-03-12,44.94,45.35,41.13,42.05,4432200,0.0,0.0
2020-03-13,44.06,44.39,39.92,42.71,4280700,0.0,0.0
2020-03-16,38.87,40.99,34.99,37.01,4654000,0.0,0.0
2020-03-17,37.73,43.28,36.53,41.19,4838500,0.0,0.0
2020-03-18,38.82,40.76,36.72,39.33,5257200,0.0,0.0
2020-03-19,38.9,39.52,36.09,39.11,3083500,0.0,0.0
2020-03-20,39.19,41.36,37.34,37.58,4052700,0.0,0.0
2020-03-23,37.26,38.83,35.4,35.66,3527700,0.0,0.0
2020-03-24,37.16,41.06,36.87,40.4,2995100,0.0,0.0
2020-03-25,40.12,45.55,40.12,43.16,3338300,0.0,0.0
2020-03-26,43.41,47.76,43.19,46.3,3211100,0.0,0.0
2020-03-27,44.19,46.17,43.45,44.4,2840100,0.0,0.0
2020-03-30,45.2,46.39,44.16,45.69,2756500,0.63,0.0
2020-03-31,45.79,45.79,43.89,44.45,2190900,0.0,0.0
2020-04-01,42.41,43.99,40.41,41.6,2219800,0.0,0.0
2020-04-02,40.58,43.16,40.58,41.81,2032400,0.0,0.0
2020-04-03,41.35,42.13,39.21,40.05,3612700,0.0,0.0
2020-04-06,41.87,44.62,41.78,43.14,4539900,0.0,0.0
2020-04-07,44.63,45.1,43.25,43.84,2094900,0.0,0.0
2020-04-08,44.04,47.32,43.63,46.71,3118700,0.0,0.0
2020-04-09,47.32,50.22,47.19,48.9,3753200,0.0,0.0
2020-04-13,48.42,48.67,47.07,48.19,2521700,0.0,0.0
2020-04-14,49.2,49.43,47.38,48.57,2695700,0.0,0.0
2020-04-15,47.45,48.27,46.67,46.96,2208600,0.0,0.0
2020-04-16,47.06,49.23,47.06,48.54,3193900,0.0,0.0
2020-04-17,49.5,50.64,48.54,50.35,2434600,0.0,0.0
2020-04-20,49.74,50.1,48.68,48.69,2435300,0.0,0.0
2020-04-21,47.93,48.64,46.55,47.21,1963500,0.0,0.0
2020-04-22,48.15,48.33,47.27,47.86,2028700,0.0,0.0
2020-04-23,47.86,48.98,47.11,47.25,2220300,0.0,0.0
2020-04-24,47.59,48.19,46.55,48.07,2117800,0.0,0.0
2020-04-27,48.64,49.57,48.63,49.29,1564100,0.0,0.0
2020-04-28,50.25,51.22,49.82,50.46,2150000,0.0,0.0
2020-04-29,51.11,51.42,48.9,48.98,2683000,0.0,0.0
2020-04-30,48.53,48.54,46.79,47.64,2009600,0.0,0.0
2020-05-01,46.65,46.96,44.28,45.18,2563800,0.0,0.0
2020-05-04,45.57,45.78,44.75,45.7,2865000,0.0,0.0
2020-05-05,45.96,47.09,45.74,45.75,1685300,0.0,0.0
2020-05-06,45.92,45.92,43.64,43.85,1564700,0.0,0.0
2020-05-07,43.96,44.64,43.36,44.24,3175100,0.0,0.0
2020-05-08,44.97,46.5,44.91,46.29,1507300,0.0,0.0
2020-05-11,45.93,46.37,45.08,46.1,1710900,0.0,0.0
2020-05-12,46.35,47.17,45.58,45.77,1949600,0.0,0.0
2020-05-13,46.04,47.24,45.95,46.58,3159100,0.0,0.0
2020-05-14,45.77,46.78,44.91,46.67,2744200,0.0,0.0
2020-05-15,46.39,47.0,45.14,45.4,3172200,0.0,0.0
2020-05-18,46.72,47.06,46.27,46.39,3100800,0.0,0.0
2020-05-19,46.19,47.09,45.97,46.59,1585200,0.0,0.0
2020-05-20,46.8,47.1,45.36,45.65,3702300,0.0,0.0
2020-05-21,45.55,45.92,44.97,45.66,1564100,0.0,0.0
2020-05-22,45.66,45.96,45.3,45.79,1558300,0.0,0.0
2020-05-26,46.65,46.73,45.21,45.44,3070700,0.0,0.0
2020-05-27,46.26,46.93,45.7,46.29,3067400,0.0,0.0
2020-05-28,47.26,47.3,46.52,47.05,3512000,0.0,0.0
2020-05-29,46.86,47.5,46.38,47.15,3121400,0.0,0.0
2020-06-01,47.29,48.45,47.29,48.07,2600700,0.0,0.0
2020-06-02,48.35,49.01,48.09,48.57,1766400,0.0,0.0
2020-06-03,48.99,49.9,48.92,49.47,2583400,0.0,0.0
2020-06-04,49.34,49.55,47.64,47.92,2505500,0.0,0.0
2020-06-05,48.44,50.2,48.08,49.4,4574800,0.0,0.0
2020-06-08,49.79,52.67,49.64,52.54,4205000,0.0,0.0
2020-06-09,51.98,52.08,49.7,50.0,3871900,0.0,0.0
2020-06-10,49.97,50.28,48.88,48.96,2376900,0.0,0.0
2020-06-11,47.99,48.23,45.54,46.09,3849900,0.0,0.0
2020-06-12,47.08,47.51,46.04,46.71,3089600,0.0,0.0
2020-06-15,45.74,48.37,45.15,48.24,3667400,0.0,0.0
2020-06-16,49.57,50.39,48.58,49.1,3631700,0.0,0.0
2020-06-17,49.35,49.68,48.32,48.59,4053400,0.0,0.0
2020-06-18,48.05,48.72,46.87,47.74,4389700,0.0,0.0
2020-06-19,48.54,48.72,45.16,45.16,9421300,0.0,0.0
2020-06-22,45.23,46.05,44.96,45.27,4036300,0.0,0.0
2020-06-23,45.83,45.84,44.63,45.25,4980200,0.0,0.0
2020-06-24,44.86,45.23,43.95,44.11,3650600,0.0,0.0
2020-06-25,43.97,44.61,42.93,44.54,4458300,0.0,0.0
2020-06-26,44.79,45.61,44.04,44.48,5428700,0.0,0.0
2020-06-29,44.96,44.96,44.02,44.9,3852600,0.0,0.0
2020-06-30,44.97,46.01,43.87,44.06,4974200,0.0,0.0
2020-07-01,44.06,45.15,43.73,44.89,2391200,0.0,0.0
2020-07-02,45.56,46.2,45.38,45.59,1758100,0.63,0.0
2020-07-06,46.27,46.72,45.54,46.01,2647000,0.0,0.0
2020-07-07,45.57,45.68,44.57,44.72,2975400,0.0,0.0
2020-07-08,44.41,44.86,44.21,44.7,2004300,0.0,0.0
2020-07-09,44.43,44.6,43.14,44.27,2405800,0.0,0.0
2020-07-10,44.16,45.55,44.13,45.42,1213400,0.0,0.0
2020-07-13,45.97,46.27,45.24,45.95,2366900,0.0,0.0
2020-07-14,46.15,47.05,45.95,46.52,2884200,0.0,0.0
2020-07-15,47.06,47.27,45.19,45.38,2507100,0.0,0.0
2020-07-16,45.44,46.48,45.26,46.04,1598300,0.0,0.0
2020-07-17,46.38,46.49,45.91,46.26,1784800,0.0,0.0
2020-07-20,45.95,45.97,44.96,45.06,2044800,0.0,0.0
2020-07-21,45.28,46.25,45.09,45.93,2140700,0.0,0.0
2020-07-22,45.74,46.78,45.51,46.55,1780700,0.0,0.0
2020-07-23,46.53,46.89,46.01,46.51,1333100,0.0,0.0
2020-07-24,46.56,46.99,45.61,45.98,1654200,0.0,0.0
2020-07-27,45.77,45.91,43.42,43.63,3744300,0.0,0.0
2020-07-28,43.67,45.74,43.67,45.24,1887000,0.0,0.0
2020-07-29,44.92,45.29,43.63,44.14,2335200,0.0,0.0
2020-07-30,43.81,45.2,43.52,45.04,2131400,0.0,0.0
2020-07-31,44.71,45.74,44.71,45.7,3482100,0.0,0.0
2020-08-03,45.42,45.45,43.91,44.27,2735400,0.0,0.0
2020-08-04,44.01,45.42,44.01,44.9,1691300,0.0,0.0
2020-08-05,44.98,44.98,43.8,44.0,1620900,0.0,0.0
2020-08-06,43.98,44.29,43.63,44.22,1735300,0.0,0.0
2020-08-07,44.06,45.24,44.05,44.83,1663700,0.0,0.0
2020-08-10,44.89,45.29,44.49,44.53,1470800,0.0,0.0
2020-08-11,44.3,45.04,43.83,43.98,1558400,0.0,0.0
2020-08-12,44.32,44.88,43.67,44.76,2054300,0.0,0.0
2020-08-13,44.67,44.67,43.19,44.0,2763700,0.0,0.0
