,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 19:00:00-05:00,nan,nan,nan
2025-10-28 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-01-29 19:00:00-05:00,1.57,1.87,19.41
2024-10-30 20:00:00-04:00,2.14,2.26,5.46
2024-07-24 20:00:00-04:00,2.01,2.15,6.84
2024-04-24 20:00:00-04:00,1.43,1.61,12.22
2024-01-31 19:00:00-05:00,1.3,1.31,1.06
2023-10-25 20:00:00-04:00,1.44,1.47,2.08
2023-07-26 20:00:00-04:00,1.93,1.99,2.88
2023-04-26 20:00:00-04:00,1.25,1.63,30.41
