,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,59.93,60.37,59.37,59.91,1511600,0.0,0.0
2020-02-25,60.18,60.18,55.82,56.14,1417200,0.0,0.0
2020-02-26,56.63,57.27,55.45,55.5,1106100,0.0,0.0
2020-02-27,54.15,55.64,52.69,52.69,2797000,0.0,0.0
2020-02-28,50.96,52.32,50.02,51.88,3081300,0.0,0.0
2020-03-02,52.47,53.14,50.72,53.07,2238700,0.0,0.0
2020-03-03,52.95,54.1,50.89,51.4,1541600,0.0,0.0
2020-03-04,52.32,53.13,51.02,53.06,1261700,0.0,0.0
2020-03-05,51.03,51.71,50.03,50.36,1641900,0.0,0.0
2020-03-06,48.69,50.16,47.71,48.73,1990800,0.0,0.0
2020-03-09,44.78,47.26,41.96,42.23,2000900,0.0,0.0
2020-03-10,44.48,44.79,42.1,43.64,2367100,0.0,0.0
2020-03-11,41.98,42.25,39.71,40.07,2452000,0.0,0.0
2020-03-12,36.42,37.21,30.82,35.77,4118200,0.0,0.0
2020-03-13,39.72,39.74,35.66,39.67,1955100,0.66,0.0
2020-03-16,32.8,37.63,32.55,34.28,2060600,0.0,0.0
2020-03-17,35.26,36.04,33.41,34.93,2340800,0.0,0.0
2020-03-18,32.03,33.28,29.5,33.08,2030600,0.0,0.0
2020-03-19,32.12,36.97,30.78,35.34,1497200,0.0,0.0
2020-03-20,36.07,36.84,33.5,34.96,2037800,0.0,0.0
2020-03-23,34.25,35.96,32.66,32.89,1704100,0.0,0.0
2020-03-24,35.87,36.73,34.28,35.62,1531900,0.0,0.0
2020-03-25,36.92,41.63,36.41,39.9,1566200,0.0,0.0
2020-03-26,40.28,42.95,39.63,41.08,1365900,0.0,0.0
2020-03-27,39.37,40.87,38.56,39.81,991300,0.0,0.0
2020-03-30,38.6,41.16,38.12,40.79,1295200,0.0,0.0
2020-03-31,40.64,41.32,39.48,39.9,2126600,0.0,0.0
2020-04-01,38.06,39.43,37.5,38.99,1842900,0.0,0.0
2020-04-02,39.3,41.23,38.39,38.88,2045000,0.0,0.0
2020-04-03,38.58,39.82,38.53,38.63,1414900,0.0,0.0
2020-04-06,40.78,43.32,40.51,42.99,1718300,0.0,0.0
2020-04-07,45.11,46.38,44.72,45.29,2548700,0.0,0.0
2020-04-08,45.42,48.83,45.21,48.44,1773400,0.0,0.0
2020-04-09,50.22,52.35,49.24,51.15,2011900,0.0,0.0
2020-04-13,50.99,51.09,48.72,49.63,2318400,0.0,0.0
2020-04-14,50.37,50.67,47.52,48.3,1857100,0.0,0.0
2020-04-15,45.85,46.42,44.27,44.55,1767400,0.0,0.0
2020-04-16,44.51,44.93,43.15,44.75,1394600,0.0,0.0
2020-04-17,46.13,47.67,46.13,47.2,1563800,0.0,0.0
2020-04-20,46.17,47.39,45.36,45.93,1053400,0.0,0.0
2020-04-21,44.71,46.02,44.16,45.17,914000,0.0,0.0
2020-04-22,46.37,46.6,45.26,46.15,568700,0.0,0.0
2020-04-23,46.84,48.7,46.78,47.98,895200,0.0,0.0
2020-04-24,48.63,49.31,47.74,49.06,1099200,0.0,0.0
2020-04-27,49.2,52.26,49.19,50.85,1869300,0.0,0.0
2020-04-28,51.87,52.76,50.67,51.96,1575100,0.0,0.0
2020-04-29,53.46,54.68,52.93,54.38,1415300,0.0,0.0
2020-04-30,53.25,53.3,51.78,51.84,1665200,0.0,0.0
2020-05-01,53.64,54.99,51.24,51.42,2101300,0.0,0.0
2020-05-04,50.37,52.0,49.83,51.96,2284800,0.0,0.0
2020-05-05,52.43,53.21,51.39,51.5,1092300,0.0,0.0
2020-05-06,52.06,52.43,50.79,51.0,1099500,0.0,0.0
2020-05-07,51.8,52.77,51.51,51.81,1191500,0.0,0.0
