,EPS Estimate,Reported EPS,Surprise(%)
2026-02-02 19:00:00-05:00,nan,nan,nan
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-08-04 20:00:00-04:00,nan,nan,nan
2025-05-05 20:00:00-04:00,nan,nan,nan
2025-02-04 19:00:00-05:00,1.28,1.38,7.81
2024-11-04 19:00:00-05:00,1.47,1.48,0.85
2024-08-06 20:00:00-04:00,1.42,1.43,0.81
2024-05-07 20:00:00-04:00,1.25,1.36,8.56
2024-02-06 19:00:00-05:00,1.04,1.22,17.12
2023-11-06 19:00:00-05:00,1.31,1.29,-1.46
2023-08-01 20:00:00-04:00,1.1,1.29,17.09
2023-05-02 20:00:00-04:00,0.97,1.05,7.87
