,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-10-19 20:00:00-04:00,nan,nan,nan
2025-07-20 20:00:00-04:00,nan,nan,nan
2025-04-20 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,0.72,0.94,29.83
2024-10-21 20:00:00-04:00,0.77,0.65,-15.21
2024-07-22 20:00:00-04:00,0.48,0.43,-9.79
2024-04-22 20:00:00-04:00,0.39,0.35,-9.46
2024-02-05 19:00:00-05:00,0.55,0.54,-2.17
2023-10-25 20:00:00-04:00,1.01,1.02,0.72
2023-07-26 20:00:00-04:00,1.25,1.47,17.61
2023-04-24 20:00:00-04:00,1.21,1.37,13.06
