,EPS Estimate,Reported EPS,Surprise(%)
2025-11-04 19:00:00-05:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-26 19:00:00-05:00,2.66,nan,nan
2024-11-06 19:00:00-05:00,2.77,2.89,4.17
2024-07-31 20:00:00-04:00,2.96,3.16,6.81
2024-05-01 20:00:00-04:00,2.71,2.82,4.25
2024-02-21 19:00:00-05:00,3.07,3.07,0.1
2023-11-01 20:00:00-04:00,3.02,3.44,13.93
2023-08-02 20:00:00-04:00,2.32,2.49,7.4
2023-05-03 20:00:00-04:00,2.48,2.69,8.37
2023-02-22 19:00:00-05:00,3.37,3.3,-2.0
