,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,58.82,58.82,57.86,58.3,2963700,0.0,0.0
2020-02-24,56.04,56.04,54.52,54.92,3854400,0.0,0.0
2020-02-25,55.11,55.25,51.5,52.63,6558100,0.0,0.0
2020-02-26,53.2,53.24,49.56,49.65,5371300,0.0,0.0
2020-02-27,47.6,49.93,46.23,47.14,7699300,0.0,0.0
2020-02-28,45.02,49.7,44.26,49.7,11070400,0.0,0.0
2020-03-02,50.13,50.2,47.26,49.38,8008500,0.0,0.0
2020-03-03,49.44,51.39,47.84,49.05,6432200,0.0,0.0
2020-03-04,49.98,50.67,48.93,50.34,5455100,0.0,0.0
2020-03-05,48.54,50.08,47.7,48.61,4905100,0.0,0.0
2020-03-06,46.29,47.06,42.32,43.44,9915000,0.0,0.0
2020-03-09,30.02,31.56,27.41,29.54,18938200,0.0,0.0
2020-03-10,31.33,32.77,28.13,32.68,13804500,0.0,0.0
2020-03-11,30.99,31.38,29.51,30.53,13208700,0.0,0.0
2020-03-12,27.64,28.24,24.87,25.53,12384000,0.0,0.0
2020-03-13,27.69,28.14,23.76,27.34,13961100,0.0,0.0
2020-03-16,23.56,28.35,22.08,24.43,10311100,0.0,0.0
2020-03-17,24.66,26.11,23.27,24.27,10122100,0.0,0.0
2020-03-18,22.14,23.68,21.21,23.38,7759600,0.0,0.0
2020-03-19,23.52,27.14,23.38,26.1,9407700,0.0,0.0
2020-03-20,27.25,29.25,26.33,27.41,12411400,0.0,0.0
2020-03-23,27.18,28.7,26.01,27.13,8642100,0.0,0.0
2020-03-24,28.63,31.42,28.06,31.27,10485900,0.0,0.0
2020-03-25,30.71,32.66,28.83,31.18,9492500,0.0,0.0
2020-03-26,28.37,31.58,28.37,31.05,9263100,0.0,0.0
2020-03-27,29.72,30.16,27.4,28.28,10078900,0.0,0.0
2020-03-30,27.5,27.86,26.33,27.48,9148200,0.0,0.0
2020-03-31,28.99,30.33,27.64,28.22,7816000,0.0,0.0
