,EPS Estimate,Reported EPS,Surprise(%)
2026-02-09 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-08-04 20:00:00-04:00,nan,nan,nan
2025-05-05 20:00:00-04:00,nan,nan,nan
2025-02-11 19:00:00-05:00,2.71,2.58,-4.69
2024-10-29 20:00:00-04:00,2.93,3.1,5.96
2024-08-06 20:00:00-04:00,2.67,3.16,18.41
2024-05-07 20:00:00-04:00,2.64,2.43,-8.11
2024-02-13 19:00:00-05:00,2.17,2.4,10.59
2023-10-24 20:00:00-04:00,2.15,2.93,36.12
2023-08-01 20:00:00-04:00,2.06,2.21,7.44
2023-05-02 20:00:00-04:00,2.19,2.77,26.46
