,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,596.59,601.2,589.4,600.28,604900,0.0,0.0
2020-02-24,593.13,598.86,583.53,590.13,543200,0.0,0.0
2020-02-25,590.88,593.5,576.59,580.7,677700,2.66,0.0
2020-02-26,583.07,586.08,574.18,578.74,414600,0.0,0.0
2020-02-27,573.3,579.56,548.8,549.01,718200,0.0,0.0
2020-02-28,538.94,542.09,517.83,526.33,1132000,0.0,0.0
2020-03-02,530.99,569.96,530.42,568.67,757100,0.0,0.0
2020-03-03,571.28,582.6,551.32,565.25,678800,0.0,0.0
2020-03-04,575.21,594.07,571.46,593.12,586400,0.0,0.0
2020-03-05,577.98,589.76,561.47,566.64,578100,0.0,0.0
2020-03-06,550.94,560.5,535.26,559.29,826300,0.0,0.0
2020-03-09,524.67,553.1,523.87,527.48,724500,0.0,0.0
2020-03-10,551.32,565.14,524.72,560.77,706400,0.0,0.0
2020-03-11,543.64,555.89,537.43,550.22,897900,0.0,0.0
2020-03-12,511.72,546.72,501.84,519.28,1003900,0.0,0.0
2020-03-13,537.8,573.22,520.76,570.7,1081100,0.0,0.0
2020-03-16,535.32,538.71,487.0,498.42,1018900,0.0,0.0
2020-03-17,513.3,549.69,509.71,528.51,1215500,0.0,0.0
2020-03-18,500.78,537.57,491.08,525.72,1027900,0.0,0.0
2020-03-19,525.49,542.23,492.1,505.38,985200,0.0,0.0
2020-03-20,505.15,514.55,453.18,465.42,1230300,0.0,0.0
2020-03-23,464.06,464.94,439.1,449.45,882100,0.0,0.0
2020-03-24,468.47,508.09,456.36,501.6,914300,0.0,0.0
2020-03-25,492.33,545.52,491.93,508.98,723800,0.0,0.0
2020-03-26,514.13,555.22,506.53,539.91,754700,0.0,0.0
2020-03-27,526.99,555.91,508.96,546.05,616200,0.0,0.0
2020-03-30,556.82,596.34,545.82,592.55,778600,0.0,0.0
2020-03-31,588.07,592.6,561.48,573.9,1135000,0.0,0.0
2020-04-01,558.84,569.7,533.58,547.15,714800,0.0,0.0
2020-04-02,546.53,578.0,542.77,575.35,801500,0.0,0.0
2020-04-03,575.49,584.59,555.37,574.01,557200,0.0,0.0
2020-04-06,587.87,605.51,578.89,599.3,698800,0.0,0.0
2020-04-07,623.84,624.52,571.28,573.02,621200,0.0,0.0
2020-04-08,573.39,614.47,571.12,610.37,533700,0.0,0.0
2020-04-09,612.78,636.43,612.16,631.21,904300,0.0,0.0
2020-04-13,626.31,626.31,592.45,603.87,541000,0.0,0.0
2020-04-14,622.4,639.41,617.3,633.0,549800,0.0,0.0
2020-04-15,622.77,629.6,611.51,620.72,361100,0.0,0.0
2020-04-16,605.56,632.18,605.56,627.35,521700,0.0,0.0
2020-04-17,626.53,640.26,615.0,638.57,502600,0.0,0.0
2020-04-20,628.5,631.26,611.78,616.33,519500,0.0,0.0
2020-04-21,604.99,625.83,601.81,617.66,420700,0.0,0.0
