,EPS Estimate,Reported EPS,Surprise(%)
2026-02-08 19:00:00-05:00,nan,nan,nan
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-10 19:00:00-05:00,1.0,1.01,1.51
2024-11-03 19:00:00-05:00,1.08,1.13,4.28
2024-07-30 20:00:00-04:00,0.96,0.95,-0.72
2024-04-30 20:00:00-04:00,1.46,1.49,1.72
2024-02-12 19:00:00-05:00,0.97,1.36,40.29
2023-11-05 19:00:00-05:00,0.98,0.97,-1.15
2023-07-30 20:00:00-04:00,0.91,1.0,9.99
2023-05-02 20:00:00-04:00,1.34,1.41,4.84
