,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,80.64,81.92,80.42,80.84,2462300,0.0,0.0
2020-02-24,80.77,81.25,80.13,80.21,2160400,0.0,0.0
2020-02-25,80.3,81.02,78.43,78.67,2102400,0.0,0.0
2020-02-26,78.72,79.8,78.38,78.74,2277500,0.0,0.0
2020-02-27,78.69,79.13,75.37,75.42,2295200,0.0,0.0
2020-02-28,74.14,74.14,71.17,72.84,3405900,0.0,0.0
2020-03-02,72.97,78.95,72.97,78.87,3191500,0.0,0.0
2020-03-03,78.85,80.6,77.64,78.32,2409300,0.56,0.0
2020-03-04,78.99,83.61,78.98,83.52,1989600,0.0,0.0
2020-03-05,82.43,83.85,81.74,82.59,1990400,0.0,0.0
2020-03-06,80.68,82.06,79.08,81.68,2262700,0.0,0.0
2020-03-09,77.47,80.18,76.28,78.45,3900000,0.0,0.0
2020-03-10,79.12,79.96,74.12,77.25,3524400,0.0,0.0
2020-03-11,75.63,75.94,73.11,74.41,2653800,0.0,0.0
2020-03-12,70.96,71.58,62.64,70.03,3492200,0.0,0.0
2020-03-13,72.8,75.17,69.02,75.04,4368900,0.0,0.0
2020-03-16,68.94,71.28,64.82,65.42,4690200,0.0,0.0
2020-03-17,66.65,76.42,66.65,73.92,5763000,0.0,0.0
2020-03-18,70.52,75.22,66.49,73.11,4556400,0.0,0.0
2020-03-19,73.5,73.5,63.96,65.31,3691500,0.0,0.0
2020-03-20,65.7,65.9,57.14,57.92,4340500,0.0,0.0
2020-03-23,57.37,57.54,51.44,52.75,3432000,0.0,0.0
2020-03-24,54.84,61.42,52.52,60.55,2697800,0.0,0.0
2020-03-25,59.53,63.19,57.64,60.94,2181000,0.0,0.0
2020-03-26,61.02,67.37,60.6,66.74,2771100,0.0,0.0
2020-03-27,64.78,70.89,63.93,68.62,1749800,0.0,0.0
2020-03-30,70.05,71.2,67.52,70.9,2672600,0.0,0.0
2020-03-31,69.97,70.13,66.15,66.29,2981600,0.0,0.0
2020-04-01,63.99,65.42,63.57,64.41,2425700,0.0,0.0
2020-04-02,63.17,67.71,63.17,67.21,3084200,0.0,0.0
2020-04-03,66.28,67.04,63.06,63.62,2394000,0.0,0.0
2020-04-06,66.12,70.25,65.38,69.58,1736800,0.0,0.0
2020-04-07,70.56,71.19,67.34,67.62,2830600,0.0,0.0
2020-04-08,68.01,71.22,66.87,70.65,2055600,0.0,0.0
2020-04-09,71.58,77.13,71.32,76.37,2348700,0.0,0.0
2020-04-13,75.21,76.12,72.45,73.5,2258500,0.0,0.0
2020-04-14,75.35,77.75,75.06,77.47,2359700,0.0,0.0
2020-04-15,76.12,77.0,74.1,75.37,1767100,0.0,0.0
2020-04-16,75.81,76.55,75.27,76.11,1771400,0.0,0.0
2020-04-17,77.55,78.1,75.57,77.61,1586600,0.0,0.0
2020-04-20,78.0,79.25,74.19,74.39,1996300,0.0,0.0
2020-04-21,73.33,74.95,73.04,73.91,1764000,0.0,0.0
2020-04-22,75.01,75.5,74.14,74.6,1434300,0.0,0.0
2020-04-23,74.45,75.0,72.17,73.37,1434300,0.0,0.0
2020-04-24,73.5,73.89,71.85,73.38,1571700,0.0,0.0
2020-04-27,73.75,74.06,72.33,72.53,1770500,0.0,0.0
2020-04-28,73.16,74.31,72.66,73.08,1427600,0.0,0.0
2020-04-29,73.87,73.87,70.33,70.66,2346700,0.0,0.0
2020-04-30,70.21,70.43,67.99,68.4,3111700,0.0,0.0
2020-05-01,67.99,68.52,67.24,67.7,1543000,0.0,0.0
2020-05-04,68.07,68.89,67.28,68.49,1255900,0.0,0.0
2020-05-05,68.46,69.97,68.45,68.65,1849700,0.0,0.0
2020-05-06,68.6,68.99,64.56,64.64,1907700,0.0,0.0
2020-05-07,66.89,68.94,65.37,65.81,1849600,0.0,0.0
2020-05-08,65.81,66.96,65.37,65.93,1430000,0.0,0.0
2020-05-11,65.74,65.96,64.47,65.28,1416500,0.0,0.0
2020-05-12,66.51,66.94,63.82,64.14,2278900,0.0,0.0
2020-05-13,63.63,65.23,63.47,64.96,1711400,0.0,0.0
2020-05-14,64.48,65.65,62.39,65.49,1788700,0.0,0.0
2020-05-15,64.42,65.08,63.03,64.75,4749300,0.0,0.0
2020-05-18,66.79,68.09,66.05,67.64,1579600,0.0,0.0
2020-05-19,67.29,67.72,66.57,66.78,1466700,0.56,0.0
2020-05-20,67.36,68.44,66.85,67.78,1360700,0.0,0.0
2020-05-21,67.53,67.81,66.84,67.29,1655200,0.0,0.0
2020-05-22,67.27,68.08,66.54,66.98,1053500,0.0,0.0
2020-05-26,68.11,68.15,66.38,66.6,1393000,0.0,0.0
2020-05-27,67.49,67.49,64.8,66.13,1889400,0.0,0.0
2020-05-28,67.18,69.27,66.71,69.05,1882800,0.0,0.0
2020-05-29,68.78,71.87,68.78,71.45,3700600,0.0,0.0
2020-06-01,71.51,73.57,71.03,73.06,1931900,0.0,0.0
2020-06-02,73.54,73.81,72.23,73.22,1813900,0.0,0.0
2020-06-03,73.72,75.35,73.43,74.2,1571600,0.0,0.0
2020-06-04,73.65,74.05,71.98,73.02,1203800,0.0,0.0
2020-06-05,73.53,74.89,72.85,73.86,1669500,0.0,0.0
2020-06-08,73.77,75.11,73.02,74.92,1456200,0.0,0.0
2020-06-09,74.42,74.42,72.2,72.79,1407300,0.0,0.0
2020-06-10,72.96,74.2,72.9,73.64,1428600,0.0,0.0
2020-06-11,73.42,73.57,70.98,72.01,2812000,0.0,0.0
2020-06-12,73.03,73.56,71.02,71.97,2108300,0.0,0.0
2020-06-15,70.86,73.02,70.25,71.93,1895400,0.0,0.0
2020-06-16,73.43,74.04,71.68,71.86,1771400,0.0,0.0
2020-06-17,72.27,73.08,71.31,72.59,1279700,0.0,0.0
2020-06-18,72.18,72.78,71.42,72.32,1240200,0.0,0.0
2020-06-19,73.29,73.29,70.6,70.76,5681600,0.0,0.0
2020-06-22,70.75,72.54,70.32,71.86,1554800,0.0,0.0
2020-06-23,72.46,72.89,70.98,71.19,2293400,0.0,0.0
2020-06-24,70.62,70.75,69.71,70.36,1664500,0.0,0.0
2020-06-25,70.48,70.68,69.28,70.31,1420500,0.0,0.0
2020-06-26,70.04,71.28,69.33,69.87,2895300,0.0,0.0
2020-06-29,70.53,70.96,69.72,70.93,1135600,0.0,0.0
2020-06-30,70.75,71.5,70.1,71.09,1902300,0.0,0.0
2020-07-01,71.04,72.96,70.99,72.66,1528000,0.0,0.0
2020-07-02,73.08,73.36,72.07,72.28,1192400,0.0,0.0
2020-07-06,73.17,73.65,71.09,71.59,1534700,0.0,0.0
2020-07-07,71.0,72.25,70.36,71.99,1351300,0.0,0.0
2020-07-08,71.79,72.95,71.37,72.68,1270900,0.0,0.0
2020-07-09,72.06,72.52,70.9,72.2,1174300,0.0,0.0
2020-07-10,72.2,73.17,71.76,72.94,724700,0.0,0.0
2020-07-13,72.64,74.34,72.64,73.37,1721100,0.0,0.0
2020-07-14,73.44,74.18,72.91,73.78,1566600,0.0,0.0
2020-07-15,74.35,74.62,72.47,72.56,1696000,0.0,0.0
2020-07-16,72.74,73.49,72.44,73.25,1391200,0.0,0.0
2020-07-17,73.82,75.24,73.6,74.99,1617200,0.0,0.0
2020-07-20,74.61,74.89,73.59,73.94,1471500,0.0,0.0
2020-07-21,73.2,75.62,72.78,74.42,1673700,0.0,0.0
2020-07-22,74.12,76.82,73.68,76.52,1343600,0.0,0.0
2020-07-23,76.28,77.43,76.22,76.86,1045800,0.0,0.0
2020-07-24,76.84,77.76,75.78,76.39,910300,0.0,0.0
2020-07-27,76.39,76.53,74.95,75.72,1014500,0.0,0.0
2020-07-28,75.6,77.8,75.6,76.95,1297400,0.0,0.0
2020-07-29,77.31,78.01,76.82,77.25,1028100,0.0,0.0
2020-07-30,76.56,77.5,76.28,77.33,1114600,0.0,0.0
2020-07-31,77.16,78.51,75.47,76.89,2588700,0.0,0.0
2020-08-03,76.57,76.89,75.64,76.4,1019000,0.0,0.0
2020-08-04,76.42,77.61,76.38,77.06,1120800,0.0,0.0
2020-08-05,77.14,77.39,75.03,75.28,953900,0.0,0.0
2020-08-06,75.08,75.56,74.34,75.21,1320800,0.0,0.0
2020-08-07,75.08,76.66,74.95,76.0,1524500,0.0,0.0
2020-08-10,76.25,76.38,75.25,75.59,1275300,0.0,0.0
2020-08-11,75.53,75.71,73.33,73.49,1323900,0.0,0.0
2020-08-12,73.91,75.42,73.76,75.05,1255500,0.0,0.0
2020-08-13,74.67,75.39,74.4,75.06,777900,0.0,0.0
2020-08-14,74.83,75.18,74.07,74.4,617200,0.0,0.0
2020-08-17,74.22,75.55,73.97,74.66,992600,0.0,0.0
2020-08-18,74.66,75.04,73.71,74.22,936800,0.0,0.0
2020-08-19,74.48,74.48,73.19,73.6,1060400,0.0,0.0
2020-08-20,73.34,73.94,72.88,73.13,772300,0.0,0.0
2020-08-21,73.41,74.01,72.46,73.88,963800,0.0,0.0
2020-08-24,73.24,73.8,72.05,73.31,1503400,0.0,0.0
2020-08-25,73.65,73.68,72.34,72.5,1067500,0.0,0.0
2020-08-26,72.17,72.26,70.89,71.72,1185200,0.0,0.0
2020-08-27,72.06,72.41,71.02,71.95,1202600,0.0,0.0
2020-08-28,72.03,72.58,71.06,72.37,1136500,0.0,0.0
2020-08-31,72.21,73.3,72.16,73.17,2385200,0.0,0.0
2020-09-01,72.65,72.87,71.22,71.42,1429800,0.0,0.0
2020-09-02,71.5,74.07,71.01,73.82,1155600,0.0,0.0
2020-09-03,73.95,74.83,72.77,73.49,1197300,0.0,0.0
2020-09-04,73.37,73.85,72.17,73.49,1097000,0.0,0.0
2020-09-08,73.56,73.73,72.45,72.78,1256800,0.0,0.0
2020-09-09,73.29,75.09,73.08,73.24,1144400,0.0,0.0
2020-09-10,73.02,73.08,71.1,71.15,1343700,0.0,0.0
2020-09-11,71.39,71.41,69.59,70.14,2086300,0.0,0.0
2020-09-14,70.47,71.27,69.73,70.78,2033900,0.0,0.0
2020-09-15,71.05,72.7,71.05,71.68,1433500,0.0,0.0
2020-09-16,71.85,72.59,71.6,71.65,1252000,0.56,0.0
2020-09-17,71.09,71.15,69.96,70.42,1351700,0.0,0.0
2020-09-18,70.16,70.33,67.61,67.78,3739000,0.0,0.0
2020-09-21,67.13,67.71,66.18,67.06,1403700,0.0,0.0
2020-09-22,66.9,68.38,66.84,67.88,1464000,0.0,0.0
2020-09-23,67.84,68.21,67.18,67.29,1258300,0.0,0.0
2020-09-24,67.32,68.97,67.21,68.72,1473100,0.0,0.0
2020-09-25,68.66,70.97,68.43,70.89,1991100,0.0,0.0
2020-09-28,71.34,71.97,70.41,71.04,1293200,0.0,0.0
2020-09-29,71.29,71.91,71.0,71.35,778700,0.0,0.0
2020-09-30,71.76,72.34,71.03,71.81,1561300,0.0,0.0
2020-10-01,72.06,73.47,71.85,73.44,1644900,0.0,0.0
2020-10-02,73.0,75.32,72.75,74.82,1717300,0.0,0.0
2020-10-05,75.14,76.98,74.63,76.92,1842900,0.0,0.0
2020-10-06,76.92,78.53,76.27,78.03,1687000,0.0,0.0
2020-10-07,78.53,78.89,77.58,78.56,1264900,0.0,0.0
2020-10-08,78.68,79.89,78.42,79.44,1161300,0.0,0.0
2020-10-09,79.72,79.93,78.63,79.24,1271100,0.0,0.0
2020-10-12,79.22,80.62,79.22,79.99,906300,0.0,0.0
2020-10-13,78.99,79.86,78.37,79.64,1016500,0.0,0.0
2020-10-14,79.07,79.68,78.42,78.93,1069700,0.0,0.0
2020-10-15,78.49,78.97,77.7,78.23,1399800,0.0,0.0
2020-10-16,78.23,79.23,77.75,78.58,1821300,0.0,0.0
2020-10-19,78.99,79.43,78.05,78.28,1048500,0.0,0.0
2020-10-20,78.73,79.92,78.4,79.28,1157400,0.0,0.0
2020-10-21,79.08,79.86,78.76,79.14,856000,0.0,0.0
2020-10-22,79.36,80.11,78.88,79.86,1043700,0.0,0.0
2020-10-23,80.17,80.24,78.77,79.05,1217400,0.0,0.0
2020-10-26,78.52,79.05,77.74,78.84,1677300,0.0,0.0
2020-10-27,79.27,79.73,78.26,78.97,1778400,0.0,0.0
2020-10-28,78.09,78.8,76.22,76.42,1347800,0.0,0.0
2020-10-29,75.94,77.01,74.89,76.03,1614800,0.0,0.0
2020-10-30,75.81,76.37,74.27,75.01,1437700,0.0,0.0
2020-11-02,75.7,77.93,75.36,77.86,1343100,0.0,0.0
2020-11-03,78.49,79.64,78.13,79.06,1389500,0.0,0.0
2020-11-04,79.85,79.98,78.21,78.46,1389900,0.0,0.0
2020-11-05,78.87,80.42,78.87,79.25,1188600,0.0,0.0
2020-11-06,79.4,80.87,78.76,79.74,1166500,0.0,0.0
2020-11-09,81.65,83.08,80.29,80.39,1757800,0.0,0.0
2020-11-10,80.96,81.17,79.76,80.5,1739800,0.0,0.0
2020-11-11,80.86,81.66,80.28,81.15,1140100,0.0,0.0
2020-11-12,80.93,81.17,78.82,79.34,1036900,0.0,0.0
2020-11-13,79.81,80.76,79.48,80.18,854200,0.0,0.0
2020-11-16,80.97,81.26,79.46,81.16,1002800,0.0,0.0
2020-11-17,80.81,81.0,78.55,78.86,961100,0.0,0.0
2020-11-18,79.37,79.38,77.0,77.14,1059100,0.0,0.0
2020-11-19,76.93,77.21,75.08,75.8,1765700,0.0,0.0
2020-11-20,75.78,76.85,75.48,76.18,1395200,0.0,0.0
2020-11-23,76.36,76.59,75.19,75.46,931000,0.0,0.0
2020-11-24,76.12,76.29,74.7,75.18,1375400,0.0,0.0
2020-11-25,75.42,76.06,74.26,76.01,1620200,0.0,0.0
2020-11-27,76.07,76.22,74.72,75.58,633500,0.0,0.0
2020-11-30,75.52,75.98,74.38,75.21,2331300,0.0,0.0
2020-12-01,75.57,76.63,75.25,75.82,1777000,0.0,0.0
2020-12-02,75.59,75.92,74.86,75.76,1415100,0.0,0.0
2020-12-03,75.52,75.72,74.31,74.61,997000,0.0,0.0
2020-12-04,74.36,74.89,72.8,73.52,1743400,0.0,0.0
2020-12-07,73.22,74.89,73.07,74.55,1464600,0.0,0.0
2020-12-08,74.0,74.66,73.54,74.24,850100,0.0,0.0
2020-12-09,74.24,74.4,73.33,73.93,945500,0.0,0.0
2020-12-10,74.08,74.64,73.14,73.65,1432400,0.0,0.0
2020-12-11,73.5,74.03,73.08,73.74,1221600,0.0,0.0
2020-12-14,74.33,75.3,73.39,73.45,1285400,0.0,0.0
2020-12-15,73.65,74.85,73.23,74.46,1292800,0.0,0.0
