,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,273.37,276.51,273.37,275.92,463100,0.0,0.0
2020-02-24,274.74,276.47,272.47,273.22,412600,0.0,0.0
2020-02-25,273.63,273.87,265.95,266.59,435800,0.0,0.0
2020-02-26,267.39,270.12,265.71,265.78,520600,0.0,0.0
2020-02-27,262.58,264.8,248.8,248.8,635200,0.0,0.0
2020-02-28,244.38,245.46,233.29,237.62,1030500,0.0,0.0
2020-03-02,238.72,246.48,237.88,246.07,751100,0.0,0.0
2020-03-03,245.75,252.52,242.49,244.77,645900,0.0,0.0
2020-03-04,247.61,254.28,247.61,253.98,416700,0.0,0.0
2020-03-05,250.44,253.51,245.7,249.13,591500,0.0,0.0
2020-03-06,244.31,247.92,238.52,247.1,368200,0.0,0.0
2020-03-09,233.51,240.48,230.78,234.17,758700,0.0,0.0
2020-03-10,240.31,246.9,234.81,246.68,855600,0.0,0.0
2020-03-11,240.34,240.38,230.22,232.74,790100,0.0,0.0
2020-03-12,219.62,236.46,209.85,220.3,1176800,0.0,0.0
2020-03-13,229.87,232.3,217.0,231.22,767900,0.0,0.0
2020-03-16,210.42,215.67,187.11,187.56,724700,0.0,0.0
2020-03-17,191.3,200.35,184.28,197.96,637500,0.0,0.0
2020-03-18,188.68,195.32,168.76,172.96,676000,0.0,0.0
2020-03-19,172.09,180.17,168.7,175.32,562700,0.0,0.0
2020-03-20,177.78,180.19,161.19,164.64,819900,0.0,0.0
2020-03-23,163.19,163.19,147.43,152.81,967500,0.0,0.0
2020-03-24,158.83,162.21,149.07,157.66,914500,0.0,0.0
2020-03-25,156.13,178.5,154.1,168.36,813700,0.0,0.0
2020-03-26,169.48,183.44,166.04,183.4,654000,0.0,0.0
2020-03-27,177.95,196.9,175.61,191.7,786100,0.0,0.0
2020-03-30,193.46,196.44,179.32,190.84,590200,2.07,0.0
2020-03-31,189.4,190.37,179.08,186.38,785800,0.0,0.0
2020-04-01,174.52,175.2,161.55,169.52,765000,0.0,0.0
2020-04-02,160.79,171.73,160.23,164.57,707900,0.0,0.0
2020-04-03,163.35,170.52,159.55,161.52,477600,0.0,0.0
2020-04-06,170.95,181.82,170.27,179.93,555500,0.0,0.0
2020-04-07,188.76,191.11,180.51,181.63,569100,0.0,0.0
2020-04-08,182.19,199.84,180.2,198.13,687200,0.0,0.0
2020-04-09,202.9,215.52,201.38,209.0,801800,0.0,0.0
2020-04-13,206.99,210.28,199.76,202.94,484800,0.0,0.0
2020-04-14,208.72,214.94,206.44,213.79,635000,0.0,0.0
2020-04-15,205.39,210.79,202.36,207.67,624500,0.0,0.0
2020-04-16,208.91,209.56,203.16,208.21,657200,0.0,0.0
2020-04-17,213.02,221.92,212.21,220.74,621400,0.0,0.0
2020-04-20,217.81,217.81,204.54,204.71,435000,0.0,0.0
2020-04-21,198.75,204.25,198.17,202.08,438500,0.0,0.0
2020-04-22,205.62,209.16,203.84,207.1,428600,0.0,0.0
2020-04-23,206.61,206.61,201.52,204.16,864300,0.0,0.0
2020-04-24,205.65,207.35,199.31,204.47,634000,0.0,0.0
2020-04-27,207.51,213.89,205.17,213.32,274800,0.0,0.0
2020-04-28,219.22,220.37,206.53,209.42,297400,0.0,0.0
2020-04-29,213.6,215.29,209.05,210.91,275900,0.0,0.0
2020-04-30,208.49,208.49,202.6,206.57,437600,0.0,0.0
2020-05-01,201.63,203.23,198.04,200.41,393400,0.0,0.0
2020-05-04,197.67,205.65,195.51,205.04,456900,0.0,0.0
2020-05-05,206.68,211.01,205.67,206.93,453500,0.0,0.0
2020-05-06,208.23,210.14,204.19,204.28,423600,0.0,0.0
2020-05-07,201.22,213.13,201.22,210.77,507400,0.0,0.0
2020-05-08,214.08,215.66,207.71,208.73,356500,0.0,0.0
2020-05-11,206.85,207.95,202.61,205.58,367700,0.0,0.0
2020-05-12,205.92,205.92,192.86,194.56,752000,0.0,0.0
2020-05-13,191.46,196.12,190.42,195.3,621700,0.0,0.0
2020-05-14,192.54,193.46,185.47,190.42,479400,0.0,0.0
2020-05-15,189.37,192.55,184.94,191.72,1005100,0.0,0.0
2020-05-18,199.46,206.68,199.38,203.61,529500,0.0,0.0
2020-05-19,203.55,204.68,195.34,195.48,439200,0.0,0.0
2020-05-20,197.54,199.79,195.4,199.6,327400,0.0,0.0
2020-05-21,199.29,203.67,197.22,199.24,246900,0.0,0.0
2020-05-22,198.96,200.52,197.04,200.07,288500,0.0,0.0
2020-05-26,208.65,211.2,205.91,209.21,344000,0.0,0.0
2020-05-27,213.86,215.15,207.1,209.91,380900,0.0,0.0
2020-05-28,212.02,212.02,206.01,210.6,401300,0.0,0.0
2020-05-29,208.66,209.49,204.8,205.45,562800,0.0,0.0
2020-06-01,205.4,210.71,204.3,208.95,359900,0.0,0.0
2020-06-02,211.25,212.21,208.41,208.85,463400,0.0,0.0
2020-06-03,211.52,215.17,211.09,214.16,379900,0.0,0.0
2020-06-04,212.49,213.49,206.06,211.97,397700,0.0,0.0
2020-06-05,219.44,226.61,219.21,222.16,759500,0.0,0.0
2020-06-08,225.64,233.94,225.48,233.74,698700,0.0,0.0
2020-06-09,228.74,230.2,225.32,226.84,432500,0.0,0.0
2020-06-10,225.18,225.96,218.73,220.28,397100,0.0,0.0
2020-06-11,211.67,213.57,206.27,208.26,625600,0.0,0.0
2020-06-12,210.7,214.07,202.36,211.3,735100,0.0,0.0
2020-06-15,204.42,210.2,203.14,207.03,539400,0.0,0.0
2020-06-16,214.83,217.52,210.68,212.91,547400,0.0,0.0
2020-06-17,214.26,217.37,205.46,205.73,433400,0.0,0.0
2020-06-18,203.38,206.07,201.51,205.58,511400,0.0,0.0
2020-06-19,209.71,209.71,197.52,197.84,1495900,0.0,0.0
2020-06-22,197.54,200.05,193.91,197.67,430700,0.0,0.0
2020-06-23,199.77,199.77,195.23,196.55,430500,0.0,0.0
2020-06-24,194.45,195.74,189.73,192.75,588200,0.0,0.0
2020-06-25,192.15,194.22,190.17,194.02,277500,0.0,0.0
2020-06-26,192.96,194.57,189.56,190.23,652400,0.0,0.0
2020-06-29,191.71,193.48,189.62,193.41,355700,2.07,0.0
2020-06-30,194.02,197.04,193.4,195.75,857700,0.0,0.0
2020-07-01,196.53,205.86,196.03,204.46,475900,0.0,0.0
