,EPS Estimate,Reported EPS,Surprise(%)
2025-11-04 19:00:00-05:00,nan,nan,nan
2025-08-06 20:00:00-04:00,nan,nan,nan
2025-05-06 20:00:00-04:00,nan,nan,nan
2025-02-26 19:00:00-05:00,0.46,nan,nan
2024-11-06 19:00:00-05:00,1.93,2.02,4.65
2024-08-08 20:00:00-04:00,0.89,0.9,1.24
2024-05-08 20:00:00-04:00,0.64,0.53,-16.72
2024-02-28 19:00:00-05:00,0.28,0.27,-4.64
2023-11-06 19:00:00-05:00,1.84,1.88,1.98
2023-08-03 20:00:00-04:00,0.78,0.81,4.52
2023-05-04 20:00:00-04:00,0.58,0.59,1.72
2023-02-23 19:00:00-05:00,0.26,0.3,15.26
