,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,120.05,121.18,119.46,119.67,2060400,0.0,0.0
2020-02-24,112.75,114.01,110.16,111.89,4563600,0.0,0.0
2020-02-25,113.36,113.66,107.21,108.5,3447200,0.0,0.0
2020-02-26,108.99,109.29,100.23,100.81,5075600,0.0,0.0
2020-02-27,98.2,103.51,94.26,98.34,6148300,0.0,0.0
2020-02-28,95.47,99.41,94.88,98.25,5328300,0.0,0.0
2020-03-02,97.35,97.8,93.44,96.37,4849000,0.0,0.0
2020-03-03,96.11,98.61,93.34,94.83,3376400,0.0,0.0
2020-03-04,95.86,96.84,92.66,96.78,3954200,0.0,0.0
2020-03-05,93.94,94.14,90.26,91.17,4449800,0.0,0.0
2020-03-06,87.93,92.59,87.66,91.51,4773900,0.0,0.0
2020-03-09,84.4,87.5,82.0,86.3,4359000,0.34,0.0
2020-03-10,88.47,89.98,82.0,85.93,3947700,0.0,0.0
2020-03-11,83.23,83.63,75.55,76.66,6358200,0.0,0.0
2020-03-12,65.98,71.3,64.3,65.04,6498800,0.0,0.0
2020-03-13,68.59,69.98,58.56,69.62,9199200,0.0,0.0
2020-03-16,60.0,63.97,53.52,54.7,5743800,0.0,0.0
2020-03-17,54.27,57.99,49.63,54.11,7689200,0.0,0.0
2020-03-18,47.02,48.13,40.75,45.65,7369900,0.0,0.0
2020-03-19,44.59,52.75,43.0,48.43,8405200,0.0,0.0
2020-03-20,50.4,56.88,45.47,48.79,7312100,0.0,0.0
2020-03-23,49.2,54.45,46.29,50.84,6602100,0.0,0.0
2020-03-24,54.31,61.97,53.84,59.47,4982600,0.0,0.0
2020-03-25,62.09,70.7,59.08,65.88,5872200,0.0,0.0
2020-03-26,64.66,66.29,60.86,64.41,5244600,0.0,0.0
2020-03-27,61.91,61.91,57.7,60.02,4990300,0.0,0.0
2020-03-30,60.0,60.02,54.13,56.38,5845600,0.0,0.0
2020-03-31,56.33,61.34,55.25,56.27,4767200,0.0,0.0
2020-04-01,52.86,53.68,50.27,52.0,4743100,0.0,0.0
2020-04-02,51.0,54.49,46.79,47.86,4987600,0.0,0.0
2020-04-03,48.04,48.81,46.15,48.7,3753400,0.0,0.0
2020-04-06,52.38,53.88,51.15,52.83,5498800,0.0,0.0
2020-04-07,59.88,61.47,54.41,56.5,6205000,0.0,0.0
2020-04-08,58.75,61.99,57.99,60.54,5534700,0.0,0.0
2020-04-09,64.04,66.05,61.27,62.41,5275700,0.0,0.0
2020-04-13,62.38,63.0,58.06,58.79,3206600,0.0,0.0
2020-04-14,61.36,62.38,59.43,61.58,4060400,0.0,0.0
2020-04-15,58.65,61.18,57.29,60.56,3814700,0.0,0.0
2020-04-16,59.61,59.93,55.83,58.22,5386200,0.0,0.0
2020-04-17,62.04,63.77,61.02,63.22,4584200,0.0,0.0
2020-04-20,61.68,63.27,59.86,59.95,4036800,0.0,0.0
2020-04-21,58.09,58.59,55.22,57.25,3911000,0.0,0.0
2020-04-22,62.5,64.12,60.75,61.41,5621700,0.0,0.0
2020-04-23,61.84,67.36,61.84,63.36,8139300,0.0,0.0
2020-04-24,65.26,67.23,63.29,66.56,4397800,0.0,0.0
2020-04-27,67.36,69.68,66.75,69.15,4027300,0.0,0.0
2020-04-28,70.88,73.25,70.09,71.83,3837500,0.0,0.0
2020-04-29,75.69,76.54,74.66,74.83,4846300,0.0,0.0
2020-04-30,73.73,73.98,68.91,70.98,4567400,0.0,0.0
2020-05-01,68.13,69.91,66.37,67.29,3483200,0.0,0.0
2020-05-04,65.0,67.44,62.59,67.01,3071600,0.0,0.0
2020-05-05,68.41,68.41,63.79,64.08,5488400,0.0,0.0
2020-05-06,64.79,65.98,63.15,64.37,2495600,0.0,0.0
