,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,89.35,91.59,89.32,91.09,929500,0.0,0.0
2020-02-24,90.85,92.84,90.34,90.76,1114600,0.0,0.0
2020-02-25,90.98,90.98,88.18,89.25,1138300,0.0,0.0
2020-02-26,88.98,91.56,88.37,89.8,1376200,0.0,0.0
2020-02-27,89.28,89.95,83.97,83.99,1480900,0.0,0.0
2020-02-28,83.59,84.69,80.98,83.71,2162400,0.0,0.0
2020-03-02,84.38,88.32,84.35,87.92,1287500,0.0,0.0
2020-03-03,87.91,89.58,86.78,88.13,1211800,0.0,0.0
2020-03-04,89.47,93.79,88.94,91.58,1457600,0.0,0.0
2020-03-05,90.72,92.48,89.94,92.22,979600,0.0,0.0
2020-03-06,90.32,92.09,88.82,91.77,972100,0.0,0.0
2020-03-09,88.11,90.3,86.79,88.34,1380900,0.0,0.0
2020-03-10,89.69,90.35,84.49,89.74,1597100,0.0,0.0
2020-03-11,87.83,88.35,86.35,87.08,1371100,0.0,0.0
2020-03-12,83.25,85.82,80.0,80.31,2108700,0.0,0.0
2020-03-13,83.41,84.43,78.15,81.32,2030500,0.9,0.0
2020-03-16,75.55,77.89,68.53,68.74,2025200,0.0,0.0
2020-03-17,69.74,74.31,69.01,72.61,1931300,0.0,0.0
2020-03-18,68.74,77.81,67.86,75.75,2893700,0.0,0.0
2020-03-19,75.16,76.38,70.98,73.0,2297200,0.0,0.0
2020-03-20,73.03,73.03,65.42,67.12,2037600,0.0,0.0
2020-03-23,67.12,67.55,61.21,62.82,1702900,0.0,0.0
2020-03-24,64.4,66.92,63.04,65.94,1945200,0.0,0.0
2020-03-25,65.28,73.41,64.96,69.92,1057700,0.0,0.0
2020-03-26,69.84,76.02,69.2,75.64,1469600,0.0,0.0
2020-03-27,74.01,81.81,73.78,80.85,1769000,0.0,0.0
2020-03-30,81.42,83.2,78.84,81.46,2442400,0.0,0.0
2020-03-31,80.56,81.69,78.81,80.63,2695600,0.0,0.0
2020-04-01,77.93,81.41,77.3,79.15,2317900,0.0,0.0
2020-04-02,78.03,81.64,76.74,80.8,2234900,0.0,0.0
2020-04-03,80.19,82.15,79.45,80.94,1733400,0.0,0.0
2020-04-06,82.43,84.44,81.69,84.1,1448700,0.0,0.0
2020-04-07,85.04,86.23,81.85,82.07,1406800,0.0,0.0
2020-04-08,81.58,83.13,80.55,82.68,1788900,0.0,0.0
2020-04-09,83.11,88.43,82.84,86.65,1660000,0.0,0.0
2020-04-13,85.88,86.16,80.65,81.21,1313000,0.0,0.0
2020-04-14,81.96,83.74,80.19,80.51,1680000,0.0,0.0
2020-04-15,80.42,81.04,77.36,78.31,1456900,0.0,0.0
2020-04-16,78.56,79.57,76.86,76.94,1198600,0.0,0.0
2020-04-17,76.89,79.06,76.89,78.39,1106100,0.0,0.0
2020-04-20,77.94,78.58,75.19,75.24,1099100,0.0,0.0
2020-04-21,74.15,75.26,72.96,74.79,955900,0.0,0.0
2020-04-22,75.71,77.19,75.36,77.04,793800,0.0,0.0
2020-04-23,76.77,77.12,73.89,74.03,1211200,0.0,0.0
2020-04-24,74.73,75.44,74.1,74.85,1285900,0.0,0.0
2020-04-27,75.22,77.21,74.26,77.18,913500,0.0,0.0
2020-04-28,78.4,79.49,77.43,78.03,1309800,0.0,0.0
2020-04-29,79.18,79.87,75.17,75.39,1177000,0.0,0.0
2020-04-30,74.52,75.09,73.35,74.3,1018300,0.0,0.0
2020-05-01,73.13,73.73,69.94,73.39,1386000,0.0,0.0
2020-05-04,73.85,73.86,71.07,71.82,983100,0.0,0.0
2020-05-05,72.03,73.63,71.7,72.33,699700,0.0,0.0
2020-05-06,72.51,72.51,70.16,70.73,840800,0.0,0.0
2020-05-07,71.5,74.57,71.26,74.24,1296400,0.0,0.0
2020-05-08,75.34,77.49,75.02,77.2,847300,0.0,0.0
2020-05-11,76.59,78.31,76.02,77.36,901500,0.0,0.0
2020-05-12,77.46,77.72,71.16,71.83,1205500,0.0,0.0
2020-05-13,71.43,72.82,70.53,71.06,1036700,0.0,0.0
2020-05-14,70.42,71.04,68.23,70.9,786100,0.0,0.0
2020-05-15,70.53,70.58,68.08,68.88,1113000,0.0,0.0
2020-05-18,70.39,73.86,70.39,73.36,988000,0.0,0.0
2020-05-19,72.93,74.15,71.9,73.63,754800,0.0,0.0
2020-05-20,74.18,74.62,72.53,73.78,754400,0.0,0.0
2020-05-21,73.3,74.35,72.66,73.19,510600,0.0,0.0
2020-05-22,73.12,73.81,72.31,72.61,523000,0.0,0.0
2020-05-26,74.26,77.85,74.11,77.62,1017000,0.0,0.0
2020-05-27,78.63,79.77,78.05,79.47,942300,0.0,0.0
2020-05-28,79.72,81.96,78.84,81.86,885200,0.0,0.0
2020-05-29,81.47,81.74,79.34,81.46,1352200,0.0,0.0
2020-06-01,81.54,83.54,80.21,83.21,940700,0.0,0.0
2020-06-02,84.2,84.71,82.42,84.35,1504000,0.0,0.0
2020-06-03,84.44,86.95,84.44,86.2,1280900,0.0,0.0
2020-06-04,85.84,86.05,84.21,85.43,771300,0.0,0.0
2020-06-05,87.54,89.56,86.8,87.01,1247700,0.0,0.0
2020-06-08,87.45,89.55,87.17,88.04,905300,0.0,0.0
2020-06-09,86.81,87.28,85.32,86.68,806600,0.0,0.0
2020-06-10,86.8,86.8,84.2,84.76,657600,0.0,0.0
2020-06-11,82.63,83.25,79.11,79.25,1260000,0.0,0.0
2020-06-12,81.51,82.68,79.53,82.22,811600,0.9,0.0
2020-06-15,80.57,83.35,79.94,82.82,918000,0.0,0.0
2020-06-16,85.17,85.26,82.32,82.99,942800,0.0,0.0
2020-06-17,83.47,83.87,81.85,82.45,637300,0.0,0.0
