,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,62.12,62.12,60.69,61.39,2015200,0.0,0.0
2020-02-24,58.82,58.91,56.54,57.12,2522700,0.0,0.0
2020-02-25,57.34,57.57,53.35,53.97,3401300,0.0,0.0
2020-02-26,54.01,54.41,50.69,50.74,3366500,0.0,0.0
2020-02-27,48.56,50.24,46.31,47.79,4306000,0.0,0.0
2020-02-28,45.91,49.92,45.8,49.82,4762200,0.0,0.0
2020-03-02,50.73,50.75,48.19,50.24,3284100,0.37,0.0
2020-03-03,50.2,51.93,49.36,49.93,3101200,0.0,0.0
2020-03-04,50.51,50.62,48.3,49.37,2453500,0.0,0.0
2020-03-05,48.63,48.72,46.22,47.06,2460900,0.0,0.0
2020-03-06,44.91,45.21,38.4,39.26,6880600,0.0,0.0
2020-03-09,23.49,23.85,18.89,21.73,19434300,0.0,0.0
2020-03-10,24.25,25.77,21.01,23.99,11259800,0.0,0.0
2020-03-11,22.88,22.88,20.22,21.18,7510100,0.0,0.0
2020-03-12,19.12,21.41,18.23,20.71,7646900,0.0,0.0
2020-03-13,22.53,22.78,20.49,21.98,6709900,0.0,0.0
2020-03-16,18.45,22.05,16.36,18.99,5636300,0.0,0.0
2020-03-17,19.14,19.4,16.1,16.35,6335400,0.0,0.0
2020-03-18,14.86,15.28,11.76,12.58,7658200,0.0,0.0
2020-03-19,12.83,15.65,12.34,15.11,7577400,0.0,0.0
2020-03-20,15.63,16.82,14.15,15.03,8186000,0.0,0.0
2020-03-23,15.11,17.37,14.14,16.46,6731200,0.0,0.0
2020-03-24,17.98,19.95,17.85,19.5,6282000,0.0,0.0
2020-03-25,19.88,20.99,17.92,19.54,5472600,0.0,0.0
2020-03-26,19.53,21.68,19.37,20.98,5156700,0.0,0.0
2020-03-27,20.03,20.07,18.83,19.29,3532600,0.0,0.0
2020-03-30,18.4,19.31,17.78,19.07,4627000,0.0,0.0
2020-03-31,19.91,22.05,19.67,21.18,5978800,0.0,0.0
2020-04-01,20.36,20.71,19.16,20.26,5043300,0.0,0.0
2020-04-02,21.49,26.82,21.37,23.48,10438900,0.0,0.0
2020-04-03,25.24,26.58,22.46,25.54,9649600,0.0,0.0
2020-04-06,26.03,26.26,23.95,25.95,5645200,0.0,0.0
2020-04-07,27.2,30.8,26.26,26.68,6543400,0.0,0.0
2020-04-08,27.69,30.44,27.22,30.3,5067400,0.0,0.0
2020-04-09,32.64,33.14,26.86,28.18,8914200,0.0,0.0
2020-04-13,29.87,30.06,26.45,26.74,5231200,0.0,0.0
2020-04-14,26.51,27.38,25.14,25.58,5110200,0.0,0.0
2020-04-15,23.83,24.64,23.12,24.44,5506700,0.0,0.0
2020-04-16,24.65,24.65,22.2,22.66,5225200,0.0,0.0
2020-04-17,22.94,25.53,22.85,25.48,5523300,0.0,0.0
2020-04-20,23.44,26.26,23.08,24.95,4717700,0.0,0.0
2020-04-21,23.82,25.5,23.56,25.38,4822500,0.0,0.0
2020-04-22,26.84,28.01,26.66,27.68,4612900,0.0,0.0
2020-04-23,28.66,30.58,28.17,29.99,5175800,0.0,0.0
2020-04-24,30.62,31.92,28.42,28.92,5357000,0.0,0.0
2020-04-27,28.15,29.71,26.77,29.28,3587000,0.0,0.0
2020-04-28,30.43,30.95,28.94,30.72,4282800,0.0,0.0
2020-04-29,32.37,35.77,32.04,35.72,5239400,0.0,0.0
2020-04-30,35.72,36.09,33.01,35.2,5484800,0.0,0.0
2020-05-01,34.04,34.54,31.49,32.56,3825500,0.0,0.0
2020-05-04,31.4,34.4,30.94,34.37,3596000,0.0,0.0
2020-05-05,36.81,37.09,32.2,32.6,5252200,0.0,0.0
2020-05-06,32.78,33.77,31.45,31.46,2879900,0.0,0.0
2020-05-07,32.53,33.68,32.14,32.63,2376700,0.0,0.0
2020-05-08,33.6,34.35,32.9,34.02,2804900,0.0,0.0
2020-05-11,33.86,34.36,33.08,33.16,2340700,0.0,0.0
2020-05-12,33.64,33.87,32.37,33.04,2651300,0.0,0.0
2020-05-13,32.75,32.75,30.36,30.83,3626200,0.37,0.0
2020-05-14,30.4,32.24,29.22,31.15,2732800,0.0,0.0
2020-05-15,31.31,32.46,31.01,31.64,2701900,0.0,0.0
2020-05-18,34.03,35.61,33.79,35.44,2908600,0.0,0.0
2020-05-19,35.71,36.06,34.12,34.14,2503800,0.0,0.0
2020-05-20,34.91,35.92,34.82,35.62,2104300,0.0,0.0
2020-05-21,35.6,36.09,34.32,34.99,1616800,0.0,0.0
2020-05-22,34.73,35.08,33.76,35.03,1773800,0.0,0.0
2020-05-26,36.3,37.07,35.72,36.63,2680900,0.0,0.0
2020-05-27,37.06,37.68,34.92,36.14,2796200,0.0,0.0
2020-05-28,36.39,36.49,34.67,35.1,1983000,0.0,0.0
2020-05-29,34.75,35.3,33.87,34.74,4327500,0.0,0.0
2020-06-01,34.51,35.95,33.76,35.68,2103300,0.0,0.0
2020-06-02,36.1,37.29,36.05,37.21,1941800,0.0,0.0
2020-06-03,38.0,39.02,37.23,38.82,2014500,0.0,0.0
2020-06-04,38.59,39.47,37.69,38.9,1697800,0.0,0.0
2020-06-05,42.08,43.58,41.28,42.6,4400900,0.0,0.0
2020-06-08,45.11,48.86,44.12,48.81,4506800,0.0,0.0
2020-06-09,46.71,46.73,43.49,43.99,4396800,0.0,0.0
2020-06-10,42.79,43.5,40.93,40.93,2612300,0.0,0.0
2020-06-11,36.63,38.98,36.09,36.19,3623300,0.0,0.0
2020-06-12,38.97,39.76,36.22,38.31,2637300,0.0,0.0
2020-06-15,35.8,40.04,35.21,39.26,2998500,0.0,0.0
2020-06-16,42.03,42.31,39.2,40.77,2151500,0.0,0.0
2020-06-17,40.64,40.67,37.94,37.98,2263800,0.0,0.0
2020-06-18,37.88,39.14,37.33,38.01,2401200,0.0,0.0
2020-06-19,38.9,39.33,37.28,38.13,5432500,0.0,0.0
2020-06-22,38.22,38.31,36.76,37.6,2671400,0.0,0.0
2020-06-23,38.47,38.88,37.5,37.78,2740100,0.0,0.0
2020-06-24,37.12,37.12,34.06,34.18,4372000,0.0,0.0
2020-06-25,34.08,35.61,33.31,35.59,3468600,0.0,0.0
2020-06-26,34.96,35.07,33.0,33.56,3699000,0.0,0.0
2020-06-29,32.96,34.18,32.57,33.8,2680100,0.0,0.0
2020-06-30,33.28,34.4,32.5,34.12,2632400,0.0,0.0
2020-07-01,34.56,34.96,32.24,32.31,4343000,0.0,0.0
2020-07-02,33.39,34.71,32.9,33.91,3305900,0.0,0.0
2020-07-06,34.81,35.19,33.7,34.98,2497900,0.0,0.0
2020-07-07,34.26,34.63,32.72,32.73,2133100,0.0,0.0
2020-07-08,32.85,33.51,32.5,32.82,2738300,0.0,0.0
2020-07-09,32.68,32.99,30.49,30.59,3235300,0.0,0.0
2020-07-10,30.49,31.82,30.11,31.76,2557200,0.0,0.0
2020-07-13,31.91,32.38,30.11,30.27,3915700,0.0,0.0
2020-07-14,30.31,32.16,30.02,32.05,2776800,0.0,0.0
2020-07-15,32.54,32.8,31.12,32.55,3706300,0.0,0.0
2020-07-16,31.88,33.07,31.14,32.23,1651600,0.0,0.0
2020-07-17,32.3,32.9,31.57,31.83,1904100,0.0,0.0
2020-07-20,31.86,32.72,31.46,31.48,1623700,0.0,0.0
2020-07-21,32.82,34.94,32.77,34.36,3450300,0.0,0.0
2020-07-22,33.74,34.18,32.94,34.02,1267800,0.0,0.0
2020-07-23,33.61,34.18,33.13,33.51,1257200,0.0,0.0
2020-07-24,33.76,34.16,32.9,33.23,1026000,0.0,0.0
2020-07-27,33.45,33.53,32.38,32.68,1231600,0.0,0.0
2020-07-28,32.34,32.86,31.62,31.72,1534200,0.0,0.0
2020-07-29,31.85,33.3,31.54,33.25,1644400,0.0,0.0
2020-07-30,32.12,32.59,31.4,32.23,1717900,0.0,0.0
2020-07-31,32.16,32.69,31.92,32.52,2380400,0.0,0.0
2020-08-03,32.53,33.16,31.68,32.64,2151000,0.0,0.0
2020-08-04,32.45,33.82,32.04,33.51,2728200,0.0,0.0
2020-08-05,34.39,35.29,33.48,33.96,1973900,0.0,0.0
2020-08-06,33.53,34.02,32.92,33.23,1706300,0.0,0.0
2020-08-07,32.87,34.43,32.55,34.27,1584200,0.0,0.0
2020-08-10,34.48,36.62,34.48,36.45,2869300,0.0,0.0
2020-08-11,37.28,38.31,36.06,36.27,2717200,0.0,0.0
2020-08-12,37.12,37.65,36.29,36.67,1702400,0.37,0.0
2020-08-13,36.57,37.03,36.11,36.68,1508000,0.0,0.0
2020-08-14,36.53,37.69,36.29,37.45,1775400,0.0,0.0
2020-08-17,37.28,37.69,36.49,37.09,1712400,0.0,0.0
2020-08-18,36.73,37.3,36.48,36.61,1604500,0.0,0.0
2020-08-19,36.57,36.85,35.55,35.63,1057500,0.0,0.0
2020-08-20,34.9,35.22,33.42,33.43,2567000,0.0,0.0
2020-08-21,32.92,33.23,32.14,32.26,2582500,0.0,0.0
2020-08-24,32.62,33.64,32.21,32.95,1722200,0.0,0.0
2020-08-25,33.35,33.95,32.96,33.78,1653300,0.0,0.0
2020-08-26,33.72,34.03,32.36,32.41,1318800,0.0,0.0
2020-08-27,32.7,33.01,32.22,32.72,1690400,0.0,0.0
2020-08-28,32.88,33.39,32.6,33.03,1239000,0.0,0.0
2020-08-31,33.04,33.08,32.05,32.06,1819300,0.0,0.0
2020-09-01,31.92,32.23,31.41,31.66,2169400,0.0,0.0
2020-09-02,31.37,31.46,29.83,29.88,4058600,0.0,0.0
2020-09-03,29.92,30.39,29.19,29.43,3410700,0.0,0.0
2020-09-04,29.81,29.98,28.78,29.23,2883800,0.0,0.0
2020-09-08,28.55,28.67,26.26,26.32,3869100,0.0,0.0
2020-09-09,26.83,26.83,25.96,26.49,4372900,0.0,0.0
2020-09-10,26.52,26.52,24.75,24.75,2852300,0.0,0.0
2020-09-11,24.81,25.09,23.96,24.37,3425800,0.0,0.0
2020-09-14,24.89,25.9,24.48,25.56,3083900,0.0,0.0
2020-09-15,25.66,26.1,24.98,25.09,2517700,0.0,0.0
2020-09-16,25.41,27.88,25.18,27.08,3570800,0.0,0.0
2020-09-17,26.38,27.83,26.17,27.8,3290200,0.0,0.0
2020-09-18,27.56,27.97,27.14,27.79,4801000,0.0,0.0
2020-09-21,26.78,26.98,25.53,26.39,2850900,0.0,0.0
2020-09-22,26.63,27.23,25.46,26.01,2702700,0.0,0.0
2020-09-23,26.01,26.35,24.57,24.6,2398000,0.0,0.0
2020-09-24,24.58,25.45,23.74,24.67,2031200,0.0,0.0
2020-09-25,24.35,24.8,23.73,24.6,3254500,0.0,0.0
2020-09-28,25.35,26.35,25.23,25.91,2581200,0.0,0.0
2020-09-29,25.56,25.76,24.9,25.67,2002600,0.0,0.0
2020-09-30,25.77,26.14,24.67,24.78,2935100,0.0,0.0
2020-10-01,24.69,24.69,23.52,23.93,4321700,0.0,0.0
2020-10-02,23.18,25.48,23.08,25.07,3746800,0.0,0.0
2020-10-05,25.51,25.74,24.87,25.4,2377900,0.0,0.0
2020-10-06,26.02,26.68,23.88,24.03,3605300,0.0,0.0
2020-10-07,24.39,24.58,23.79,24.25,3222600,0.0,0.0
2020-10-08,24.56,25.63,24.27,25.6,2542400,0.0,0.0
2020-10-09,25.92,26.21,25.03,25.25,2767900,0.0,0.0
2020-10-12,24.96,25.93,24.33,25.67,1891700,0.0,0.0
2020-10-13,25.37,25.88,25.0,25.02,1866100,0.0,0.0
2020-10-14,25.25,26.65,25.08,25.09,2691400,0.0,0.0
2020-10-15,24.61,25.2,24.03,25.2,2778900,0.0,0.0
2020-10-16,25.11,25.17,24.02,24.1,2778000,0.0,0.0
2020-10-19,24.42,24.43,23.05,23.07,4017700,0.0,0.0
2020-10-20,23.36,23.93,22.69,23.41,2940000,0.0,0.0
2020-10-21,23.21,23.4,22.63,22.8,3020000,0.0,0.0
