,EPS Estimate,Reported EPS,Surprise(%)
2026-01-20 19:00:00-05:00,nan,nan,nan
2025-10-19 20:00:00-04:00,nan,nan,nan
2025-07-20 20:00:00-04:00,nan,nan,nan
2025-04-20 20:00:00-04:00,nan,nan,nan
2025-01-22 19:00:00-05:00,0.2,0.31,52.71
2024-10-21 20:00:00-04:00,0.35,0.38,7.76
2024-07-22 20:00:00-04:00,0.38,0.46,19.5
2024-04-22 20:00:00-04:00,0.26,0.32,24.19
2024-01-23 19:00:00-05:00,0.22,0.27,22.13
2023-10-18 20:00:00-04:00,0.34,0.39,15.86
2023-07-19 20:00:00-04:00,0.34,0.35,2.24
2023-04-20 20:00:00-04:00,0.45,0.52,14.54
