,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,129.52,131.63,129.0,130.25,856800,0.0,0.0
2020-02-25,131.24,131.24,125.01,126.79,941800,0.0,0.0
2020-02-26,127.97,129.38,126.05,126.44,609300,0.0,0.0
2020-02-27,124.33,128.05,122.0,122.8,910400,0.0,0.0
2020-02-28,120.51,122.97,117.81,119.94,1175400,0.0,0.0
2020-03-02,119.88,121.47,115.15,120.04,1189200,0.0,0.0
2020-03-03,119.59,121.8,114.25,116.12,947000,0.0,0.0
2020-03-04,118.12,122.55,115.08,122.4,1252900,0.0,0.0
2020-03-05,119.76,121.58,117.23,118.8,959400,0.0,0.0
2020-03-06,115.77,120.5,115.44,119.63,1134400,0.0,0.0
2020-03-09,114.0,119.63,110.33,111.69,1284600,0.0,0.0
2020-03-10,114.58,118.04,111.77,117.87,1108700,0.0,0.0
2020-03-11,114.73,115.58,107.18,107.8,1027700,0.0,0.0
2020-03-12,101.08,104.55,96.61,98.33,1193200,0.0,0.0
2020-03-13,103.22,105.77,98.19,105.69,1397900,0.0,0.0
2020-03-16,95.16,100.05,94.23,95.66,907200,0.0,0.0
2020-03-17,97.33,97.58,87.16,93.12,1267400,0.0,0.0
2020-03-18,88.75,93.83,79.77,90.55,1137900,0.0,0.0
2020-03-19,89.05,101.23,86.51,98.33,1127800,0.0,0.0
2020-03-20,99.48,104.98,96.68,100.13,1193600,0.0,0.0
2020-03-23,100.76,105.36,97.62,98.65,1101100,0.0,0.0
2020-03-24,101.91,104.37,96.76,102.7,1313400,0.0,0.0
2020-03-25,103.43,108.3,99.79,105.29,1121700,0.0,0.0
2020-03-26,105.18,115.34,104.01,114.05,1043700,0.0,0.0
2020-03-27,109.94,113.91,105.59,110.8,926400,0.0,0.0
2020-03-30,111.7,113.09,107.62,109.8,782000,0.0,0.0
2020-03-31,109.31,111.48,106.16,106.62,692700,0.0,0.0
2020-04-01,103.77,104.75,101.41,103.73,666000,0.0,0.0
2020-04-02,102.98,108.26,102.91,107.12,930900,0.0,0.0
2020-04-03,104.69,108.41,104.69,107.3,745500,0.0,0.0
2020-04-06,110.51,113.91,109.05,112.69,952300,0.0,0.0
2020-04-07,115.98,119.87,115.15,116.76,1291000,0.0,0.0
2020-04-08,118.73,121.66,117.27,120.9,648800,0.0,0.0
2020-04-09,122.72,127.0,122.0,125.38,873100,0.0,0.0
2020-04-13,123.83,125.23,120.25,120.69,691700,0.0,0.0
2020-04-14,121.73,124.23,121.73,122.98,765600,0.0,0.0
2020-04-15,120.37,121.81,119.94,120.41,571100,0.0,0.0
2020-04-16,119.3,123.16,117.87,122.31,784800,0.0,0.0
2020-04-17,125.11,128.11,123.22,124.11,2128300,0.0,0.0
2020-04-20,120.77,124.48,120.51,122.66,856300,0.0,0.0
2020-04-21,121.01,121.22,118.62,119.83,676400,0.0,0.0
2020-04-22,122.34,124.0,120.08,123.2,655300,0.0,0.0
2020-04-23,122.98,125.55,122.59,124.01,889600,0.0,0.0
2020-04-24,124.98,127.55,124.01,127.31,843800,0.0,0.0
2020-04-27,128.39,132.24,127.5,130.91,1392300,0.0,0.0
2020-04-28,147.85,153.55,140.1,140.86,4579400,0.0,0.0
2020-04-29,141.99,145.88,141.58,142.69,1561300,0.0,0.0
2020-04-30,141.77,143.38,139.14,139.25,1027000,0.0,0.0
2020-05-01,134.42,137.97,134.24,135.3,874200,0.0,0.0
2020-05-04,132.13,135.49,132.05,135.39,850000,0.0,0.0
2020-05-05,135.72,137.35,135.63,136.52,939700,0.0,0.0
2020-05-06,137.27,143.02,136.88,141.8,1068400,0.0,0.0
2020-05-07,142.16,143.88,141.38,142.71,582300,0.0,0.0
2020-05-08,143.83,149.1,143.42,149.02,846800,0.0,0.0
2020-05-11,148.19,149.28,147.21,148.47,614300,0.0,0.0
2020-05-12,148.69,149.38,140.41,140.41,965000,0.0,0.0
2020-05-13,139.42,140.97,136.1,137.02,701200,0.0,0.0
2020-05-14,136.0,138.0,135.05,137.11,727800,0.0,0.0
2020-05-15,136.86,140.71,135.8,138.72,1552100,0.0,0.0
2020-05-18,141.5,142.64,140.44,141.16,630000,0.0,0.0
