,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-11-03 19:00:00-05:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,6.07,5.79,-4.58
2024-11-05 19:00:00-05:00,6.39,6.54,2.38
2024-07-30 20:00:00-04:00,6.32,6.25,-1.06
2024-04-24 20:00:00-04:00,5.81,6.14,5.68
2024-01-24 19:00:00-05:00,5.06,4.81,-4.99
2023-11-07 19:00:00-05:00,5.21,5.01,-3.77
2023-08-01 20:00:00-04:00,5.25,5.66,7.88
2023-04-26 20:00:00-04:00,5.04,4.78,-5.13
