,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,416.45,416.45,402.57,409.48,300500,0.0,0.0
2020-02-24,391.27,405.98,391.27,402.7,290600,0.0,0.0
2020-02-25,407.35,408.97,387.27,390.38,220000,0.0,0.0
2020-02-26,390.38,398.91,384.52,390.35,249800,0.0,0.0
2020-02-27,378.1,389.1,366.1,366.1,456700,0.0,0.0
2020-02-28,357.85,380.42,351.98,376.02,634300,0.0,0.0
2020-03-02,380.67,387.17,371.11,387.05,294300,0.0,0.0
2020-03-03,388.38,394.14,367.14,372.6,305900,0.0,0.0
2020-03-04,380.64,392.75,377.14,391.57,239500,0.0,0.0
2020-03-05,381.92,389.75,377.17,380.39,217400,0.0,0.0
2020-03-06,369.1,370.89,345.32,357.92,404500,0.0,0.0
2020-03-09,330.64,339.42,315.23,315.85,390000,0.0,0.0
2020-03-10,325.36,336.64,311.89,336.55,450900,0.0,0.0
2020-03-11,326.83,333.45,306.35,314.54,319300,0.0,0.0
2020-03-12,293.2,298.69,274.6,279.13,624200,0.0,0.0
2020-03-13,294.02,304.02,255.69,303.54,518000,0.0,0.0
2020-03-16,250.0,294.16,238.03,240.67,842200,0.0,0.0
2020-03-17,247.27,251.39,212.94,245.69,559400,0.0,0.0
2020-03-18,226.22,234.33,177.64,212.0,596700,0.0,0.0
2020-03-19,210.71,254.0,202.25,244.77,502400,0.0,0.0
2020-03-20,245.69,265.92,237.6,241.42,516900,0.0,0.0
2020-03-23,236.82,248.28,219.71,231.13,419400,0.0,0.0
2020-03-24,244.74,271.29,240.86,269.3,298800,0.0,0.0
2020-03-25,269.01,285.0,257.01,268.92,310800,0.0,0.0
2020-03-26,274.64,306.04,270.2,305.0,272700,0.0,0.0
2020-03-27,290.48,303.35,280.16,291.05,277600,0.0,0.0
2020-03-30,294.04,315.23,289.0,313.82,490400,0.0,0.0
2020-03-31,313.0,329.38,304.01,307.69,693500,0.0,0.0
2020-04-01,296.39,306.13,285.23,288.82,436500,0.0,0.0
2020-04-02,285.44,294.67,276.19,282.92,370800,0.0,0.0
2020-04-03,280.22,282.3,259.36,263.85,403700,0.0,0.0
2020-04-06,272.67,302.76,272.67,301.6,283400,0.0,0.0
2020-04-07,314.44,317.41,296.95,297.58,193100,0.0,0.0
2020-04-08,304.02,307.0,299.04,300.69,330900,0.0,0.0
2020-04-09,310.0,323.23,298.52,301.1,285900,0.0,0.0
2020-04-13,301.5,303.01,291.7,298.0,206200,0.0,0.0
2020-04-14,309.33,315.32,305.85,313.17,268900,0.0,0.0
2020-04-15,303.05,317.5,303.04,309.95,243800,0.0,0.0
2020-04-16,314.98,317.88,299.52,301.51,328700,0.0,0.0
2020-04-17,309.98,320.79,303.95,319.26,299700,0.0,0.0
2020-04-20,314.23,320.67,306.72,307.33,149100,0.0,0.0
2020-04-21,301.17,301.63,287.14,291.55,190300,0.0,0.0
2020-04-22,302.29,307.63,295.2,303.88,155100,0.0,0.0
2020-04-23,303.55,309.2,299.94,302.26,176400,0.0,0.0
2020-04-24,303.5,305.79,296.67,300.04,210000,0.0,0.0
2020-04-27,304.95,312.7,302.98,309.66,247400,0.0,0.0
2020-04-28,315.5,330.0,311.67,324.89,343600,0.0,0.0
2020-04-29,330.7,359.76,330.7,356.98,326600,0.0,0.0
2020-04-30,362.05,364.26,335.32,352.94,559200,0.0,0.0
2020-05-01,340.29,349.67,330.01,336.6,295200,0.0,0.0
2020-05-04,332.26,346.32,327.89,345.82,237800,0.0,0.0
2020-05-05,349.51,360.92,349.51,353.41,258000,0.0,0.0
2020-05-06,359.35,362.86,354.45,357.29,239700,0.0,0.0
2020-05-07,364.04,371.19,360.07,366.57,228200,0.0,0.0
2020-05-08,371.42,375.04,367.41,371.1,190500,0.0,0.0
2020-05-11,366.6,376.41,366.6,370.57,232000,0.0,0.0
2020-05-12,371.39,373.29,351.57,351.57,280800,0.0,0.0
2020-05-13,354.35,357.23,341.52,349.94,356500,0.0,0.0
2020-05-14,343.45,350.16,337.04,349.92,165900,0.0,0.0
2020-05-15,347.39,358.79,344.23,352.35,224400,0.0,0.0
2020-05-18,363.92,375.1,360.97,366.67,250100,0.0,0.0
2020-05-19,370.0,379.2,369.07,369.07,184900,0.0,0.0
2020-05-20,378.77,387.32,376.73,383.6,240700,0.0,0.0
2020-05-21,386.1,389.38,381.44,385.17,209500,0.0,0.0
2020-05-22,385.0,389.98,382.47,389.39,180400,0.0,0.0
2020-05-26,398.95,402.6,395.0,396.54,332900,0.0,0.0
2020-05-27,396.54,398.19,372.61,394.94,301600,0.0,0.0
2020-05-28,398.39,407.25,395.33,397.6,340900,0.0,0.0
2020-05-29,400.36,407.52,394.6,402.64,1839800,0.0,0.0
2020-06-01,401.7,414.95,400.89,407.83,290100,0.0,0.0
2020-06-02,407.79,417.73,398.82,416.23,411100,0.0,0.0
2020-06-03,419.0,425.95,416.51,423.92,203100,0.0,0.0
2020-06-04,416.63,419.79,404.69,407.07,314100,0.0,0.0
2020-06-05,411.1,427.23,409.5,420.7,290900,0.0,0.0
2020-06-08,420.0,423.25,405.17,411.89,342700,0.0,0.0
2020-06-09,407.2,426.94,407.2,419.51,262800,0.0,0.0
2020-06-10,427.17,429.58,420.3,426.86,288600,0.0,0.0
2020-06-11,412.19,426.14,401.95,403.41,315000,0.0,0.0
2020-06-12,417.63,420.95,399.04,413.51,256200,0.0,0.0
2020-06-15,405.0,420.26,403.39,419.54,201500,0.0,0.0
2020-06-16,427.89,431.6,415.36,425.32,192400,0.0,0.0
2020-06-17,428.76,430.0,420.6,422.42,142400,0.0,0.0
2020-06-18,419.92,427.41,418.54,423.98,170100,0.0,0.0
2020-06-19,426.32,428.52,418.29,421.89,352600,0.0,0.0
2020-06-22,421.73,433.14,420.14,428.47,186000,0.0,0.0
2020-06-23,432.88,434.63,423.04,425.52,170500,0.0,0.0
2020-06-24,422.39,427.77,407.42,409.05,199100,0.0,0.0
2020-06-25,409.01,416.89,405.01,416.36,177800,0.0,0.0
2020-06-26,417.35,419.98,406.2,406.2,415100,0.0,0.0
2020-06-29,408.35,409.42,397.67,406.02,218900,0.0,0.0
2020-06-30,407.76,421.19,407.76,418.04,254400,0.0,0.0
2020-07-01,416.51,428.27,413.52,423.57,201000,0.0,0.0
2020-07-02,428.0,428.98,418.01,418.76,153700,0.0,0.0
2020-07-06,425.39,427.51,416.42,416.85,249300,0.0,0.0
2020-07-07,412.17,422.17,409.52,409.79,122500,0.0,0.0
2020-07-08,412.47,423.1,410.04,422.0,163500,0.0,0.0
2020-07-09,426.66,428.54,410.01,421.76,255300,0.0,0.0
2020-07-10,422.08,423.82,409.35,412.17,289000,0.0,0.0
2020-07-13,415.22,419.04,398.63,399.61,331000,0.0,0.0
2020-07-14,396.83,409.19,388.01,408.58,350600,0.0,0.0
2020-07-15,411.76,412.26,402.3,406.01,306200,0.0,0.0
2020-07-16,400.92,403.32,396.86,400.29,221000,0.0,0.0
2020-07-17,403.42,414.52,399.89,413.14,317600,0.0,0.0
2020-07-20,413.14,418.07,407.01,415.73,247000,0.0,0.0
2020-07-21,418.04,422.48,413.45,416.91,281800,0.0,0.0
2020-07-22,417.17,424.95,417.17,422.1,211000,0.0,0.0
2020-07-23,421.51,433.17,415.6,420.57,300700,0.0,0.0
2020-07-24,415.2,420.26,409.14,414.32,174900,0.0,0.0
2020-07-27,417.44,427.51,415.14,425.72,261800,0.0,0.0
2020-07-28,423.35,424.1,415.29,416.29,130200,0.0,0.0
2020-07-29,423.54,440.92,423.54,438.39,275300,0.0,0.0
2020-07-30,415.79,441.76,415.79,439.1,311800,0.0,0.0
2020-07-31,441.32,442.64,427.22,439.19,220500,0.0,0.0
2020-08-03,442.95,447.72,437.0,438.17,294700,0.0,0.0
2020-08-04,439.66,440.48,431.14,435.76,166400,0.0,0.0
2020-08-05,438.0,441.67,435.17,437.44,155800,0.0,0.0
2020-08-06,438.58,443.16,433.69,441.05,171800,0.0,0.0
2020-08-07,437.86,444.76,435.83,441.72,189600,0.0,0.0
2020-08-10,441.92,443.01,431.27,437.26,151900,0.0,0.0
2020-08-11,435.08,438.35,426.04,429.42,219800,0.0,0.0
2020-08-12,435.0,438.14,430.48,431.7,94300,0.0,0.0
2020-08-13,432.97,443.98,431.85,434.79,215900,0.0,0.0
2020-08-14,435.04,438.45,428.54,429.67,137200,0.0,0.0
2020-08-17,434.08,437.2,431.79,434.55,191200,0.0,0.0
2020-08-18,435.91,437.66,429.3,430.14,157700,0.0,0.0
2020-08-19,433.26,433.26,424.95,426.5,221800,0.0,0.0
