,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,94.86,95.19,93.66,94.08,631700,0.0,0.0
2020-02-24,90.95,91.2,89.52,90.39,1062700,0.0,0.0
2020-02-25,90.87,91.11,85.91,86.28,913500,0.0,0.0
2020-02-26,87.0,88.01,85.49,85.53,813900,0.0,0.0
2020-02-27,82.97,85.37,81.51,81.53,976900,0.0,0.0
2020-02-28,78.82,82.45,78.3,82.18,1861500,0.0,0.0
2020-03-02,82.62,85.59,80.41,85.54,1207000,0.0,0.0
2020-03-03,84.86,87.1,81.76,83.49,896300,0.0,0.0
2020-03-04,84.83,87.75,83.68,87.7,928800,0.0,0.0
2020-03-05,85.27,85.76,82.69,83.71,798500,0.0,0.0
2020-03-06,81.08,81.6,77.94,79.91,1127700,0.0,0.0
2020-03-09,74.59,75.41,69.75,69.94,1560000,0.0,0.0
2020-03-10,73.14,76.79,72.18,76.78,1456700,0.0,0.0
2020-03-11,74.59,75.61,72.41,73.49,1023300,0.0,0.0
2020-03-12,68.4,70.2,65.65,68.36,1594800,0.0,0.0
2020-03-13,73.73,77.88,69.04,77.72,1719100,0.0,0.0
2020-03-16,67.15,70.78,54.59,62.68,1827700,0.0,0.0
2020-03-17,63.89,64.01,59.78,60.59,1613200,0.0,0.0
2020-03-18,56.92,57.54,50.11,52.8,2340500,0.0,0.0
2020-03-19,52.11,63.77,50.38,59.59,1568500,0.0,0.0
2020-03-20,60.43,63.04,56.23,57.66,1742000,0.0,0.0
2020-03-23,57.22,59.13,55.33,56.65,1204300,0.0,0.0
2020-03-24,60.38,64.2,58.48,60.66,1463300,0.0,0.0
2020-03-25,61.05,68.14,59.99,65.02,1738500,0.0,0.0
2020-03-26,66.43,72.27,65.32,70.8,1609400,0.0,0.0
2020-03-27,67.82,69.41,66.43,67.63,1033400,0.0,0.0
2020-03-30,67.38,73.9,66.93,73.37,1614100,0.44,0.0
2020-03-31,73.24,75.45,71.5,72.52,2046500,0.0,0.0
2020-04-01,69.27,70.86,66.74,68.33,1645000,0.0,0.0
2020-04-02,68.82,71.58,65.16,65.86,1591000,0.0,0.0
2020-04-03,65.94,68.16,62.59,62.93,1562300,0.0,0.0
2020-04-06,66.76,70.29,65.64,69.27,992300,0.0,0.0
2020-04-07,72.8,74.85,70.39,70.53,1603300,0.0,0.0
2020-04-08,71.29,74.54,70.12,73.57,1045400,0.0,0.0
2020-04-09,76.0,80.8,74.14,79.9,1543500,0.0,0.0
2020-04-13,78.82,79.6,74.66,76.91,883000,0.0,0.0
2020-04-14,78.31,79.28,76.76,76.95,940900,0.0,0.0
2020-04-15,73.55,75.81,71.72,74.61,991400,0.0,0.0
2020-04-16,74.1,75.09,72.43,73.98,654300,0.0,0.0
2020-04-17,76.36,77.88,75.34,76.44,863400,0.0,0.0
2020-04-20,75.13,76.57,74.26,75.07,763700,0.0,0.0
2020-04-21,73.24,75.24,72.64,74.21,791600,0.0,0.0
2020-04-22,75.83,76.49,73.84,74.67,571400,0.0,0.0
2020-04-23,75.92,78.96,75.91,77.57,836800,0.0,0.0
2020-04-24,78.35,80.57,77.7,78.3,901100,0.0,0.0
2020-04-27,78.7,80.86,78.23,80.24,677100,0.0,0.0
2020-04-28,82.25,82.47,80.47,80.69,745400,0.0,0.0
2020-04-29,83.2,84.98,82.43,84.36,669300,0.0,0.0
2020-04-30,83.28,83.62,81.52,81.59,1130100,0.0,0.0
2020-05-01,79.99,80.9,78.47,79.83,808700,0.0,0.0
2020-05-04,78.37,79.77,77.9,79.58,693000,0.0,0.0
2020-05-05,80.57,82.17,79.1,79.46,1179100,0.0,0.0
2020-05-06,79.87,82.57,77.5,81.66,1228800,0.0,0.0
2020-05-07,83.67,86.01,82.95,83.55,829000,0.0,0.0
2020-05-08,84.71,85.57,82.9,82.99,982300,0.0,0.0
2020-05-11,81.44,82.14,80.27,81.23,730400,0.0,0.0
2020-05-12,81.24,82.24,79.1,79.14,927800,0.0,0.0
2020-05-13,78.93,79.62,76.9,78.81,770900,0.0,0.0
2020-05-14,77.58,79.08,75.98,78.67,959100,0.0,0.0
2020-05-15,78.25,78.68,77.64,78.14,784200,0.0,0.0
2020-05-18,81.71,82.63,80.6,80.64,740900,0.0,0.0
2020-05-19,80.54,81.15,79.11,79.17,732900,0.0,0.0
2020-05-20,80.54,83.13,80.09,82.63,506200,0.0,0.0
2020-05-21,82.33,82.78,81.14,81.56,442500,0.0,0.0
2020-05-22,81.17,82.91,80.94,82.83,500400,0.0,0.0
2020-05-26,85.42,86.16,83.93,84.18,629800,0.0,0.0
2020-05-27,85.62,86.09,83.86,85.42,690400,0.0,0.0
2020-05-28,86.37,87.44,84.79,86.69,752200,0.0,0.0
2020-05-29,86.41,87.62,85.53,87.37,681800,0.0,0.0
2020-06-01,87.2,88.61,86.8,87.79,687000,0.0,0.0
2020-06-02,88.3,89.7,87.18,89.59,573000,0.0,0.0
2020-06-03,90.56,92.59,89.99,90.48,763500,0.0,0.0
2020-06-04,89.95,90.06,87.66,88.6,968200,0.0,0.0
2020-06-05,90.96,93.2,90.36,91.63,846000,0.0,0.0
2020-06-08,91.53,93.89,91.05,92.86,1012800,0.0,0.0
2020-06-09,92.61,93.68,90.96,92.54,777400,0.0,0.0
2020-06-10,92.86,93.19,91.04,91.28,443900,0.0,0.0
2020-06-11,87.91,88.86,83.76,84.24,1021500,0.0,0.0
2020-06-12,87.39,87.66,84.95,86.42,696100,0.0,0.0
2020-06-15,84.05,87.95,83.03,87.3,716000,0.0,0.0
2020-06-16,90.43,91.09,87.35,89.15,807400,0.0,0.0
2020-06-17,89.97,90.56,88.82,89.3,503000,0.0,0.0
2020-06-18,88.72,89.28,87.48,87.88,527600,0.0,0.0
2020-06-19,89.6,90.23,87.94,89.19,1274100,0.0,0.0
2020-06-22,88.49,89.56,87.54,89.1,497900,0.0,0.0
2020-06-23,90.54,90.64,89.35,89.74,501800,0.0,0.0
2020-06-24,88.68,88.9,85.59,85.79,867100,0.0,0.0
2020-06-25,85.78,88.14,84.36,87.98,604300,0.0,0.0
2020-06-26,87.26,87.93,85.53,85.73,1434300,0.0,0.0
2020-06-29,86.15,87.47,85.95,86.79,730800,0.44,0.0
2020-06-30,86.46,89.74,86.21,88.85,656200,0.0,0.0
2020-07-01,89.44,89.44,87.45,88.62,821600,0.0,0.0
2020-07-02,90.02,90.85,89.04,90.2,816200,0.0,0.0
2020-07-06,91.95,91.99,89.86,91.17,883200,0.0,0.0
2020-07-07,90.09,91.85,90.09,90.85,853300,0.0,0.0
2020-07-08,91.18,91.46,87.44,88.34,755100,0.0,0.0
2020-07-09,89.12,89.12,85.66,87.3,763100,0.0,0.0
2020-07-10,87.26,89.59,87.26,89.36,613500,0.0,0.0
2020-07-13,90.52,92.79,89.73,90.61,759100,0.0,0.0
2020-07-14,90.61,92.57,89.97,92.25,563800,0.0,0.0
2020-07-15,93.86,96.81,93.2,96.21,1367600,0.0,0.0
2020-07-16,95.5,96.65,94.27,94.7,675400,0.0,0.0
2020-07-17,95.43,96.18,94.64,94.96,674300,0.0,0.0
2020-07-20,94.47,95.46,93.77,93.78,410800,0.0,0.0
2020-07-21,94.24,95.31,94.06,94.72,361000,0.0,0.0
2020-07-22,94.74,96.55,94.26,96.29,437700,0.0,0.0
2020-07-23,96.32,96.98,95.42,96.14,476500,0.0,0.0
2020-07-24,96.22,96.28,95.16,95.73,428400,0.0,0.0
2020-07-27,96.1,96.89,95.69,96.72,507600,0.0,0.0
2020-07-28,96.19,96.79,94.88,94.94,331900,0.0,0.0
2020-07-29,95.31,96.84,94.99,96.61,458800,0.0,0.0
2020-07-30,95.05,95.27,93.14,93.94,615600,0.0,0.0
2020-07-31,93.89,94.69,92.89,94.58,516700,0.0,0.0
2020-08-03,95.42,95.54,94.28,94.31,791700,0.0,0.0
2020-08-04,94.02,96.32,93.28,95.91,875000,0.0,0.0
2020-08-05,97.45,99.63,95.35,95.44,973500,0.0,0.0
2020-08-06,95.85,97.37,94.09,96.55,1337100,0.0,0.0
2020-08-07,96.3,97.96,95.46,97.9,657500,0.0,0.0
2020-08-10,98.08,99.06,96.85,98.43,710600,0.0,0.0
2020-08-11,99.23,100.29,96.82,97.38,725100,0.0,0.0
2020-08-12,98.11,99.28,97.58,97.62,692000,0.0,0.0
2020-08-13,97.35,98.86,97.31,98.21,510900,0.0,0.0
2020-08-14,97.87,98.36,97.19,97.76,446700,0.0,0.0
2020-08-17,98.28,99.03,96.69,97.21,520100,0.0,0.0
2020-08-18,97.44,98.43,97.11,97.31,401100,0.0,0.0
2020-08-19,97.27,97.79,96.33,96.79,476100,0.0,0.0
2020-08-20,95.85,96.6,95.54,96.22,336100,0.0,0.0
2020-08-21,95.62,96.11,94.63,95.72,373200,0.0,0.0
2020-08-24,96.65,97.2,96.15,97.0,321100,0.0,0.0
2020-08-25,97.66,97.66,95.81,96.85,525400,0.0,0.0
2020-08-26,96.55,97.25,95.72,96.94,371100,0.0,0.0
2020-08-27,97.51,98.3,97.21,97.58,442100,0.0,0.0
2020-08-28,97.8,98.13,96.88,97.35,892700,0.0,0.0
2020-08-31,96.95,97.4,95.16,95.31,561700,0.0,0.0
2020-09-01,95.37,98.24,94.78,98.24,652100,0.0,0.0
2020-09-02,98.44,100.36,97.47,100.12,999600,0.0,0.0
2020-09-03,99.8,100.21,96.39,97.6,721300,0.0,0.0
2020-09-04,98.58,98.91,95.41,96.75,683200,0.0,0.0
2020-09-08,95.43,95.97,93.52,94.22,716900,0.0,0.0
2020-09-09,95.06,96.99,94.64,96.24,475400,0.0,0.0
2020-09-10,96.38,96.93,95.24,96.11,483100,0.0,0.0
2020-09-11,96.95,97.47,96.09,96.82,415700,0.0,0.0
2020-09-14,97.99,98.93,97.56,98.58,375000,0.0,0.0
2020-09-15,98.94,100.42,98.82,99.71,681800,0.0,0.0
2020-09-16,100.29,100.44,98.61,98.7,571900,0.0,0.0
2020-09-17,98.09,101.04,96.96,100.65,765700,0.0,0.0
2020-09-18,100.45,101.43,98.02,98.61,1037700,0.0,0.0
2020-09-21,96.59,97.48,93.82,94.94,672700,0.0,0.0
2020-09-22,94.87,96.17,93.68,95.92,608000,0.0,0.0
2020-09-23,95.54,96.68,93.09,93.21,549700,0.0,0.0
2020-09-24,92.58,93.89,91.53,92.8,728300,0.0,0.0
2020-09-25,91.78,94.77,91.68,94.02,526200,0.0,0.0
2020-09-28,95.32,96.31,94.59,94.82,609200,0.0,0.0
2020-09-29,95.06,95.56,93.84,94.31,400100,0.44,0.0
2020-09-30,94.76,96.34,94.1,94.85,562000,0.0,0.0
2020-10-01,95.25,95.97,91.9,92.41,991800,0.0,0.0
2020-10-02,91.04,94.14,90.83,92.79,793600,0.0,0.0
2020-10-05,93.7,95.24,93.65,94.33,808000,0.0,0.0
2020-10-06,94.81,95.81,92.82,92.98,768600,0.0,0.0
2020-10-07,94.44,95.7,94.33,95.18,554500,0.0,0.0
2020-10-08,95.78,96.39,94.86,94.98,457600,0.0,0.0
2020-10-09,95.21,97.56,94.98,96.74,796800,0.0,0.0
2020-10-12,96.82,98.1,96.49,97.64,936400,0.0,0.0
2020-10-13,97.34,98.33,96.89,97.15,907000,0.0,0.0
2020-10-14,97.2,99.48,97.17,98.0,433400,0.0,0.0
2020-10-15,96.46,98.06,96.15,97.68,542500,0.0,0.0
2020-10-16,98.19,98.4,97.21,97.54,543500,0.0,0.0
2020-10-19,97.82,98.84,96.52,96.61,474800,0.0,0.0
2020-10-20,96.98,97.62,95.97,95.97,440400,0.0,0.0
2020-10-21,96.34,97.22,95.55,95.59,401000,0.0,0.0
2020-10-22,96.11,96.69,95.0,96.27,537500,0.0,0.0
2020-10-23,97.12,97.53,96.27,96.53,413400,0.0,0.0
2020-10-26,95.2,95.28,92.96,94.36,502400,0.0,0.0
2020-10-27,94.65,95.56,93.47,93.53,716600,0.0,0.0
2020-10-28,91.42,92.66,90.75,91.62,627500,0.0,0.0
2020-10-29,91.12,93.64,91.0,92.81,585100,0.0,0.0
2020-10-30,92.55,92.86,90.33,92.01,900900,0.0,0.0
2020-11-02,93.7,96.39,92.94,95.78,895600,0.0,0.0
2020-11-03,96.03,97.75,93.15,93.72,894000,0.0,0.0
2020-11-04,94.33,96.1,91.81,93.92,724800,0.0,0.0
2020-11-05,96.07,98.91,94.96,97.74,615100,0.0,0.0
2020-11-06,97.7,98.19,96.54,97.31,395200,0.0,0.0
2020-11-09,102.05,103.81,98.27,98.37,804800,0.0,0.0
2020-11-10,98.45,99.19,97.1,97.93,986500,0.0,0.0
2020-11-11,98.96,99.1,96.9,97.45,513600,0.0,0.0
2020-11-12,96.6,97.7,95.23,95.66,501100,0.0,0.0
2020-11-13,96.28,97.84,95.97,97.26,441300,0.0,0.0
