,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,34.19,35.02,33.29,33.52,5024200,0.0,0.0
2020-02-24,33.2,33.2,32.11,32.3,5577600,0.0,0.0
2020-02-25,32.42,32.59,30.75,30.93,5241300,0.0,0.0
2020-02-26,31.25,31.45,30.17,30.54,5632300,0.0,0.0
2020-02-27,30.01,30.63,29.18,29.18,7439900,0.0,0.0
2020-02-28,28.17,29.5,28.09,28.63,7567100,0.0,0.0
2020-03-02,28.62,29.93,28.26,29.9,7503700,0.0,0.0
2020-03-03,29.47,30.61,28.76,29.07,4869200,0.23,0.0
2020-03-04,29.38,29.61,28.53,29.01,4338400,0.0,0.0
2020-03-05,28.29,28.5,27.37,27.61,5392200,0.0,0.0
2020-03-06,26.5,27.28,26.41,27.05,8403600,0.0,0.0
2020-03-09,25.26,26.25,23.49,25.77,6988900,0.0,0.0
2020-03-10,26.52,27.44,25.32,27.3,4608400,0.0,0.0
2020-03-11,26.46,26.88,25.81,26.06,5364500,0.0,0.0
2020-03-12,25.1,25.42,23.33,24.59,7766100,0.0,0.0
2020-03-13,25.85,26.86,23.07,24.53,6759900,0.0,0.0
2020-03-16,22.33,23.42,21.69,22.52,9605600,0.0,0.0
2020-03-17,22.86,23.99,21.5,23.58,7751200,0.0,0.0
2020-03-18,22.25,23.17,20.48,20.95,7119000,0.0,0.0
2020-03-19,20.91,22.42,19.49,21.4,6085400,0.0,0.0
2020-03-20,21.73,22.13,19.55,19.69,8498700,0.0,0.0
2020-03-23,19.82,20.01,18.58,18.94,8091700,0.0,0.0
2020-03-24,19.81,20.96,19.27,20.91,6343500,0.0,0.0
2020-03-25,20.97,23.84,20.61,22.64,7525500,0.0,0.0
2020-03-26,22.7,23.96,22.65,23.42,5185800,0.0,0.0
2020-03-27,22.66,22.75,20.94,21.11,6134500,0.0,0.0
2020-03-30,20.91,22.95,20.63,22.8,5909900,0.0,0.0
2020-03-31,23.16,23.28,21.99,22.16,5594100,0.0,0.0
2020-04-01,21.26,21.37,20.59,20.95,4556100,0.0,0.0
2020-04-02,21.09,22.04,20.64,21.26,4944600,0.0,0.0
2020-04-03,21.11,21.32,20.46,20.91,4296100,0.0,0.0
2020-04-06,21.97,23.69,21.87,23.5,4453800,0.0,0.0
2020-04-07,24.58,25.43,23.81,23.91,4559900,0.0,0.0
2020-04-08,24.33,24.92,23.93,24.67,4832200,0.0,0.0
2020-04-09,24.89,25.4,24.01,24.38,5180200,0.0,0.0
2020-04-13,24.23,24.49,23.39,24.38,3468400,0.0,0.0
2020-04-14,24.7,25.0,24.3,24.86,2735400,0.0,0.0
2020-04-15,24.17,24.26,23.41,24.1,2454600,0.0,0.0
2020-04-16,24.05,24.34,23.31,23.95,2594500,0.0,0.0
2020-04-17,24.57,25.28,24.36,25.21,4006900,0.0,0.0
2020-04-20,24.55,25.12,24.37,24.44,2551500,0.0,0.0
2020-04-21,23.8,24.29,23.59,23.95,3155400,0.0,0.0
2020-04-22,24.43,24.75,23.18,23.23,3965300,0.0,0.0
2020-04-23,23.34,23.86,22.43,23.32,4201900,0.0,0.0
2020-04-24,23.35,23.46,22.85,23.29,4955100,0.0,0.0
2020-04-27,23.64,25.02,23.46,24.75,3912900,0.0,0.0
2020-04-28,25.31,26.32,25.05,25.46,5663000,0.0,0.0
2020-04-29,26.28,26.84,26.22,26.61,5137900,0.0,0.0
2020-04-30,25.85,26.15,23.82,24.26,6059700,0.0,0.0
2020-05-01,23.85,24.22,23.42,23.85,2782600,0.0,0.0
2020-05-04,23.75,23.84,23.03,23.44,4232500,0.0,0.0
2020-05-05,23.49,23.79,22.41,22.6,4870400,0.0,0.0
2020-05-06,22.79,23.45,22.11,23.27,5374500,0.0,0.0
2020-05-07,24.82,25.4,23.64,23.68,8125000,0.0,0.0
2020-05-08,24.36,24.67,24.04,24.39,6613700,0.0,0.0
2020-05-11,23.95,24.44,23.49,24.08,4509100,0.0,0.0
2020-05-12,24.21,24.46,23.61,23.78,3936100,0.0,0.0
2020-05-13,23.65,23.65,22.26,23.0,4540500,0.0,0.0
2020-05-14,22.62,24.23,22.29,24.17,4823700,0.0,0.0
2020-05-15,23.94,24.56,23.67,24.44,3136000,0.0,0.0
2020-05-18,25.31,25.92,24.97,25.76,4533300,0.0,0.0
2020-05-19,25.78,26.38,25.32,25.86,4340300,0.0,0.0
2020-05-20,26.15,26.67,25.91,26.08,3226800,0.0,0.0
2020-05-21,25.9,26.32,25.85,25.91,2945500,0.0,0.0
2020-05-22,25.82,26.23,25.76,26.07,2656900,0.0,0.0
2020-05-26,26.96,27.43,26.71,27.23,4499700,0.0,0.0
2020-05-27,27.84,28.29,27.24,27.81,5280600,0.0,0.0
2020-05-28,27.77,28.08,27.07,27.13,3400400,0.0,0.0
2020-05-29,26.98,27.4,26.6,27.36,4180800,0.0,0.0
2020-06-01,27.32,27.91,27.27,27.71,2467000,0.0,0.0
2020-06-02,27.79,27.91,27.27,27.48,3560200,0.0,0.0
2020-06-03,27.96,29.25,27.62,28.86,5762700,0.0,0.0
2020-06-04,28.67,29.12,28.21,28.64,3668300,0.0,0.0
2020-06-05,29.94,30.34,28.64,28.94,5592600,0.0,0.0
2020-06-08,29.1,30.75,29.1,30.46,5503500,0.0,0.0
2020-06-09,29.75,30.13,28.84,28.9,4999100,0.0,0.0
2020-06-10,28.79,28.91,27.7,28.27,4328100,0.0,0.0
2020-06-11,27.54,27.62,26.18,26.32,5890600,0.0,0.0
2020-06-12,27.11,27.23,25.94,26.53,4221100,0.0,0.0
2020-06-15,25.66,27.9,25.43,27.47,4892900,0.0,0.0
2020-06-16,28.28,28.58,26.23,26.55,4684400,0.0,0.0
2020-06-17,26.52,26.75,26.08,26.33,5167600,0.0,0.0
2020-06-18,26.29,27.24,26.0,27.2,5025900,0.0,0.0
2020-06-19,28.28,28.28,26.46,26.56,7580100,0.0,0.0
2020-06-22,26.3,26.46,25.87,26.37,5569000,0.0,0.0
2020-06-23,26.7,27.06,26.43,26.51,5512500,0.0,0.0
2020-06-24,26.22,26.34,25.23,25.68,5106400,0.0,0.0
2020-06-25,25.31,25.42,24.78,25.26,5782100,0.0,0.0
2020-06-26,25.02,25.08,23.89,24.1,7361000,0.0,0.0
2020-06-29,24.26,25.26,24.13,25.23,4638000,0.0,0.0
2020-06-30,25.14,25.32,24.83,25.16,3837900,0.0,0.0
2020-07-01,25.25,25.65,24.84,25.26,3724500,0.0,0.0
2020-07-02,25.91,26.01,24.83,24.91,3614200,0.0,0.0
2020-07-06,25.33,25.6,24.5,24.85,5096700,0.0,0.0
2020-07-07,24.61,24.74,24.04,24.09,3815000,0.0,0.0
2020-07-08,23.99,24.08,23.44,23.73,4276500,0.0,0.0
2020-07-09,23.71,23.84,22.44,22.86,5923700,0.0,0.0
2020-07-10,22.91,23.81,22.71,23.75,3359700,0.0,0.0
2020-07-13,23.55,23.95,22.83,23.41,5806900,0.0,0.0
2020-07-14,23.24,23.85,22.96,23.48,3664900,0.0,0.0
2020-07-15,23.76,24.55,23.76,24.44,5356100,0.0,0.0
2020-07-16,24.26,24.73,24.17,24.55,2200500,0.0,0.0
2020-07-17,24.55,24.72,23.46,23.71,5080000,0.0,0.0
2020-07-20,23.58,23.81,22.79,23.22,3842300,0.0,0.0
2020-07-21,23.37,24.08,23.27,23.82,4913000,0.0,0.0
2020-07-22,23.89,24.34,23.65,24.3,2859700,0.0,0.0
2020-07-23,24.45,24.88,24.33,24.61,4029800,0.0,0.0
2020-07-24,24.78,25.68,24.69,25.0,4132900,0.0,0.0
2020-07-27,24.93,25.1,23.83,24.12,4550900,0.0,0.0
2020-07-28,23.95,24.56,23.87,24.14,2593900,0.0,0.0
2020-07-29,24.26,24.43,23.83,24.25,2170100,0.0,0.0
