,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,103.53,104.58,103.29,104.51,627300,0.0,0.0
2020-02-24,103.64,104.66,103.21,103.6,488200,0.0,0.0
2020-02-25,103.61,103.7,100.5,100.66,651600,0.0,0.0
2020-02-26,100.93,101.35,99.46,99.57,695000,0.0,0.0
2020-02-27,98.84,99.02,94.4,94.72,826100,0.0,0.0
2020-02-28,93.71,95.02,90.74,94.25,1635700,0.0,0.0
2020-03-02,94.73,97.22,93.55,97.16,629800,0.0,0.0
2020-03-03,97.05,98.57,94.28,95.02,786700,0.0,0.0
2020-03-04,96.15,99.06,96.15,98.89,480400,0.0,0.0
2020-03-05,97.04,97.93,95.71,97.89,405900,0.0,0.0
2020-03-06,95.44,98.58,94.87,98.33,954300,0.0,0.0
2020-03-09,92.76,94.28,91.23,91.31,954400,0.0,0.0
2020-03-10,93.46,96.28,90.34,96.22,856100,0.0,0.0
2020-03-11,93.5,94.06,90.64,91.81,847700,0.0,0.0
2020-03-12,86.49,89.24,84.49,84.55,1205200,0.0,0.0
2020-03-13,87.97,89.13,81.95,86.5,1433600,1.05,0.0
2020-03-16,79.79,79.94,69.53,69.67,1455700,0.0,0.0
2020-03-17,70.93,75.8,64.95,75.42,1379100,0.0,0.0
2020-03-18,70.27,70.89,56.82,59.31,901700,0.0,0.0
2020-03-19,58.1,65.51,56.8,61.81,892000,0.0,0.0
2020-03-20,62.6,64.31,58.04,58.56,1151100,0.0,0.0
2020-03-23,56.06,57.86,53.64,54.56,1323900,0.0,0.0
2020-03-24,56.86,62.35,56.53,62.26,966300,0.0,0.0
2020-03-25,62.55,70.56,61.65,64.25,941300,0.0,0.0
2020-03-26,64.18,67.04,60.19,64.4,1083500,0.0,0.0
2020-03-27,61.96,64.45,61.01,62.23,1132800,0.0,0.0
2020-03-30,62.49,63.13,59.46,61.38,1161400,0.0,0.0
2020-03-31,61.13,63.34,59.74,61.06,995800,0.0,0.0
2020-04-01,57.88,58.56,54.42,56.8,918200,0.0,0.0
2020-04-02,56.08,57.89,53.04,54.34,1052000,0.0,0.0
2020-04-03,54.03,55.61,52.93,53.85,553700,0.0,0.0
2020-04-06,58.37,61.91,58.16,59.46,886200,0.0,0.0
2020-04-07,63.82,65.66,61.45,61.71,642700,0.0,0.0
2020-04-08,62.09,66.07,61.32,65.69,589400,0.0,0.0
2020-04-09,67.82,71.83,67.82,70.38,894200,0.0,0.0
2020-04-13,70.38,70.38,67.15,68.4,579600,0.0,0.0
2020-04-14,69.86,70.95,68.81,69.23,529600,0.0,0.0
2020-04-15,66.41,66.97,62.32,63.8,898400,0.0,0.0
2020-04-16,63.89,64.0,57.95,59.61,1200400,0.0,0.0
2020-04-17,61.6,63.17,61.18,61.67,740600,0.0,0.0
2020-04-20,59.66,60.87,58.11,58.58,861900,0.0,0.0
2020-04-21,57.28,58.6,56.69,57.62,882700,0.0,0.0
2020-04-22,57.86,58.92,55.48,55.61,1111900,0.0,0.0
2020-04-23,56.03,58.07,55.08,57.44,1307400,0.0,0.0
2020-04-24,57.95,58.24,55.7,56.68,1127800,0.0,0.0
2020-04-27,57.43,60.51,57.32,60.08,966800,0.0,0.0
2020-04-28,62.83,65.14,62.19,63.2,970300,0.0,0.0
2020-04-29,65.63,70.03,65.53,68.74,1084800,0.0,0.0
2020-04-30,67.26,69.08,65.75,68.14,3115000,0.0,0.0
2020-05-01,65.75,66.2,63.07,64.17,817400,0.0,0.0
2020-05-04,62.11,63.63,60.94,63.45,819500,0.0,0.0
2020-05-05,64.71,66.02,62.99,63.21,569300,0.0,0.0
2020-05-06,62.94,63.79,59.98,59.99,1110500,0.0,0.0
2020-05-07,61.42,63.86,60.15,61.37,1088200,0.0,0.0
2020-05-08,62.42,65.35,62.41,63.93,716900,0.0,0.0
2020-05-11,62.81,63.24,60.56,61.58,669900,0.0,0.0
2020-05-12,61.89,61.89,58.93,59.37,1080400,0.0,0.0
2020-05-13,58.9,58.9,55.38,55.82,951000,0.0,0.0
2020-05-14,54.76,58.0,52.46,57.3,1214200,0.0,0.0
2020-05-15,56.67,59.4,55.35,58.94,2690500,0.0,0.0
2020-05-18,62.59,65.7,61.38,64.5,1110900,0.0,0.0
2020-05-19,64.2,64.94,62.3,63.64,803600,0.0,0.0
2020-05-20,64.28,64.83,63.33,64.77,941100,0.0,0.0
2020-05-21,64.51,66.69,64.4,65.44,845100,0.0,0.0
2020-05-22,65.48,65.89,63.13,64.23,542400,0.0,0.0
2020-05-26,67.73,70.22,67.12,68.32,1036500,0.0,0.0
2020-05-27,70.6,71.16,67.05,68.57,829100,0.0,0.0
2020-05-28,69.31,69.58,65.37,65.83,1121200,0.0,0.0
2020-05-29,65.33,66.93,64.58,65.39,2344100,0.0,0.0
2020-06-01,65.75,69.69,65.75,69.45,730900,0.0,0.0
2020-06-02,70.3,73.55,70.03,72.29,1267300,0.0,0.0
2020-06-03,73.63,77.64,73.63,76.6,798700,0.0,0.0
2020-06-04,76.21,77.65,74.31,77.56,596100,0.0,0.0
2020-06-05,82.58,85.1,81.3,81.8,760400,0.0,0.0
2020-06-08,84.5,86.33,82.99,83.91,993100,0.0,0.0
2020-06-09,81.03,81.59,79.56,80.17,763800,0.0,0.0
2020-06-10,79.75,79.76,75.18,77.45,844600,0.0,0.0
2020-06-11,71.11,73.91,70.25,71.73,1403500,0.0,0.0
2020-06-12,75.44,76.08,71.53,74.04,673800,0.0,0.0
2020-06-15,70.81,74.35,70.07,73.69,582000,0.0,0.0
2020-06-16,77.46,77.86,74.84,75.96,783100,0.0,0.0
2020-06-17,75.96,76.11,72.78,73.14,611100,0.0,0.0
2020-06-18,72.01,73.23,71.32,72.14,738200,0.0,0.0
2020-06-19,72.89,73.14,69.98,70.19,2026800,1.05,0.0
2020-06-22,69.98,70.73,68.53,70.17,774400,0.0,0.0
2020-06-23,70.99,72.05,69.09,70.33,620400,0.0,0.0
2020-06-24,69.27,69.27,65.44,68.3,681800,0.0,0.0
2020-06-25,67.54,70.34,67.54,70.14,573600,0.0,0.0
2020-06-26,69.51,70.13,67.91,68.55,933900,0.0,0.0
2020-06-29,69.47,70.67,67.54,70.2,525400,0.0,0.0
2020-06-30,70.44,71.73,69.78,70.57,598800,0.0,0.0
2020-07-01,71.04,72.56,70.77,72.44,764400,0.0,0.0
2020-07-02,74.29,74.61,70.27,70.85,337100,0.0,0.0
2020-07-06,72.58,72.91,70.76,71.33,476400,0.0,0.0
2020-07-07,69.9,70.09,68.13,68.18,339600,0.0,0.0
2020-07-08,68.24,68.71,66.44,66.47,659600,0.0,0.0
2020-07-09,66.5,66.55,63.61,65.32,702100,0.0,0.0
2020-07-10,65.11,66.97,65.11,66.22,473400,0.0,0.0
2020-07-13,66.86,67.42,65.25,66.41,448200,0.0,0.0
2020-07-14,66.41,67.11,64.34,64.6,553400,0.0,0.0
2020-07-15,66.6,67.18,65.43,67.06,557000,0.0,0.0
2020-07-16,66.39,66.61,65.15,65.83,519300,0.0,0.0
2020-07-17,65.99,66.16,64.48,64.96,608400,0.0,0.0
2020-07-20,64.55,64.98,62.15,62.15,570000,0.0,0.0
2020-07-21,62.12,63.09,61.37,61.64,610800,0.0,0.0
2020-07-22,61.29,62.86,60.74,62.26,603800,0.0,0.0
2020-07-23,61.92,62.72,60.55,61.15,579000,0.0,0.0
2020-07-24,61.48,61.64,60.24,60.45,677600,0.0,0.0
2020-07-27,60.09,61.29,58.56,60.98,1216000,0.0,0.0
2020-07-28,61.03,63.63,60.54,63.05,685500,0.0,0.0
2020-07-29,63.83,64.39,61.81,64.18,1034900,0.0,0.0
2020-07-30,63.11,64.54,61.62,63.77,878900,0.0,0.0
2020-07-31,63.47,63.49,61.64,63.19,3247700,0.0,0.0
2020-08-03,62.55,62.89,60.67,62.67,713200,0.0,0.0
2020-08-04,62.6,64.13,62.26,63.46,577900,0.0,0.0
2020-08-05,63.76,64.12,62.26,63.09,458600,0.0,0.0
2020-08-06,62.18,63.87,61.15,63.29,997200,0.0,0.0
