,EPS Estimate,Reported EPS,Surprise(%)
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-24 19:00:00-05:00,4.81,nan,nan
2024-10-28 20:00:00-04:00,3.14,3.35,6.82
2024-07-29 20:00:00-04:00,2.69,3.25,20.85
2024-04-30 20:00:00-04:00,1.99,2.2,10.8
2024-02-26 19:00:00-05:00,3.13,3.25,3.76
2023-10-30 20:00:00-04:00,2.06,2.5,21.44
2023-07-26 20:00:00-04:00,0.96,1.59,65.66
2023-04-26 20:00:00-04:00,1.02,0.4,-60.87
2023-02-27 19:00:00-05:00,-0.16,-0.07,55.19
