,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 19:00:00-05:00,nan,nan,nan
2025-11-04 19:00:00-05:00,nan,nan,nan
2025-08-03 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-05 19:00:00-05:00,0.61,0.74,21.91
2024-11-06 19:00:00-05:00,0.52,0.63,22.13
2024-08-05 20:00:00-04:00,0.41,0.57,39.32
2024-05-01 20:00:00-04:00,0.38,0.43,11.72
2024-02-05 19:00:00-05:00,0.43,0.51,17.94
2023-11-01 20:00:00-04:00,0.36,0.41,12.74
2023-08-02 20:00:00-04:00,0.34,0.38,11.0
2023-05-03 20:00:00-04:00,0.29,0.34,18.62
