,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,62.51,62.71,62.02,62.13,1348438,0.0,0.0
2020-02-24,60.45,60.47,59.19,59.46,2160919,0.0,0.0
2020-02-25,59.73,59.84,57.34,57.6,3128749,0.0,0.0
2020-02-26,58.16,58.94,57.61,57.99,3787911,0.0,0.0
2020-02-27,57.06,59.39,56.74,57.67,4851581,0.05,0.0
2020-02-28,56.03,56.87,55.34,56.74,4595612,0.0,0.0
2020-03-02,56.81,58.04,55.79,57.96,3045099,0.0,0.0
2020-03-03,57.68,59.6,56.62,56.92,2666404,0.0,0.0
2020-03-04,57.5,59.19,56.85,59.13,6441170,0.0,0.0
2020-03-05,57.67,57.85,55.45,55.92,3008891,0.0,0.0
2020-03-06,54.26,55.33,53.93,54.81,3259124,0.0,0.0
2020-03-09,51.77,52.23,48.43,50.96,3944695,0.0,0.0
2020-03-10,52.08,52.51,48.66,51.24,6993379,0.0,0.0
2020-03-11,49.64,50.26,48.31,48.76,4220621,0.0,0.0
2020-03-12,45.65,47.47,42.99,45.72,6211730,0.0,0.0
2020-03-13,47.63,49.02,45.06,49.0,3991539,0.0,0.0
2020-03-16,43.76,45.99,41.68,42.53,3637700,0.0,0.0
2020-03-17,43.37,43.93,40.54,43.2,4314189,0.0,0.0
2020-03-18,40.32,40.32,30.61,36.97,7111445,0.0,0.0
2020-03-19,36.65,38.65,34.87,37.78,5409885,0.0,0.0
2020-03-20,38.76,39.04,36.01,37.39,4889104,0.0,0.0
2020-03-23,36.38,36.95,33.34,34.46,4394015,0.0,0.0
2020-03-24,36.39,41.19,35.93,40.95,3997873,0.0,0.0
2020-03-25,41.38,42.62,39.72,40.93,4644009,0.0,0.0
2020-03-26,41.62,43.02,40.41,42.39,4775459,0.0,0.0
2020-03-27,40.44,41.79,39.13,40.73,4714634,0.0,0.0
2020-03-30,40.2,43.14,40.17,42.74,4425922,0.0,0.0
2020-03-31,42.31,45.81,42.31,45.28,3786119,0.0,0.0
2020-04-01,43.84,45.61,43.11,45.1,4563825,0.0,0.0
2020-04-02,44.87,46.34,44.58,45.94,2817691,0.0,0.0
2020-04-03,46.11,47.84,43.82,44.53,2777180,0.0,0.0
2020-04-06,45.77,47.57,45.04,46.97,3206663,0.0,0.0
2020-04-07,49.02,50.06,47.85,47.95,2821037,0.0,0.0
2020-04-08,48.0,50.45,47.6,49.75,2773117,0.0,0.0
2020-04-09,50.33,51.64,49.58,50.08,1696422,0.0,0.0
2020-04-13,49.98,50.07,48.08,48.75,1943190,0.0,0.0
2020-04-14,49.7,50.67,49.56,50.05,2497072,0.0,0.0
2020-04-15,48.76,49.08,47.08,47.16,3225066,0.0,0.0
2020-04-16,46.66,46.76,45.54,46.58,2563036,0.0,0.0
2020-04-17,47.84,49.6,47.78,49.52,2178724,0.0,0.0
2020-04-20,48.81,48.98,47.57,48.16,2403026,0.0,0.0
2020-04-21,46.55,47.68,45.72,45.81,2590402,0.0,0.0
2020-04-22,46.9,47.79,46.08,47.37,1465548,0.0,0.0
2020-04-23,47.78,48.77,47.47,48.08,2220191,0.0,0.0
2020-04-24,48.4,49.87,48.05,49.5,1966731,0.0,0.0
2020-04-27,49.92,52.71,49.63,52.49,2053847,0.0,0.0
2020-04-28,53.46,54.11,52.51,53.09,2332401,0.0,0.0
2020-04-29,54.47,54.94,53.55,53.78,2357496,0.0,0.0
2020-04-30,52.78,52.92,51.68,52.51,2055400,0.0,0.0
2020-05-01,52.3,52.51,49.23,49.84,3488564,0.0,0.0
2020-05-04,48.87,50.05,48.7,50.04,3222079,0.0,0.0
2020-05-05,49.32,49.52,47.74,47.85,5428168,0.0,0.0
2020-05-06,47.89,48.26,47.14,47.39,2362157,0.0,0.0
2020-05-07,48.13,48.35,47.36,47.53,2951531,0.0,0.0
2020-05-08,48.03,48.83,47.68,48.62,3686097,0.0,0.0
2020-05-11,48.07,48.99,47.44,48.26,2612748,0.0,0.0
2020-05-12,48.47,48.88,46.07,46.07,2523123,0.0,0.0
2020-05-13,45.94,46.45,44.12,44.68,2479267,0.0,0.0
2020-05-14,44.03,45.79,43.04,45.75,2564231,0.0,0.0
2020-05-15,45.27,46.15,45.06,45.33,2280419,0.0,0.0
2020-05-18,46.61,48.99,46.61,48.56,3539949,0.0,0.0
2020-05-19,48.47,49.93,48.17,48.49,2993714,0.0,0.0
2020-05-20,48.41,48.99,48.33,48.49,3466934,0.0,0.0
2020-05-21,48.4,48.45,47.52,47.81,2304199,0.0,0.0
2020-05-22,47.95,48.16,47.08,48.02,1859540,0.0,0.0
2020-05-26,49.52,50.76,49.44,50.35,1875433,0.0,0.0
2020-05-27,51.61,52.57,51.38,52.23,2072130,0.0,0.0
2020-05-28,52.63,52.68,50.44,50.54,2202505,0.05,0.0
2020-05-29,50.3,50.4,49.62,50.08,2872541,0.0,0.0
2020-06-01,50.08,51.33,49.57,51.06,2750293,0.0,0.0
2020-06-02,51.55,52.65,51.11,52.59,2623623,0.0,0.0
2020-06-03,53.39,55.21,53.2,55.09,3391649,0.0,0.0
2020-06-04,54.5,55.57,54.43,55.41,2399919,0.0,0.0
2020-06-05,57.71,60.08,57.58,57.99,4642097,0.0,0.0
2020-06-08,58.83,59.24,56.99,57.8,4421381,0.0,0.0
2020-06-09,56.86,57.5,56.07,57.15,3653235,0.0,0.0
2020-06-10,56.95,57.14,54.86,54.91,1940680,0.0,0.0
2020-06-11,52.65,52.93,51.44,51.62,3251356,0.0,0.0
2020-06-12,53.53,53.53,50.85,52.28,2473650,0.0,0.0
2020-06-15,50.8,53.11,50.26,52.88,2380560,0.0,0.0
2020-06-16,54.88,56.15,53.31,55.69,4096221,0.0,0.0
2020-06-17,56.33,56.43,55.55,55.77,3712268,0.0,0.0
2020-06-18,55.13,56.55,55.13,56.0,3040080,0.0,0.0
2020-06-19,57.35,57.4,55.68,55.73,5631199,0.0,0.0
2020-06-22,55.22,56.56,54.86,56.18,2770488,0.0,0.0
2020-06-23,56.87,57.12,56.05,56.09,2278387,0.0,0.0
2020-06-24,55.2,55.71,53.71,54.21,2998733,0.0,0.0
2020-06-25,54.35,55.74,53.64,55.57,2230707,0.0,0.0
2020-06-26,55.36,55.36,54.03,54.51,3696374,0.0,0.0
2020-06-29,54.9,56.1,54.76,55.78,2064721,0.0,0.0
2020-06-30,55.18,55.96,54.88,55.57,3575799,0.0,0.0
2020-07-01,55.64,56.1,55.33,55.41,3201764,0.0,0.0
2020-07-02,56.24,57.02,55.78,55.97,1707416,0.0,0.0
2020-07-06,56.96,57.16,56.44,56.79,1461844,0.0,0.0
2020-07-07,56.45,56.62,55.86,55.9,1177912,0.0,0.0
2020-07-08,55.76,56.13,55.14,56.08,1471404,0.0,0.0
2020-07-09,55.83,56.36,54.93,55.26,1422887,0.0,0.0
2020-07-10,55.35,55.54,54.97,55.24,2061614,0.0,0.0
2020-07-13,55.58,56.39,55.39,55.55,1540475,0.0,0.0
2020-07-14,55.66,56.94,55.05,56.8,2311130,0.0,0.0
2020-07-15,57.67,58.8,57.43,58.47,2143591,0.0,0.0
2020-07-16,58.33,59.26,57.68,58.9,2440310,0.0,0.0
2020-07-17,59.19,59.55,58.86,59.21,1460171,0.0,0.0
